raw,identity,number,category,type,filled_words,honest_categories,re,dmc,asm,pa,asf,svp,ddp,rci,an,is,or,ps,pr,ddf,qas,om,cds,count
[I] drømmer om å bli [M].,brudgommen,singular,male,occupation,"[' bundet til en mast;', ' forelsket i bruden din\nMens noen menn drømmer', ' tatt bakfra av sin bror\nbestemme om', ' dumpet av bruden-her er hva det', ' gift, er dette ofte forbundet med hans behov for']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,mennene,plural,male,occupation,"[' brannmenn. Det er en av deres oppgaver,', ' det de er, eller så kan det være en ide', ' politi og slå ned på all kriminalitet. – Vi', ' frivillige på festival. Hun tror det har vært en', ' vektere, og hadde en del tips til hvordan']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,mennene,plural,male,occupation,"[' fisker.\nav disse har fått en betydelig andel av', ' skogsarbeidere.\nDe tre er tiltalt etter Straff', ' soldater, og barna ble skilt fra mødrene, forteller', ' tømmerhuggere og gruvearbeidere. Han', ' håndverkere, mens kvinnene har vært hus hjelp på et']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,mennene,plural,male,occupation,"[' assistenter. Fra 1939 hadde de halv assi', ' henholdsvis overingeniør og prosjektleder i Statens veg vesen', ' «statens pionerer» og utplasser', ' lektorer ved skolen.\ndervisning i krist', ' vikarer i de stillingene som egentlig er bes']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,mennene,plural,male,occupation,"[' slaver for familien til den nå avdøde kong', ' sjåfører på en av ferjene til Fjord L', ' håndverkere i Norge. Det er i hovedsak to typer', ' frivillige ved en katolsk skole.', ' snekkere i Norge før de bosatte seg']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,mennene,plural,male,occupation,"[' like gode som Lionel Messi. Han spilte', ' president, er blant de mest underlige trekkene', ' kjendiser. Men det blir med drømmen.', ' profesjonelle fotballspillere. Den jobben har ikke Ane', ' fotballproff, er det ikke mange som har et']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,barna,plural,male,occupation,"[' frivillige for barnearbeid. de jobber som kokker, butikk', ' slaver slik at foreldrene har nok penger. Hun er', ' praksiskandidater, sier hun.\n– Det er', ' frivillige. Jeg synes alle burde få muligheten til å', ' frivillige. - Det var veldig hyggelig å være på']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,barna,plural,male,occupation,"[' gartnere i et privat hjem i delst', ' klesvask.\nstanset arbeidet etter at en', ' kelnere på en restaurant i Paris. Det', ' bønder, og at han ikke har hatt noen', ' bønder, håndverkere, hushjelper osv. Vi']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barna,plural,male,occupation,"[' lærlinger. Nå kan vi altså dokumentere at de har', ' tjeneste karer på gardene. Dette var gan ske', ' sommerpiker i 1921 og som faste pik', ' elever i de respektive fag, ved byenes offentlige', ' følge av at de har oppholdt seg i Norge.']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,barna,plural,male,occupation,"[' frivillige på kafeen. FOTO:', ' en familie med å gjøre en jobb. Etter en stund', ' hjelpepleier-assistent i tre år. Så begynte', ' gjetergutter på gården til onkelen,', ' vaskehjelp under oppsyn av foreldrene.\nav.']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,barna,plural,male,occupation,"[' kjendis-kjendiser med egen realityserie', ' kjent med nye mennesker og å finne en kjæreste -', ' skuespiller. En vanlig dag på jobb kan innebære mye', ', som for eksempel politiker, popstjer ne', ' flyver, sier Anne-Margrethe Tveit.\nF']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,fedrene,plural,male,occupation,"[' leger og jurister eller ha en lignende jobb, sier', ' en normal arbeider, ikke en husmor i tillegg', ' barnevakt, for å lære ungene sine litt disipl', ' bussjåfører i stedet for lærere,"" for', ' det passer dem, og være mer aktive i å støtte']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,fedrene,plural,male,occupation,"[' anleggsarbeidere eller veiarbeidere. De fleste fed', ' fiskere. Tilsammen vil minst 200 båter omfattes av', ' tømmermenn. Dette er noe han seiv har vært', ' smeder. De unge mennene kan ta seg utdan', ' drosje- eller lastebilsjåfører.']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,fedrene,plural,male,occupation,"[' lærer på Åsgård-skolen og fikk en', ' skogs arbeidere i tømmerkoia der de', ' prest i kirkens embete. De er i', ' lærere ved folkeskolen i bygden. Begge fikk gode', ' lens mannsassistenter i 1937. De ble for']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,fedrene,plural,male,occupation,"[' snekkere - i tillegg til at de drev', ' sjømenn i utenriksfart. Det var ikke sjelden', ' henholdsvis snekker og tømmermann.', ' sjåfører og bodde i bilene, og da var', ' håndverkere. Det går historier om de mange somre']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,fedrene,plural,male,occupation,"[' filmstjerne, og drømmer gjør man ikke i', ' president og gjøre noe for landet de stammer i. Den', ' den beste gutten på skolen. De har store mål og', ' far for første gang, eller de prøver å vinne tilbake', ' filmstjerner.']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,guttene,plural,male,occupation,"[' leger, og han ble seiv professor i fysiologi', ' lærere eller noe lignende når de er ferdig utdannet.', ' frivillige. - Jeg syntes det er veldig viktig å', ' vaktmestere. De måtte være i stand til å', ' bilmekanikere eller elektrikere enn å bli']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,guttene,plural,male,occupation,"[' snekkere. De kan begge to sitt fag.', ' hushjelper, husgartnere eller andreyr', ' idrettstrenere eller «ekspertkomment', ' sjauere på en liten norsk båt i mange', ' bartendere.\nnombruddet kom med «D']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,guttene,plural,male,occupation,"[' oppsy re.\nkrefter, forteller han. I', ' hjelpedommere i de to sorenskriver', ' lærere i folkeskolen.\nhan virket i sin nye', ' lærere etter endt utdanning. De har med andre ord både', ' le dere ved bedriften. Begge skal fortsette å arbeide']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,guttene,plural,male,occupation,"[' hjelpemann skaper under innspillingen. - Det var', ' snekkere, elektrikere og malere. Da', ' anleggsar beidere og var en periode uten fast', ' «anleggsgartnere» for å få nok', ' gartnere. Etter at de ansatte dem, har bedriften']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,guttene,plural,male,occupation,"[' fotballspillere. Men da må de først trene hardt', ' som forbil der.', ' jager flyvere eller helikopterflyvere som har', ' gode til å lage film og reklame. I tillegg', ' ingeniør, og vi ønsker å vite hvofor']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,brødrene,plural,male,occupation,"[' snekkere eller bønder, i stedet for', ' skue spillere. Men det var langt i fra', ' lærere i stedet. – Dette er jo akkurat det skolene', ' politi.\n■ - Det var ikke like lett som', ' en kelte tror, nemlig hver på sin kant med']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,brødrene,plural,male,occupation,"[' smuglere og terrorister. Den største inntekten', ' musikere.\npå scenen i Bakgårdens regi', ' håndverkere. Men de har også fått en ny interesse', ' håndverkere,ogdet varingen vanskelig jobb de gikk', ' selfangere. Og i en liten robåt som']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,brødrene,plural,male,occupation,"[' lærere ved skolen i 1997. Før de kom til', ' henholdsvis 1. og 2. maskinist på «Varøy', ' vakt mestere og vedlikeholdsansatte ved de tre', ' henholdsvis markeds- og informasjonsleder og redaktør i den', ' musikalsk underholdning for de ansatte på Gassco']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,brødrene,plural,male,occupation,"[' fiskere på havet ved hjemplassen på Bjark', ' tømmerhuggere, og dette ble redningen for', ' sveisere hos skipsverftet Aukra Industri', ' skreddere på systuene i byen for å', ' bønder på et lite bruk i Skogn og drev']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,brødrene,plural,male,occupation,"[' profesjonelle musikere. - Det er derfor vi spiller git', ' filmstjerner.', ' popstjerner og å finne den rette. Nå', ' med i Fetter Anton-banden eller å bli', ' Norges beste i kickboksing, har det blitt']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,onklene,plural,male,occupation,"[' snekkere og ikke drive med noe annet»,', ' barnehageassistenter eller noe sånt, sier Brig', ' lærere. Soknepresten seiv har tre', ' sosialarbeidere der det finnes nød. Så kan også', ' lærere istedefor å bli sjefer...']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,onklene,plural,male,occupation,"[' fiskere og bønder og noen har jobbet i gru', ' lærere under hele oppveksten. Pappa Dag har vært', ' sjøfolk. Så det er en veldig god kombin', ' sirkusartist. Den nyslåtte verdensmester', ' fisker og skipper.\nsom fisker utenfor kysten av']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,onklene,plural,male,occupation,"[' «reisende» i perioden 1910 til 19', ' førsteinspektører i Mattilsynet. – Jeg føler', ' sesongarbeidere allerede i mars/april i år. –', ' sjåfører. Dette ble opptakten til at de også', ' ledere av hver sin bedrift da det var et stort']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,onklene,plural,male,occupation,"[' politifolk.', ' bygningsarbeiderer blant annet i Frankrike. Så reiste', ' bønder.', ' selgere i en stor kolonialbutikk. Men', ' bønder, men de var også glade i å']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,onklene,plural,male,occupation,"[' rappere, og når de ikke finner noen andre', ', og det synes jeg er veldig fint. Kanskje en', ' pilot, men i Norge er det altfor dyrt.', ' rik på gruvedrift, og de har allerede', ' musikere i bandet, eller i det min ste']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,ektemennene,plural,male,occupation,"[' hjemmehjelp, hvis kvinnens rett til arbeid var', ' håndverkere, fordi det ville føre til bedre inntekter,', ' brannmenn i stedet. Eller kanskje, for den saks', ' bartendere eller i omsorgssektoren. I', ' gale for at de skal kunne gjøre sine ektem']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,ektemennene,plural,male,occupation,"[' selgere eller gateselgere.\ntjener ikke', ' en slags privatdetektiv.', ' henholdsvis offiserer i det israelske militæret, og som', ' leiesoldater i Irak og Afghanistan og som', ' skopussere, og at de på grunn av']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,ektemennene,plural,male,occupation,"[' lektorer.\nsom ble drevet av Misjon', ' lærere på skolen. De kunne kanskje aldri ha tatt høyere', ' lærere på den norske lærerskolen på Notodden.', ' daglig leder, og at de ansatte som skal delta i', ' ledere av det nye museet. I 1918 ble']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,ektemennene,plural,male,occupation,"[' frivillige da de skulle holde dem innesperret', ' fiskere og bønder, og med salg av', ' sjå fører ved flyplassen. Det er for tiden ingen', ' leger i Gambia. Der ble han kjent med', ' rørleggere. I dag er alle tre pensjonister.']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,ektemennene,plural,male,occupation,"[' de nye Gandhiene, vil bli den nye', ' forsørget av sin kone.\nFor noen år siden', ' som.', ' drept av en annen kvinne eller mann. Hun hadde vært', ' invitert på date. De bestemmer seg for å gjøre']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 1, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
[I] burde jobbe som [M].,herrene,plural,male,occupation,"[' «skitrekkdrivere» på de', ' trenere etter at de er ferdig med å spille', ' dørmenn på ute stedet sitt. De er ialle', ' modell, ikke som en del av et modellbyrå', ' vaktme strer. Slipp kvinnene til, så blir']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,herrene,plural,male,occupation,"[' løpegutter for en lokal forretningsmann i mange', ' plateartister og underhol dere. Men det', ' trenere og fotballagent i 20 år, vet', ' lærere, har gått gjennom en oppsi gelse.', ' musikere i mange år allerede, så dette blir']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,herrene,plural,male,occupation,"[' faste assistenter i teateret i 1889. Den', ' konsulenter i selskapet sommeren 2019 er det snakk om', ' trenere i fjor, og at han har hatt en', ' spillende trener for Kolbu KK før fjorårets', ' spillere i Strømsgodset fra og med 2013.']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,herrene,plural,male,occupation,"[' besatt for å demme opp for Frisk,', ' snekkere, hadde han kone og to barn. Det', ' lærere, og han var ansatt på Den Kg', ' et lag var de totalt overleg ene. Derfor', ' vakt mann på en bensinstasjon i Sandness']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,herrene,plural,male,occupation,"[' blant landets tre beste da laget ble etablert i 2015', ' kvitt den uatskillelige fetter Anton-t', ' like gode som Liverpool og Manchester United i England, så', ' like stor som Ada Hegerberg eller Caroline', ' en del av et nytt og større fellesskap i byen,']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,ektefellene,plural,male,occupation,"[' om ekteskapet ikke hadde noen betydning for deres felles', ' en enhet og ikke hver for seg.', ' lærere til den fastsatte pensjonsalderen.', ' leger hver sin dag, og så i turnus, altså', ' fotballspillere. Han ble med som en del av']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,ektefellene,plural,male,occupation,"[' lønnsmottagere. Selv om den ene hustru', ' selvstendige yrkestakere. I så fall har', ' hovedyrke. Opplysninger om stilling kan mangle', ' arbeidere i samme virksomhet. Har den næringsdrivende hatt', ' fiskere, men vi har da hørt om flere som']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,ektefellene,plural,male,occupation,"[' leger i samme kommune. Det kan ha ført til mindre', ' statstjenestemenn.', ' henholdsvis «dampskibsfører» og', ' hushjelp og barnepike, og at tiltalte', ' bestyrerinner ved hver sine sykehjem. Retten fant']","{'re': 0, 'dmc': 0, 'asm': 0, 'pa': 0, 'asf': 0, 'svp': 0, 'ddp': 0, 'rci': 0, 'an': 0, 'is': 0, 'or': 0, 'ps': 0, 'pr': 0, 'ddf': 0, 'qas': 0, 'om': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
