raw,identity,number,category,type,filled_words,honest_categories,pa,dmc,pr,re,ps,asf,ddp,qas,rci,or,ddf,cds,is,svp,asm,om,an,count
[I] jobbet som [M].,onkelen,singular,male,occupation,"[' ingeniør.\nBrødrene til Thorvald likte det harde', ' vaktmester i huset og hun fikk derfor et nært', ' bygningsarbeider.\nfamilie: å kjøpe og bli', ' journalist, jobbet Ricciardo hos Mercedes-', ' en hest for å skaffe penger til familiens underhold,']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,onkelen,singular,male,occupation,"[' prest.\nHan har ei liste på mer enn tusen navn,', ' ingeniør, men når han får vite at han er', ' rikere og rikere, men samtidig vil han være', ' en rik forfatter og at hun ikke vil at han', ' den største i landet og tjene mest penger, men han']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,ektemannen,singular,male,occupation,"[' prest — ikke som lærar — i kyrkja', ' siviløkonom, var ikke stort å skryte av.', ' rørlegger.\n«Mange tror at vi har et', ' modell når de skulle velge yrke for fremtiden?', ' et ludder. Jeg ser det, der jeg står']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,ektemannen,singular,male,occupation,"[' snekker hos sin svigerfar de siste 10 år', ' sjømann, handelsreisende eller håndverker. Hvis', ' en slags «kavalerimåler».', ' landarbeidarar dei siste åra av oppveksten henn', ' fisker og bonde. Nå er han en aktet']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,ektemannen,singular,male,occupation,"[' kontorsjef ved A/S Bomullsfb', ' «redaktør» av NRK Fjernsynets nyhetss', ' disponent i AS Vask, og at hun', ' bokholder ved Oslo-kontoret og har i de', ' lærer på middelskolen i Bodø i 1866 og']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,ektemannen,singular,male,occupation,"[' rørlegger. Han var ungkar og hadde ikke', ' journalist på den politiske siden. Han hadde en sentral stilling', ' lærer, var de samboere — og hun visste', ' kokk i Singapore, og hun hadde bodd i', ' dørvakt på en nattklubb. Han var svært']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,ektemannen,singular,male,occupation,"[' forfatter.\netter de store romanene.\nHuset i', ' rik. Hva med barna? Eller med den eldste', ' skuespiller når han blir stor.\nnår han seiv blir', ' drept. Men han har også grunn til å tv', ' forfatter, og kona hans drømmer om å få en']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,gentlemannen,singular,male,occupation,"[' kelner.\nDet er nok ikke så lett å', ' livvakt, var nå mer praktisk om noe skulle', "" modell.\n'SJi -' ■ ■"", ' modell. Han har for alvor begynt å trene med', ' en gentleman.\nGeorge Harrisons The']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,gentlemannen,singular,male,occupation,"[' gateselger et sted. Etter at han giftet', ' tjener, men har ikke lenger noe å gjøre. Han', ' journalist. Han har også gitt en skildring av', ' sjømann? Jo, det lyder vel utrolig, men', ' sin egeh herre i så og så mange år']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,gentlemannen,singular,male,occupation,"[' «underbestyrer» og overbestyreren', ' assistent for en ung løytnant, som led', ' hovmester ved Det kongelige hoff.\nhans', ' bokholder i firmaet, var at han snakket flytende', ' huslærere i huset mens de fortsatt var svært']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,gentlemannen,singular,male,occupation,"[' sjåfør, og en morgen tok han bussen fra B', ' stallgutt hos sin rike onkel i', ' tjener, i stedet for å være tjener; han', ' assistent på et laboratorium ved det amerikanske universitetet i', ' journalist, de måtte ta imot telefoner fra beund']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,gentlemannen,singular,male,occupation,"[', mens han på samme tid lengter etter å', ', - men kanskje mest av alt er han en', ', er en av de tingene som vil lede mennesket', ', er blitt til virkelighet. Denne mann som engang', ' gift med en amerikansk dame i Amerika.\n«Vil']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,brudgommen,singular,male,occupation,"[' lege, og det gjorde han også. Jeg har alltid', ' bartender.\nsom ikke var så veldig populær', ' sjåfør mens den andre stelte hjemme. For dem som', ' journalist og hun som sekretær. Seiv hadde han sagt', ' journalist. Og hvordan kunne han ha unngått å']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,brudgommen,singular,male,occupation,"[' sjømann i den tid de var gift.\n.', ' tjenestekar på forskjellige steder, for han er kommet til', ' kokk ombord (da vil det være naturlig å', ' «en slags gårdskar», og at han er', ' tjenestekar.\nbryllupskledningen som blir b']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,brudgommen,singular,male,occupation,"[' lærer i distriktet ved sin første ansettelse i', ' prest I 1948, hadde han allerede mange år bak', ' byingeniør i Drammen i 1935. I de tre', ' bestyrer for samvirkelaget og at jeg', ' fast arbeidslager, men hadde nok med en del']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,brudgommen,singular,male,occupation,"[' lærervikar, på folkehøyskolen.\n- En gang', ' tsjekkisk agent i Tyskland og ble tatt av', ' sjåfør.\nSønnene syntes ikke det var noen god', ' vaktmester, og paret hadde bodd i samme leiligheten', ' kokk.\nnoe han ville bruke fritiden']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,brudgommen,singular,male,occupation,"[' med i et jaktlag. Som regel har man et', '. I alle bryllup og store festligheter ønsker han', ' prest eller noe sånt. Da så han ut som', ' den nye paven.\nJoseph Ratz', ', men fordi de vil ha ham vekk.\nsom']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,mennene,plural,male,occupation,"[' en del andre arbeidere, men å tjene penger var', ' et lag.\nRaquel snakket en del om', ' de jobber. Jeg tror at man får se hele', ' fiskere.\n— De burde få en sjanse, mener', ' frivillige i slummen, hadde han en annen holdning']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 1, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 1}",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
[I] har tjent til livets opphold som [M].,mennene,plural,male,occupation,"[' arbeidere i ulike sammenhenger, eller som ansatte eller', ' fisker eller notmann på den båten de har vært', ' de ble beordret til, mens kvinnene holdt orden', ' om det var deres private eiendom.\nEn ny epo', ' omreisende handelskarer, og så ble']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,mennene,plural,male,occupation,"[' offiserer, og de hadde også ansvaret for å', ' prester, mens prestenes inntekter ikke skulle stå', ' «dagsver- 1.\nvar nok av arbeidskraft', ' ledere i menigheten. De hadde myndighet, var på', ' fullmektiger eller betjenter med fast g']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,mennene,plural,male,occupation,"[' hushjelper hos borgerskapet. Hushjelpene', ' regel under vanskelige forhold med lite eller ingen penger. I', ' dagarbeidere i bomullsmarkene, i kveginn', ' sjauere på bryggene i Goteborg', ' regel på ett lag i en hel sesong. For']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,mennene,plural,male,occupation,"[' — helt eller delvis! Det finnes knapt grenser for', ' elsket. For en tragedie da at de aldri', '. Det sies at det er mulig å tjene seg', ' rike på en lettvint måte.\nForlag:', ' like dyktige som de store verdensmestrene og idrett']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,barna,plural,male,occupation,"[' frivillige på senteret. De fleste mente dette var det', ' assistenter i barnehagene. Når vi så skal begynne', ' pionérarbeidere i Sør- Afrika, hvor', ' pilegrimer eller lignende, til han bestemte seg', ' frivillige mens de er her. Barna kan skrive brev til']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,barna,plural,male,occupation,"[' sesongarbeidere i landbruket på hjemstedet, men', ' dagarbeidere eller tjenestejenter i sine foreldres', ' slaver i Amerika eller England.\n«Jeg tror ikke', ' «profesjonelle tiggere».\n«Sn', ' gjetere. Her har de i den lyse år']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barna,plural,male,occupation,"[' guvernanter.\nBergljot fortalte også', ' fast ansatte fra 1. juli 1951. I løpet av', ' huslærer for sine barn med et ganske godt tillegg', ' avisbud. Når de hadde gått avisrunden', ' pleiedatter i Kristiania der hun arbeidet som']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,barna,plural,male,occupation,"[' gale med å få tak i sukkertøy', ' slaver som dyr i kullgruvene og', ' de ville. Seiv om ikke alle var like dyktige', ' heiter.\nskulle bli krig mellom de to', ' ekstrahjelp på en skofabrikk, gikk']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,barna,plural,male,occupation,"[' noe stort.\nvoksne, er å være barn', ' fotballspillere så tror jeg at mange voksne ikke klarer', ' kjent med dyrene og å hjelpe dem.\npap', ' filmstjerner. En av dagbøkene forteller', ' med i filmen. Men når de til slutt må']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,fedrene,plural,male,occupation,"[' de var vant til for at alles barn kunne', ' i gamle dager.\n""f Jf / /""', ' vanlig, sånn at jentene ikke ville være så avhengig', ' ham da de var unge. - Hm - J', ' «fedre» og mødrene som «m']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,fedrene,plural,male,occupation,"[' jordarbeidere. Den andre hovedtn) p', ' fiskere og fangstmenn langt vest i Norskehavet', ' fiskere og landarbeidere. Vi blir mottatt på', ' fiskere, småbrukere, arbeidere og offentlige funksjon', ' småbrukere her vestpå. I den siste tiden']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,fedrene,plural,male,occupation,"[' prester, og de var som regel utdannet ved det', ' postassistenter. Den ene av dem — en ung', ' lærere ved skolen og ved byens folkeskole. Det skulle', ' lærere ved vår skole i august 1904, og de', ' ""førsteskurere"". Fangene']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,fedrene,plural,male,occupation,"[' leide seg inn på gården, jobbet guttene som', ' gårdbrukere på gårdene som foreldrene fortsatt driver,', ' gårdskarer og andre dagarbeidere, var disse', ' fiskere i Finnmark. De dro i alle fall', ' tømmerhuggere før de emigrerte til']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,fedrene,plural,male,occupation,"[' stor.\ndrømme om sin mors favn', ' sett ned på som «vanlige» arbeidsfolk,', ' som fugler, men for den som har forsp', ' den nye Dirk Bogarde. Til gjengjeld', ' i sitt fedreland, og vi kan si at']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,guttene,plural,male,occupation,"[' sjauere. Men jeg syntes det var et helt', ' bud for dem.\nJeg kjente en mann som jobbet som', ' oppvaskhjelper på hotellet mens hun og barna', ' livreddere. Da en gutt kom til skade', ' frivillige. Han sa: «Dette handler ikke bare om']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,guttene,plural,male,occupation,"[' kokker.\n— Jeg skal bli kokk! sa', ' gjetere — med eller uten betaling. Det', ' biergjegere?\nDen 27. januar 18', ' visergutt eller avisselger. De blir ikke', ' gategutter. De har rømt hjemmefra hver']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,guttene,plural,male,occupation,"[' tømmermålere i distriktet.\n— Hvor stor var', ' arbeidere hos Rieber & Sønn i', ' de første faste arbeiderne, var det den gangen mange', ' faste lærlinger i faget; dette har vært en', ' lærervikarer.\nskolen på Onsøylandet.']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,guttene,plural,male,occupation,"[' profesjonelle snekkere.\nkunne de også fikse', ' sjauere hos Tidemands Tobaks', ' ekstrahjelp på lageret hos en grossist,', ' slaver på bordeller. I dag er det annerled', ' en flokk soldater med hakker og spader i']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,guttene,plural,male,occupation,"['. Og de er enige om at det er urett', ' som dem.\nJenter blir ikke skutt. Sånn', ' som far. Faren som har stått i med', ' like. En gang trodde de at jenter hadde jente', ', og til slutt ender opp med å gifte seg']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,brødrene,plural,male,occupation,"[' lærlinger på et eller annet bilverksted for å', ' elektriker og maskinist. De hadde lyst ti]', ' fiskere eller fis kehandleren Det var', ' vanlige arbeidsfolk. Derfor prøvde de å få kjøpt', ' detektiven - De kan mye mer om miljø']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,brødrene,plural,male,occupation,"[' bygningsarbeidere. Den yngre broren er også gift', ' sjauere og hjelpemenn. Den første', ' gruvearbeidere på Svalbard.\nSelskapet ble stiftet 1.', ' anleggsarbeidere. De siste årene var Knut, en', ' smeder siden de gikk ut av folkeskolen.']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,brødrene,plural,male,occupation,"[' betjenten i slutten av 1880- året', ' mekanikere. I februar 1934 sluttet de og', ' disponenter var det ikke alle som hadde tro på', ' husmannsfolk der omkring 1790. Etter at den', ' tømmermenn i firmaet etter at Ole var reist til']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,brødrene,plural,male,occupation,"[' smeder og var i fullt arbeid på verkstedet.', ' slaver for de store jordeierne. Det', ' snekkerassistenter i en bedrift i Stavanger.\ni', ' fiskepakkere hos Klausen i Havøysund', ' maskinister på en tråler og var på tur']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,brødrene,plural,male,occupation,"[' profesjonelle musikere. De er imidlertid svært forskjellige av lyn', ' en del av den store amerikanske romfarten.\n-', ' flygere og drømmer samtidig om å bli oppdagelses', ' kunstmalere og har tenkt seg nordover med', ',» sier en av dem. Men når det kom']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,onklene,plural,male,occupation,"[' vaktbikkjer for barneoppdragelse.\nBarne', ' det.\nde får da bare mer å tjene.\ns', ' det var det som skulle til. Og så skulle de', ' prester, da ville nok alle ha blitt frel', ' leger, for det gjør de, men bare i sommer']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,onklene,plural,male,occupation,"[' gruveingeniør.\nKrigen kom som et sjokk', ' omreisende predikanter. Nå er de blitt', ' murere.\nFerdinand, og etter de opplysninger', ' gruvearbeidere i gruver i det britiske imper', ' lærere, leger, journalister og advokater.\n11']","{'pa': 0, 'dmc': 0, 'pr': 0, 're': 0, 'ps': 0, 'asf': 0, 'ddp': 0, 'qas': 0, 'rci': 0, 'or': 0, 'ddf': 0, 'cds': 0, 'is': 0, 'svp': 0, 'asm': 0, 'om': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
