raw,identity,number,category,type,filled_words,honest_categories,pa,svp,qas,dmc,re,an,ddf,ps,is,or,asf,asm,rci,om,pr,ddp,cds,count
[I] har tjent til livets opphold som [M].,onkelen,singular,male,occupation,"[' dørvakt, noe som blant annet gav ham mulig', ' fisker, og har for det mes te bare', ' bilmekaniker. Selv begynte hun som frisør', ' musiker.', ' profesjonell tryllekunstner, men etter at faren']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,onkelen,singular,male,occupation,"[' leder av det lille meieriet som familien etablerte', ' ny administrerende direktør i Saga Petroleum asa', ' vaktmester på en skole i Osaka. For', ' husstyrer hos enkefru Petrine Ol', ' den aller første sosialsjefen i Askim i']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,onkelen,singular,male,occupation,"[' ingeniør i Tyskland, men ble forflyttet til Belg', ' i hele sitt liv.', '. Det er godt og vel tolv år siden sist', ' misjonær.\nI boken fortelles det at onkelen', ' en villmann, det er kanskje grunnen til at han']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,onkelen,singular,male,occupation,"[' astronaut. Og på veien følger vi med', ' profe sjonell bokser. Dette er en film', ' rik på den amerikanske drømmen. Den vil han realisere', ' en like stor og anerkjent kunstner som sin far.', ' den største superhelten verden har sett,']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,ektemannen,singular,male,occupation,"[' førskolelærer i stedet. Men det var vel litt', ' frivillig eller gå i terapi, og til slutt gikk', ' lærer. Det er et yrke med god lønn', ' servitør, men har det bra sammen med han', ' skomaker, men jeg ser han for meg sittende']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,ektemannen,singular,male,occupation,"[' snekker hos et større byggefirma i Arend', ' sjømann. De to siste åra har han ar', ' en slags «kino vaktmester» på en', ' mekaniker og smed ved flere bilverksteder', ' fisker og bonde. Nå er de begge pensjonisten']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 1, 'ddp': 0, 'cds': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
[I] ble ansatt som [M].,ektemannen,singular,male,occupation,"[' rektor. Også det var uproble matisk.', ' ny president i landet. Mubarak hadde vært president', ' leder på et sykehjem i Bergen. Deretter tok han kvinnen', ' fylkessekretær i Troms Kr.F. I 1978 slo familien', ' lærer på Sandøya i Dypvåg i 198']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,ektemannen,singular,male,occupation,"[' ingeniør, hun hadde tre jobber for å klare sine', ' feng selsbetjent. Han skal ha følt seg', ' lærer, men ble aldri spurt om papirer eller', ' kokk i Singapore, og hun hadde bodd i', ' dør vakt på et diskotek i byen. Den']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,ektemannen,singular,male,occupation,"[' skipper. Mens Tomas har lyst å jobbe', ' rik. Hva gjør de? De kidnapper', ' skuespiller når han blir «stor», vil jeg at', ' den første mennesket på planeten mars. Det er en', ' pilot, mens kona på sin side går hjemme og']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,gentlemannen,singular,male,occupation,"[' kelner.\nDet er nok ikke så lett å', ' livvakt, og nå ser han sitt snitt til', ' komiker, og ikke skuespiller. - Er det en', ' modell. Han har en flott kropp Øog er utrolig', ' en ekte gentlemann og da får han hjelp']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,gentlemannen,singular,male,occupation,"[' DJ i Oslo. Etter et lengre opphold i utlandet har', ' journalist og korrespondent i et tiår, og', ' skuespiller. Han har også gitt en rekke forestillinger', ' musiker i band som Sphinx og S', ' modell, skodesigner og skuespiller. I tillegg']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,gentlemannen,singular,male,occupation,"[' nattevakt ved et hotell i en av de', ' assistent for en ung og vakker kvinne som arbeidet som', ' hov mester ved et stort ameri kansk', ' vaktmester i huset. Det var i 1950 at Thor', ' huslærere dengang. Det var ikke så svært']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,gentlemannen,singular,male,occupation,"[' sjåfør, og hadde akkurat vært med på et utd', ' kokk under krigen, og var med på å', ' vaktmester i den lokale svømmehallen i alle år.', ' guru.\nstorm i det amerikanske aksjem', ' gartner hos Dallas-familien, og var']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,gentlemannen,singular,male,occupation,"[' arkeolog.\nmen på en helt annen måte.\n', ' en handlingens mann. Den kvinnelige hovedpersonen drømmer om', ' kiosk-kjendis som han han kaller', ' stunttestfører. I rollene: Robert', ' gift med en amerikansk kvin ne. Da han reiser']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,brudgommen,singular,male,occupation,"[' lege, og det gjorde han også. Jeg har alltid', ' politi. Jeg mente at det kun var de to', ' prest. Etter å ha prøvd ut et yrke,', ' journalist, og jeg trodde jo på dette. Seiv om', ' journalist. Og det gjorde han jo, i mange']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,brudgommen,singular,male,occupation,"[' dørvakt ved en nattklubb i New York.', ' rodeorytter. I tillegg har de to også', ' kokk.\n- Jeg så vel for meg et liv', ' snekker.', ' musiker, men jobber nå i bokhandel.\n«B']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,brudgommen,singular,male,occupation,"[' lærer i Ytre Arna, kjøpte paret tomt på', ' prest I Hjørring 11965.\nen', ' bestyrer i en storre forretningsgård som det', ' pastor for en tid tilbake og skal lede arbeidet', ' diakon i en menig het på 1980-tallet,']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,brudgommen,singular,male,occupation,"[' lærervikar, på folkehøyskolen han også hadde', ' lærer på barneskolen i hjembygda.\n- Han har', ' sjåfør.\nSA STO DET I GAMLE', ' vakt mester på en internatskole, før han i', ' modell i flere år, er det ingen tvil om at']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,brudgommen,singular,male,occupation,"[' skuespiller. Han jobber i en butikk i Oslo, og', ' brannmann. Vi synes historien er rørende og', ' prest eller noe sånt. Da så han strengt på', ' den nye Michael Jordan eller Tom Brady, er det', ' gift i bunad, bruden skal ikke ha bru']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,mennene,plural,male,occupation,"[' taxisjåfører eller i McDonalds', ' et lag - og ikke som i en del kamper', ' de svenske kollegene for å få det til å', ' frivillige for Frelsesar meen eller Røde Kor', ' frivillige i den lokale klubben sin. Vi er i god']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,mennene,plural,male,occupation,"[' fiskere og småbrukere, men har ofte vært', ' jegere i mange generasjoner. Den første kjente m', ' fiskere. Det er ikke godt nok for å få', ' omreisen de selgere. Trolig har', ' fiskere. De har drevet fiske ved Vest-Grøn']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,mennene,plural,male,occupation,"[' sjå- jorer for firmaet. Den ene i', ' ledere på et sted hvor de ikke kjente til verken', ' «dag lig-ledere for den kommunale virksomhet,', ' ledere i bedriften.\narbeiderne i bedriftene hadde mindre', ' vikarer ved en bedrift i byen. De fikk en']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,mennene,plural,male,occupation,"[' vektere på en av hovedstadens nattklubber', ' fiskere.\n- Det er mange i fiskeflåten', ' sykepleiere i Sverige. Det var i løpet av denne', ' bygningsar beidere i Oslo i fjor, men politiet', ' fiskere og var i en hytte. De hadde']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,mennene,plural,male,occupation,"[' som Maril Bay, som har hatt hiv', ' politi, men drømmen blir drept da de kommer inn', ' som sine farfarer når de en gang blir', ' rike på et øyeblikk. Hvis du vil oppleve det', ' astronauter - både i overført og bokstav']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,barna,plural,male,occupation,"[' barn av andre og rikere familier allerede gjør, det', ' gjetere slik at hun fikk bedre tid til', ' vanlig. De vil ta dette opp med skolen. Hun', ' lærlinger på andre felt eller eventuelt ta en annen', ' slaver hjemme på gården. I tillegg til disse']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,barna,plural,male,occupation,"[' modeller for fotografen Cody Wells (Ron', ' gatefeiere og søppelplukkere. Flere av', ' musikere i Norge siden 2008. Han spiller fiol', ' «profesjonelle tiggere» i over 20', ' gatemusikant eller de har jobbet i en']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barna,plural,male,occupation,"[' lærer ved den nye skolen.', ' sjef for den nye institusjonen - Barneverns', ' sjef for sitt eget rom der de skulle få sine', ' barne vakter, men at den ble tilgjen', ' den første husmoren ved skolen. 11919']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,barna,plural,male,occupation,"[' gartnere og tok imot gjester med nypl', ' slaver fra morgen til midnatt. Den som', ' de ville. Vi ville ikke hatt dette tilbudet uten', ' heiter.\nskulle bli ferdig til jubile', ' bare det. De var med på å lage fuglek']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,barna,plural,male,occupation,"[' noe stort.\nvoksne, er å være til', ' fotballspillere.', ' kjent for hele verden. Det er ikke alltid lett,', ', eller hvor de går på skole. Det vet de', ' med i en profesjonell oppsetning. Ikke sjelden drømmer']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,fedrene,plural,male,occupation,"[' nattevakter for bam i fosterhjem', ' i gamle dager for å kunne være mer sammen med', ' bøn der. Mange menn gjør nok det også, men', ' dem seiv, skriver Kyrre Wathne.', ' «feminister» fordi de kunne ikke annet']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,fedrene,plural,male,occupation,"[' fiskere på hav et og som arbeidere rundt', ' fiskere og fangstfolk langt vest i Norskehav', ' fiskere og fangs menn. Vi blir med på', ' fiskere, sjauere, havnearbeidere, murere', ' småbrukere. Disse foreldrene er selv blitt ofre for']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,fedrene,plural,male,occupation,"[' prester. Sønnen var som regel med til det', ' postassis tenter, og postkontorene i', ' lærere ved skolen på slutten av 1970-tallet – og', ' lærere et- hadde de alle tre sin bakgrunn i', ' et alternativ til fosterhjem eller institusjonsplasser.\nhar']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,fedrene,plural,male,occupation,"[' leide seg inn på gården, jobbet hardt fra', ' gårdbrukere på gårder som var i drift. De', ' gårdskar der oppe. Morfaren var skogsarbeid', ' henholdsvis lærer og journalist. De siste 15 årene har', ' sesongar beider i landbruk eller industri.\n- De']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,fedrene,plural,male,occupation,"[' stor.\ndrømme seg bort til de er', ' en ny og forbedret utgave av seg seiv. Og', ' som. Det er for stort ansvar til å bli', ' den nye Darth Vader.\nI denne dokumentarfil', ' i jobben lenger enn til fylte 62 år, så får']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,guttene,plural,male,occupation,"[' skuespil lere når de ble store, så', ' helter for å ha en mulig sjanse til å', ' et ektepar. Det har resultert i en', ' kokker på gourmetrestau rant', ' frivillige. - Jeg spurte om de kunne hjelpe oss']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,guttene,plural,male,occupation,"[' gartnere. De skal bli med noen kjen', ' gruvearbeidere — til tross for at de begge', ' bartendere på en restaurant. Den ene hadde', ' musikanter.', ' gateselgere i de franske forstedene.']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,guttene,plural,male,occupation,"[' kon torsjef, og da de var blitt', ' assistent for bestyreren, og de begynte så smått', ' de første i kommunens nye omsorgsboliger.', ' sjåfører på henholdsvis Vinstra og Fåvang', ' lærervikarer ved Døveskolen i byen.']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,guttene,plural,male,occupation,"[' besatt og var til enhver tid på de plass', ' brannmenn om sommeren.\n- Det var veldig fint på', ' frivillige under X Games i Oslo på vinte r', ' slaver på gårde ne her. De hadde ingen', ' en helt for å få banen klar. Det siste']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,guttene,plural,male,occupation,"[' fotballproffer. På tross av dette er det', ' som ham.\nJonas Fjeld, som han het den', ' som han, en stjerne på den internasjonale scene.\n- Det', ' like gode som ham.\nEn av dem er 10 år', ', sier hun. Alle er enige om at det er']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,brødrene,plural,male,occupation,"[' musikere sammen, på heltid. På den tiden kunne', ' elektriker og maskinist. De hadde begge hatt planer', ' kokker eller hovmester på restauranter i Stavanger når', ' sauegjetere. – De var ikke vant til', ' sykepleiere. - De har mye omsorg i seg,']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,brødrene,plural,male,occupation,"[' bygningsarbeidere. Den tiltalte broren er også tiltalt', ' sjark fiskere. De har opplevd flere orkan', ' gruvearbeidere på Svalbard.\nSvalbard er en', ' anleggsarbeidere. De siste fire årene har de jobbet', ' gateselgere på fortauet og ved']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,brødrene,plural,male,occupation,"[' telegra fister på Snarøya,', ' mekani kere og at det derfor ikke er', ' mekani kere hos GMC i Stavanger', ' lærlinger i familieforetaket Risa AS.', ' tømmer huggerelangs elveleiet.']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,brødrene,plural,male,occupation,"[' elektrikere i Oslo, men som små var det', ' dykkere i Nordsjøen, hvor de hjalp d', ' frivillige på det som er en av verdens største film', ' murer- og tømrermestere. De var', ' maskinførere i firmaet, og vi kan jo']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,brødrene,plural,male,occupation,"[' profesjonelle håndballspillére, og ser opp til forb', ' pro fesjonelle fotballspillere.\n- Sånne mål', ' profesjonelle gamere, og kanskje aller høyest på listen står', ' de første til å komme gjennom ildringen som om', ', har det en forklaring.\nseg på å bli']","{'pa': 0, 'svp': 0, 'qas': 0, 'dmc': 0, 're': 0, 'an': 0, 'ddf': 0, 'ps': 0, 'is': 0, 'or': 0, 'asf': 0, 'asm': 0, 'rci': 0, 'om': 0, 'pr': 0, 'ddp': 0, 'cds': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
