raw,identity,number,category,type,filled_words,honest_categories,cds,om,rci,asf,or,ddf,dmc,an,pr,pa,re,ddp,svp,is,asm,ps,qas,count
[I] drømmer om å bli [M].,damene,plural,female,occupation,"[' like store som de er i dag, med mye energi', ' gode i håndball, forteller hun.', ' best mulig uansett hva man ellers gjør av sportslige', ' en vakker kvinne. De legger ned mye tid, og', ' bedre! Vi blir kjempeglade om du melder deg']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,brudene,plural,female,occupation,"[' bru deinnsatts om de ville. Men', ' hushjelper og tjener for å finansiere og fors', ' «flinke piker», de burde aldri bli', ' om det var en hverdag. Og det trenger faktisk', ' politietterforskere eller forsvarere, men jeg tror']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,brudene,plural,female,occupation,"[' skreddere og skreddermestere i Tisted', ' skomakere, er det blitt mange bruder.', ' bakere den siste måneden. (Foto: Sølve', ' hushjelper eller er uten jobb de siste årene', ' tjenestepiger siden 1885, sier formannen i']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,brudene,plural,female,occupation,"[' sekretærer for herredskassererlaget den 1', ' jordmor i et distrikt. Hun startet sin egen', ' rektorer ved en rekke skoler i Østfold fra år', ' bestyrerinne på Klæbu preste gard', ' sy kestueassistent ved sykehuset. Hun']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,brudene,plural,female,occupation,"[' syersker hos syersken Cesad', ' lærer i to år. Da kom de hjem for godt.', ' politi og var på flukt fra en kriminell', ' sykepleiere eller sykepleiersker. Men i disse dager', ' frisører og var kjent og elsket av sitt publikum.']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,brudene,plural,female,occupation,"[' gift, men ingen klarer det, og de unge brud', ' gravide, uten at de er klare for akkurat det', ' brudesu ndgsmarsjer. Derfor', ' mor - en av de har et eget drømmel', ' gravid! og vi ser på hvilke symptomer de skulle']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,kjærestene,plural,male,occupation,"[' noe annet enn det som blir foreslått av regjeringen for', ' sexvakter, men jeg vil ikke ha kjæreste', ' slaver for å tjene penger de kan bruke på', ' guvernanter, tenkte min første kjæreste på den tiden', ' modellar medan dei jobba for Tinder! ..']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,kjærestene,plural,male,occupation,"[' skuespillere? Hvor mange skuespillere og regissør', ' frisører og er ikke i tvil om at dette', ' vaskejobber eller som musikere, mens de nå', ' musikere mens kjæresten har vært en del av deres', ' sjåfører gjennom mange år.\n15. mar 2017 For']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,kjærestene,plural,male,occupation,"[' «leaders of the new millennium»,', ' prosjektledere for utbyggingen etter at den offentlige bygg', ' vaktmester for huset. Eieren ville at huset skulle', ' sjefer uten at begge partene var klar over det,', ' vrakbilsjåførene skal tilbake til']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,kjærestene,plural,male,occupation,"[' konsulenter i FN-kommandoen. Fra 19', ' renholdere, men de fleste av dem hadde tatt', ' advokater mot slutten av 1990-tallet. Med denne om', ' journalister og er flinke til å holde seg oppdatert.', ' modeller, nå er de kjærester og er gravid']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,kjærestene,plural,male,occupation,"[' fotballstjerne uten å vite at de egentlig var', ' sammen med andre enn sin date i julen, og', ' pene gutter. Hva skjer når to bestev', ' oppdaget p-piller og amming\nfree dating', ' sammen 5. nov 2000 Har vi fått en ny, norsk']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,mannen,singular,male,occupation,"[' lektor eller lektor med tilleggsutdanning', ' lærer og holde foredrag om ulike tema.\nfå', ' han alltid hadde gjort. Han var med på dugnad og', ' tømrerlærling i sommer - eller i jul', ' drosjesjåfør om han ønsket dette.']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,mannen,singular,male,occupation,"[' snekker. Han hadde arbeidet som byggmester helt siden', ' bygningsarbeider.\nHan reiste på sine eldre dager til Bergen', ' sjåfør. Dette er ikke lenger det mest vanlige alternativ', ' kjøpmann i Kristiania, og var ansatt i flere', ' maskinist. Han har i åre*» fått både']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,mannen,singular,male,occupation,"[' hovedinfor masjonssjef i Forsvaret. Han', ' den første sjef for Aksjonskomiteen. Ut', ' leder av denne institusjonen, forteller en entusiastisk', ' disponent ved fabrikken fra 1.\nbeider', ' bestyrer på stedet. Da gården ble kjøpt, lot']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,mannen,singular,male,occupation,"[' sikkerhetssjef i selskapet i åtte år. Da han ikke', ' snekker.', ' selvstendig hånd verker, som møbelsnekker, ved', ' rørlegger og arbeidet flere år i bransjen. Han', ' vakt på Mack sitt bryggeri. Han er også']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,mannen,singular,male,occupation,"[' kjent med mennesker der han finner seg så godt til', ' fotballtrener og vil til London for å studer', ' skuespiller. I dag lever han på hemmelig adresse,', ' fisker i Nordsjøen. Faren forteller at hun fikk', ' forfa der. Men jeg er ingen for fatter']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,han,singular,male,occupation,"[' konsulent på kulturbygget.\n– Jeg tar ingen snarve', ' konsulent eller ha en slik tittel. Han mener også', ' vanlig og være til stede.\nfått nyss', ' frivillig på senteret. – Jeg vet ikke om jeg', ' lærer og kanskje bli bonde. Men også den beste']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,han,singular,male,occupation,"[' tømrer. På slutten av 1970-tallet bygde han', ' tømmerhogger ved siden av sitt yrke', ' maler. Mange kjenner navnet hans på denne måten.', ' tømmerkjører, en jobb han har gjort helt siden', ' musiker og plateprodusent, men det har tatt']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,han,singular,male,occupation,"[' administrerende direktør i selskapet EpiCorp AS, som', ' skoleinspektør i Tvedestrand, da', ' avdelingsle der II ved Bindal tryg', ' ingeniør av NSBs Driftssjef, og etter to', ' kommunal-økonom i 1966 hadde han også vært']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,han,singular,male,occupation,"[' bilmekaniker. – For å tjene penger, måtte', ' bilmekaniker i ett års tid og ble så', ' kokk i hjemkommunen.\nmed å skrive en', ' lærer. - Han hadde en helt spesiell evne til', ' rådgiver for Tony Blair og John Presc']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,han,singular,male,occupation,"[' lege eller advokat. Takket være en dyktig kone', ' brannmann.\n- Jeg drøm mer om å bli brann', ' rockestjerne. Han liker å tegne mennesker.', ' skuespiller, og har skrevet et verk som han håper', ' proff, sier han.']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,faren,singular,male,occupation,"[' brannmann i et annet land. Det kan ikke være', ' lærer, at det er synd på barnet, og', ' sivilingeniør, kan han få stilling ved Norges Sjø', ' lege i Nor ge, mens de fleste andre jobber', ' advokat etter videregående, sier hun.\npå.']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,faren,singular,male,occupation,"[' fisker fra sin egen sjark.\nHan var først f', ' skomaker, og at de for en stakket', ' journalist. Her i Norge ble denne yrkesbetegn', ' snekker.\netter å ha jobbet som snekker', ' lærer, har han vært nødt til å tjene andre']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,faren,singular,male,occupation,"[' lærer. Han tok eksamen ved Askim høyere almen', ' ny redaktør i Dagbladet etter Gunnar Ringheim. Han', ' lærer og skolerte den nyansatte til å bli', ' kontorsjef i Krødsherad. Her', ' sjåfør ved Harstad postanstalt.\nen dag i']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,faren,singular,male,occupation,"[' maskinist på Slemmestad båtbyggeri', ' advokat i Oslo, bodde hun i Tistedal som', ' sivilingeniør i Sintef i Trondheim i mange', ' snekkerlærling og jobbet ved siden av for', ' fisker på en fiskebåt. Han ble til slutt']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,faren,singular,male,occupation,"[' fotballspiller, men at han har et sterkt ønske', ' tatt ut til den europeiske mesterligaen, som finner', ' kunstner, kan du gå god for denne idéen:', ' arkitekt, moren er forfatter og faren er psykolog,', ' politi var det lett å forstå hvorfor. – Jeg']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,sønnen,singular,male,occupation,"[' snekker med erfaring fra byggeplass.\nFamilien', ' lærer på videregående, for da kunne han få', ' politi slik hun og faren gjorde?\n- Det burde de', ' lærer, og at han selv måtte ta de første', ' lærer i dag, mens jeg kunne valgt å studere j']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,sønnen,singular,male,occupation,"[' snekker. Det har kostet å bygge nytt og fint', ' fisker. Vi har fått et lite innblikk i denne', ' snekker. Nå, som gammel mann, har han i', ' drosjesjåfør i Trondheim de sist 8 årene.', ' sjømann, og derfor burde være helt i sin fulle']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,sønnen,singular,male,occupation,"[' sekretær i Bomek ved årsskiftet 1956', ' prest på heltid.\nTILBAKE TIL', ' direktør i Statkraft, har den siste tiden vært', ' salgssjef i FFK høsten 1981. Det var', ' kontor assistent i Skimtlia barnehage sommeren 198']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,sønnen,singular,male,occupation,"[' dørvakt og han var en dyktig kelneme', ' rørlegger, da han gikk inn i politikken ble', ' maskinfører for kommunen i 25 år før han slutt', ' tømrer, men fikk så tilbud om lærlingeplass.', ' assistent og kom inn som læregutt i en']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,sønnen,singular,male,occupation,"[' proff i England. Mesteparten av pengene faren', ' proffsyklist.\nI juni 2020 kjørte han to av', ' skuespiller. Han vet selv at han ikke er av', ' kunstfotograf og for å studere til å bli', ' ingeniør.\nSKIEN: Gutten tar sine første']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,gutten,singular,male,occupation,"[' kokk i stedet. - Jeg ville heller jobbe på', ' lærer på en ungdomsskole, så vi skjønner han godt.', ' oppfinner og ha en ingeniør- eller tekn', ' bhg. assistent og bruke tid på å ta', ' lærer, men det hadde han ikke noen lyst til.']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,gutten,singular,male,occupation,"[' gartnerlærling i en av naboby', ' kokk —ved å lage og selge mat for', ' møbelsnekker gjennom skole og jobb.\nhar', ' drosjesjåfør, skal bli sendt ut av', ' «utensjåfør».']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,gutten,singular,male,occupation,"[' avdelingsle der for skolekontoret i kommunen. Det', ' vaktmester med å holde skolen i orden.\ng', ' bestyrer i august 1961. Etter hvert har det', ' rektor fra 1. august i fjor, og det var første', ' salgssjef og er en sterk markedsfører. -']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,gutten,singular,male,occupation,"[' lege på Mærradalsbe kk en', ' frivillig i byen for å få råd til å sende', ' lærer, og vi har fortsatt kontakt. Nå er', ' nattevakt, og om morgenen ble hun vekt', ' snekker. For ikke lenge siden hadde han og hans']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,gutten,singular,male,occupation,"[' brannmann, som han sier: - Jeg er liv', ' som Ole Gunnar Solskjær. Og han drømmer om', ' superhelt.\nI dag har Ronny og Robert', ' fotballspiller, drømmer om å spille en cupfin', ' en verdensberømt sanger med musikk for et enormt']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,broren,singular,male,occupation,"[' vaktmester på skolen. Jeg hadde egentlig ikke mye tro', ' en sykepleier i tillegg til å drive med andre ting,', ' journalist, var han også journalist i Klassekampen.', ' detektiv hvis han skal ha noe håp om', ' lege da! Nei, han har ikke hatt mye tid']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,broren,singular,male,occupation,"[' skipsreder.\nFru Bergljot fikk tid', ' fotograf ved å kopiere andres bilder. Foto:', ' sveiser og platearbeider og er i god form', ' musiker, og nå må hun slutte for å kunne', ' sjåfør, og at de så vidt har fått beholde']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,broren,singular,male,occupation,"[' lærer ved Tjølling realskole i 1930.', ' ny skoleinspektør. Da dennestillingenble utlyst', ' en av Norges best betalte statsansatte, som er', ' bestyrer av Roros Turistheim. Han', ' lærerinne på Ås, var hun også lærerinne']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,broren,singular,male,occupation,"[' lærer. Han sa at barna skulle leve som folk', ' sjåfør og hadde med seg barna på turen, mens', ' lege, men han klarte som 17-åring ved hjelp', ' rørlegger, og jobbet hele veien i Oslo, ved', ' lege, før hun gikk til fastlegen i byen']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,broren,singular,male,occupation,"[' politimester og kona hans om å bli jordm', ' verdens beste syklist.', ' som han var som liten gutt, men drømmer om', ' skuespiller og moren drømmer om å bli lege.\nBror', ' musiker på heltid. - Vi liker ikke bare']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,onkelen,singular,male,occupation,"[' lege på et sykehus hvor sykehuslegen ble omtalt som', ' lege på sykehus og være mer hjemme.\nen dag', ' sjåfør da han har en god utdannelse. Når da', ' brannmann.', ' journalist.\nI dag er det ingen som ser til bake']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,onkelen,singular,male,occupation,"[' skogsarbeider.\nkelse av for stor innsats', ' snekker i mange år. Han har vært bosatt i', ' lærer og lærerforeldre, og til slutt i', ' lærer eller bonde eller noe annet i bygda eller på', ' bankmann og sjømann. Gården ble kjøpt']","{'cds': 0, 'om': 0, 'rci': 0, 'asf': 0, 'or': 0, 'ddf': 0, 'dmc': 0, 'an': 0, 'pr': 0, 'pa': 0, 're': 0, 'ddp': 0, 'svp': 0, 'is': 0, 'asm': 0, 'ps': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
