raw,identity,number,category,type,filled_words,honest_categories,svp,rci,asm,ddp,om,or,asf,an,dmc,cds,qas,pr,pa,is,re,ps,ddf,count
[I] jobbet som [M].,tantene,plural,female,occupation,"[' frivillige på den berømte festivalen i flere år, og har', ' lærere. Men som en kvinne skrev til meg i', ' om de var fast ansatte – og ikke som folke', ' best de kunne, men fant ikke noen tilfredsstillende los', ' lærere.\nskolestyrene til å si at de']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,tantene,plural,female,occupation,"[' statsminister og leder for en ny blå-blå regjering', ' statsminister og ikke har fått statsministeren å drømme om.', ' president? I gårsdagens avis skrev iTromsø', ' stjerne. Så da de får anledningen til å', ' med på moroa om få år. – Dette vil']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,de unge,plural,male,occupation,"[' frivilli ge i menigheten. Det var bare én', ' frivillige på et gamlehjem. Man får ikke noen', ' frivillige for å lære landet å kjenne, som', ' lærere og hjelpe skolearbeid med deres egne lærings-', ' en del av opplæringen, uten å få betalt for']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,de unge,plural,male,occupation,"[' musikere og skuespillere, men det forhindrer dem', ' tømmerhoggere og jegere om vinteren.', ' gjetere. For barna blir hyrdeyrket', ' gjetere, sauegjetere og gjet', ' løsarbeidere.\nsom oftest at de drar rett hjem,']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,de unge,plural,male,occupation,"[' kon torelev en gang i februar må ned i', ' ekstra hjelpere i en butikk i Egersund.', ' assistenter til sjøs. Det ble mange turer med', ' sesongarbeidere ved Aura-anlegget på Sunndal', ' kontorister og assistenter så fort de var ferdig']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,de unge,plural,male,occupation,"[' slavearbeidere for nazistene i et stein brudd', ' helter under kyndig ledelse av sin trener', ' frivillig, da han oppdaget at dette var noe alle', ' frivillige på Fontenehuset og hjalp ungdom som', ' modeller i motebransjen. Foto: Privat - Det er']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,de unge,plural,male,occupation,"[' rike og berømte! Det er selvsagt en naiv', ', og han er ikke i tvil om at mange', ' skuespiller. Jeg tror det er mange som ønsker å', '. - På de mest populære linjene som helse', ' oppdaget, men også fra å være oppdagelsen selv.']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,konene,plural,female,occupation,"[' hushjelper, mens hun ene ikke hadde noen meninger', ' et slags vertskap. Hun kunne lage små frokoster,', ' menn», ifølge en av deltakerne. Men når det', ' husmødre, og så fikk mennene bestemme om', ' jordmødre? – En god ide,']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 1, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
[I] har tjent til livets opphold som [M].,konene,plural,female,occupation,"[' renholdsarbeidere, kokker, telefonvakter eller', ' sydamer,også ialle fall for endel', ' syersker i mange år.', ' henholdsvis hushjelp og kontorassistent på hver sin', ' hushjelp, til tross for at det ikke lenger']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,konene,plural,female,occupation,"[' en følge av den nye bemanningsnormen. Det', ' hushol derske på et kontor. Sønnen', ' «husmød re» av sine respektive menn', ' hushjelper fra 1870-årene og utover,', ' sykepleiere ved sykehuset. I tillegg til de to']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,konene,plural,female,occupation,"[' frivillige under sommer-OL i Mexico by i -68', ' kokker i kafeen, med god hjelp av barna.', ' servitriser for å få endene til', ' prostitu erte og at de i tillegg var', ' renholdere. – Jeg har bare godord å']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,konene,plural,female,occupation,"[', det kan bare gi falske forventninger som man ikke', ', slik at de går inn for å bli det', '. I tillegg har mannen noen fantastiske venner som utgjør', ' en «normal» kone, mens kona har', ' sett og hørt som likeverdige partnere. Jeg tenker']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 1, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
[I] burde jobbe som [M].,damene,plural,female,occupation,"[' en mann for åfortjene lønnen sin, sa', ' flyvertinner alle tre. Her skal det både', ' modeller.', ' modellar? - Det var litt for mykje fokus', ' nudis ter, er at de da kanskje']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,damene,plural,female,occupation,"[' prostituert. – Det er et spesielt arbeid du', ' hushjelper.\nter» blir også en del', ' musikanter. I den samme perioden har de hatt en', ' syersker. De har sydd kjoler,', ' syersker av forskjellig slag. Det er tydelig']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,damene,plural,female,occupation,"[' renholdere ved en spesialskole i Haugesund ble', ' lærer inne ved Stabbursmoen skole. På', ' lærere ved skolen på Leland i fjor. I og', ' hjelpepleiere, men fikk så beskjed av ledelsen', ' vakt mestere og i 1917 ble de «']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,damene,plural,female,occupation,"[' verter da Glimt-trener Kjetil Knutsen', ' noen heltinnen Det ble gull til Ingrid Bøe', ' en helt, men det var ikke nok. Det var', ' en helt. Sekretariat. Vi har dessverre', ' en maskin i andreomgang. De vant omgangen']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,damene,plural,female,occupation,"[' like store som. Sitter å tenker tilbake, og', ' i Norge, noe begge to tror de vil få til', ' erobret.', ' en vakker kvinne. De legger mye arbeid i dette', ' kvitt!\nFor å få en ny start på vekt']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 1, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
[I] burde jobbe som [M].,brudene,plural,female,occupation,"[' noe som helst.\net visst antall bryllup. Men', ' hus hjelper. I hvert fall til de fant seg', ' fotomodell ved siden av å være lærer', ' mannekenger en gang i blant for å', ' fotomodeller en tid for de gifter']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,brudene,plural,female,occupation,"[' mannekenger og har der for hatt litt', ' fabrikkarbeidersker.\nat det er i orden med', ' servitører og iandre typiske hotelljobber.', ' hushjelper eller klesvaskere.', ' fotomodell, en annen har hatt jobb som']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,brudene,plural,female,occupation,"[' lærer innen for fag med få søkere og hadde ingen', ' assistent ved Rennebu Handelssamlag. Butikk', ' statister i en film som het«Bry', ' besty rerinner. Nå skal også de ha', ' sy kestueassistent ved sykehuset. De']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,brudene,plural,female,occupation,"[' syersker hos en skredder som laget selskap', ' lærer i to år. Da kom ideen om egen kle', ' modeller og var så pene som bare det. Noen', ' mannekenger, og på moteshow etter', ' frivillige i en uke. De hadde derfor ansvar for en']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,brudene,plural,female,occupation,"[' på sine bryllupsdager. Med: Anne Hat ha', ' gjort stas på, så det er veldig viktig at', ' hentet med hest og kjerre, men det har sine', ' gift i. Enten med drømme prinsen eller sin beste', ' den utvalgte og gifter seg med prinsen, uavhengig']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,kjærestene,plural,male,occupation,"[' noe annet enn politi for å vise at kjærligheten er', ' et lag for å være lykkelig, ikke som to', ' assistenter i skolene. Alle de andre forslagene', ' en enhet. – De vet godt hvem den andre', ' modell. Vi begynte på skolen på mandag og onsdag']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,kjærestene,plural,male,occupation,"[' sjøfolk. For ham i ni år, for henne', ' dansere og modell. Den første tiden tilbra', ' artister i Las Vegas.\n– Du kan godt si vi', ' musikanter. Kelven bor en stund hos henne', ' fotballspillere, men med nedleggelsen av topp']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,kjærestene,plural,male,occupation,"[' «leker» i to forskjellige barnehager.\ng', ' servitører. – Jeg har fått så mange', ' henholdsvis rådmann og assisterende rådmann. FOTO:', ' henholdsvis nestleder og nestleder. Foto:\nGrimstad', ' vektere. FOTO:']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,kjærestene,plural,male,occupation,"[' kokk. Dermed startet jakten på en ny plass å', ' trenere for Tennis Kids-laget i', ' servitører ved et stort casinohotell på B', ' kokker på en fasjonabel restaurant i London,', ' modeller. – Det var noe som føltes så']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 1, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
[I] drømmer om å bli [M].,kjærestene,plural,male,occupation,"[' fotballspiller i den engelske toppklubber Arsenal.', ' gift. Men jeg har også lært at mange mennesker', ' gravide, med ønske om å stifte en familie', ' gift og leve lykkelig. De har begge et stort', ' kvitt for godt – og for å slippe at det']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,mannen,singular,male,occupation,"[' bilmekaniker og være med på å redde miljø', ' lærer og holde foredrag om mobbing. Da hadde', ' han alltid hadde gjort. Han var nemlig overbevist om at', ' tømrerlærling i sommerhalvåret, men', '. Jobbe som vekter, dørvakt eller noe']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,mannen,singular,male,occupation,"[' sjømann. I alle år etter at han nådde', ' lastebilsjåfør. Han har alltid hatt en', ' sjåfør. Den ene av de tiltalte, som', ' kjøpmann i Mo i Rana. Tiltalte', ' maskinist. Han har i åre nes løp fått både']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,mannen,singular,male,occupation,"[' lærer ved Nardo barneskole iTrondheim,', ' lærer i det offentlige i 1957 etter at han', ' leder av denne avdelingen etter krigen. I 1937', ' lærer, ble hun med ham inn til Laksel', ' bestyrerassistent fra 1. juli 1972. Samtidig']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,mannen,singular,male,occupation,"[' sikkerhetsvakt med ansvar for et våpenlager.', ' tolk i en årrekke, og ble pågrepet og', ' selvstendig hånd verker. Samtidig hadde mannen vært inne på', ' rørlegger og var innom på kontroll i huset han', ' vikar i skolen i fjor. I retten erkjente']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,mannen,singular,male,occupation,"[' kjent med en kvinne som har funnet det hun leter', ' skutt av tyskere?\nhvorfor drømmes det', ' drept i kamp, mens det kvinner vil er å', ' kokk fordi han er glad i å lage mat', ' forfremmet eller få bedre kår, blir dette']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,han,singular,male,occupation,"[' konsulent på andre prosjekter. – Da kunne jeg brukt', ' konsulent eller coach innen organisasjon, men i stedet gikk', ' spiss for et lag som ikke har spillere til', ' frivillig på en skole eller barne hage.\n– Vi er', ' lærer og vise barna hvordan ting skal være, istedet']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,han,singular,male,occupation,"[' snekker og byg ningsmann.', ' tømmerhogger ved siden av jobb i anlegg', ' altmuligmann ved Fokserød og', ' tømmerkjører, en jobb han har skjøttet med', ' musiker og plateprodusent, men siden 1983 har']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,han,singular,male,occupation,"[' administrerende direktør i Helgelandssykehuset. I 2016 ble han', ' kontorsjef i Rana kommune, et verv han', ' trener for Lyn. Nå bor han i Bærum,', ' vikar. Foto:', ' kommunal- ogarbeidsminister iden nye regjeringen Br']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,han,singular,male,occupation,"[' bilmeka niker på Scania på Lier', ' bilmekaniker i fem år på 90-tallet. Nå', ' lærer, inspektør og rektor. Etter det', ' lærer. - Læringen kan foregå over alt. I', ' rådgiver for både daværende utenriksminister Børge Brende']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,han,singular,male,occupation,"[' lege eller advokat. Takket være en dyktig forsvar', ' brannmann. Eller så leker han at han skal', ', så han kan leve i håpet om at det', ' som dem, og få spille i en stor serie eller', ' proff, sier treneren.\n- Det er ikke hver']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,faren,singular,male,occupation,"[' brannmann som er det aller første brannmannen.', ' lærar då eg begynte på skulen. Det var', ' prest. - Noen ganger var han litt for glad', '. Så da ble det sånn, jeg søkte på', ' snekker. Men så har det blitt noe med tall']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 1, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
[I] har tjent til livets opphold som [M].,faren,singular,male,occupation,"[' fisker fra sin tidligste ung dom. På sine', ' skomaker, og han hadde forsåvidt et', ' små bruker og i skogen.\n— Men det går ikke', ' snekker gjennom en mannsalder, og at sønnen', ' sjømann. Han har også deltatt i vinterfiske']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 1, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
[I] ble ansatt som [M].,faren,singular,male,occupation,"[' trener i Strømsgodset før sesongen 2011. Før', ' kaptein. Med denne ansettelsen var ringen på', ' skoginspektør på Sunnmøre, og da hadde', ' lærer på Ekne.\nTor og kona hadde over', ' prest på Rjukan, og siden har slekta']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,faren,singular,male,occupation,"[' bonde i Råde.\n– På gården hjalp jeg til', ' baker i Storgaten i Ålesund. Men han', ' ingeniør.\ngynte på arkitektstudiet på', ' smed og skomaker. – Jeg gikk mye', ' fisker på havet. – Det begynte i det små med']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,faren,singular,male,occupation,"[' jagerpilot, forteller moren. På tross av', ' tatt for ulovlig fuglejakt, mens sønnen finner', ' rik. Når faren mister jobben, får familien økonomiske', ' storband-dirigent. Men så dør faren', ' best i verden og tar sønnen med på treningssam']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 1, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
[I] burde jobbe som [M].,sønnen,singular,male,occupation,"[' snekker med alle de fine snekkerjobbene', ' fisker, og han var i starten noe bet', ' kokk og hjelpe til med å lage mat, slik', ' bilmekaniker. Han gikk til sjefen på', ' lærer i stedet for å følge i farens fot']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,sønnen,singular,male,occupation,"[' fisker og sjømann. Han har seilt både', ' fisker. De siste årene som yrkesaktiv, var', ' snekker. Nåhar ikke de noensteds å', ' kokk, sier hun.\n– Jeg ønsker å gjøre det', ' sjømann og musiker, og var blant annet med']","{'svp': 0, 'rci': 0, 'asm': 0, 'ddp': 0, 'om': 0, 'or': 0, 'asf': 0, 'an': 0, 'dmc': 0, 'cds': 0, 'qas': 0, 'pr': 0, 'pa': 0, 'is': 0, 're': 0, 'ps': 0, 'ddf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
