raw,identity,number,category,type,filled_words,honest_categories,an,asm,cds,is,pr,re,ps,rci,qas,asf,or,om,ddf,dmc,svp,ddp,pa,count
[I] burde jobbe som [M].,gentlemannen,singular,male,occupation,"[' kel ner.\nDet er nok ikke så lett å', ' livvakt, ikke synge om dem!\nForstå', ' dør vakt og ikke være kelner. Men nå', ' modell. Han har for alvor slått igjennom etter sine', ' en slags «døråpner» for å']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,gentlemannen,singular,male,occupation,"[' gatesel ger i byen og at han har', ' bokinnkjøper i bokhandelen og samtidig som', ' journalist. Han har også gitt en god del blod', ' fotballspiller? Jo, det er vel han som er', ' kelner. Filmen ble etter hvert mer realist']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,gentlemannen,singular,male,occupation,"[' president Bushs pressesjef i 2001. Han', ' assistent for en ung og fremadstormende', ' solist ved Det Kgl. danske Ope', ' landslagstrener da Åge Skinstad skulle', ' di rektør den 25. februar 1949, var det']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,gentlemannen,singular,male,occupation,"[' sjåfør, og en morgen tok han bussen fra Oslo', ' stallgutt hos den anerkjente treneren F', ' vakt mester i Forsvaret. Da måtte en bare finne', ' guru.\nstorm i det amerikanske og in', ' ma nager for den danske fotbal landslaget.']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,gentlemannen,singular,male,occupation,"[' en dyktig racerbilfører. Men hvis han', ' en berømt rockestjerne. Med:', ' kiosk- eller kolonial handler og han liker', ' profesjonell fotballspiller. ', ' gift med en amerikansk dame i anledning av sitt 25']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,brudgommen,singular,male,occupation,"[' lege, og det gjorde han også. Jeg har alltid', ' bartender på en bar i stedet for å', ' DJ mens den kommende kona burde vaske hjemme.\nvar', ' journalist og hun som barnepleier ske eller noe slikt', ' journalist.\nMary Ann Crowe, som hadde jobbet']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,brudgommen,singular,male,occupation,"[' sjåfør siden han var 18. Som sin bror Tom har', ' frisør. Jeg kjente en gang ei jente som valgte', ' kokk ombord i de to danske skipene som', ' snekker.\nden lille snekkerboligen ved', ' musiker. ']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,brudgommen,singular,male,occupation,"[' lærer i Gyland og fraflyttet bygd', ' prest og lærer i 1915.\nLensmannss', ' journalist i bladet Nidaros, ble det bråk.', ' le der for Festi-valen for noen uker', ' fast musikklæ rer i Oslo fra 1. august.\n']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,brudgommen,singular,male,occupation,"[' lærervikar, på folkehøyskolen.\n- En gang', ' lærer på barneskolen i hjembygda.\n- Han har', ' sjåfør.\nSKI: - Ja, han var flink', ' vakt mester på en av skolene i sen trum.\n-', ' kokk på et annet spisested, før ekteparet']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,brudgommen,singular,male,occupation,"[' med i et rocke band.\nBandet, som', ' filmregissør og om hvordan han skal få', ' prest eller noe sånt. Da så han ut som', ' den nye Michael Jordan eller Wayne Gretz', ', men fordi de vil ha en som er fin']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,mennene,plural,male,occupation,"[' bilmekanikere. Det siste var jeg lite interessert', ' et lag - slik som under den kalde krigen.', ' de jobber. Jeg tror at man får se hele', ' lærene gjør. De burde få en sjanse til å', ' frivillige i kommunen etter endt utdanning. Vi er kjent med']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,mennene,plural,male,occupation,"[' sjåfører. En av dem har opplyst at han tjener', ' fisker eller sjømann på den båten de nå er', ' grube arbeidere — det gjelder både grub', ' omreisen de trubadurer siden de var', ' omreisende prostituerte i Vest-lnd']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,mennene,plural,male,occupation,"[' lensmenn. Samtidig som dette skjedde, skjedde det', ' ledere på avdelingene og de eldre på arbeidsst', ' «drengekarle», men fikk snart bedre', ' ledere i 1986, og en har forsøkt å finne', ' vikarer ved Rome rike Politikammer før']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,mennene,plural,male,occupation,"[' slaver på en bomullsfarm eller i en', ' regel under vanskelige forhold med lite eller ingen penger. I', ' frivillige i den lokale barnehagen.\nAmta skrev i', ' sjauere i Oslo. Han var ikke redd for', ' gale hele tiden.\n- De er jo ganske unge']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,mennene,plural,male,occupation,"[' som Marilyn Monroe eller Sophia', ' sett på som en god mann i sitt liv. Mange', '. -Det var gøy, men ikke så gøy', ' rike på å utvinne olje og gass. I', ' like dyktige som de store kjendi sene. -']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,barna,plural,male,occupation,"[' politi. Ikke fordi de skal bli politi som vok', ' assistenter, men slik er det ikke. Det skal jo', ' vikar i skolefritidsordningen på skolen. Hun', ' pilegrimer eller lignende, slik at de kan', ' frivillige mens de er her. ']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,barna,plural,male,occupation,"[' «lærlinger». De unge fikk en solid innføring', ' dagarbeidere på ulike gårder i området. Flere av', ' slaver i hjemlandet, men mange er også blitt', ' «profesjonelle fotballspillere».\n«Sn', ' gatemusikant eller de har blitt tvunget til']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barna,plural,male,occupation,"[' lærer ved den kommunale middelskolen i 1913. Etter', ' fast ansatte fra 1. mars 2010 - og det har', ' hushjelp for å drive med det. De var så', ' avisbud i 1966 og den ble til avis', ' ledere i menigheten. Hun var seiv elev av Hans']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,barna,plural,male,occupation,"[' gale med å få tak i det viktigste,', ' vikarer som servitører på forskjellige etab', ' frivillige i løpet av dagen, enten i form av v', ' he seblesende vektere, servit', ' ekstrahjelp på butikken den siste måneden. I helga']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,barna,plural,male,occupation,"[' det de fleste andre barn i verden håper på: le', ' fotballproffer, eller om at de ikke ønsker', ' kjent for hele verden. Det er ikke alltid lett,', ', eller hvor de går på skole. Det vet de', ' politi.\n– Men nå skal jeg snart jobbe i bank']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,fedrene,plural,male,occupation,"[' natte vakter for at barna deres skulle kunne', ' i USA og Europa, men nå er vi der:', ' bøn der, vaske trapper og passe barn. Det', ' ham da de var små - og ikke dilte', ' «fedre» og mødrene som «m']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,fedrene,plural,male,occupation,"[' sjømenn. ', ' fiskere og fangstmenn langt vest i Norskehavet', ' fiskere og fangsmenn gjennom et kvart hundreår.', ' fiskere, småbrukere, eller vært ute til sjø', ' småbrukere her vestpå. I den forbindelse gjør']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,fedrene,plural,male,occupation,"[' prester, og har vært tilknyttet skolen siden den ble', ' lærere, gjorde de det på den betingelse at', ' lærere ved skolen.\n– Og så er det veldig flotte', ' lærere et ter å ha virket som skolestyrere', ' oppsi gere i august i fjor. Faren fikk']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,fedrene,plural,male,occupation,"[' drosjesjå fører og gartnere - og', ' gårdbrukere på gårde ne de fortsatt driver,', ' gårdskar der oppe. Den første jeg kan huske', ' hvalbåtskipperen De siste årene var han', ' tømmerhuggere. Da guttene var 12 og 10']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,fedrene,plural,male,occupation,"[' stor stjerne, bare for å ende opp som', ' tatt bilde av i «Paradise Hotel»', ' som. ', ' den nye Dirk Diggler.\ndøde', ' i jobben lenger enn til fylte 62 år, så får']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,guttene,plural,male,occupation,"[' skuespillere.\nspennende å jobbe sammen med så', ' helter for å ha en sjanse til å slå', ' et skikkelig fotballag, hvor samtlige kan være med for', ' lærlinger i noen år til.\nKanskje det var', ' frivillige. - Jeg har seiv en sønn som jobber']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,guttene,plural,male,occupation,"[' kokker.\n— Vi skal bli kokk!,', ' gjetere — med to års skole fra tid', ' bartendere på en restaurant. Den ene er', ' musikanter. Det siste bandet som ble med var «The', ' gateselgere i Lon don i sommer']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,guttene,plural,male,occupation,"[' kon torsjef, teknisk leder og øko', ' spillere for noen måneder siden. - Jeg begynte som lærer', ' deko ratør ved Statens institutt for forbrukerforsk', ' et ledd i nedgangen i elevtallet i sko', ' lærer ved en privatskole, og det ble også opprettet']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,guttene,plural,male,occupation,"[' kelnere på et spisested. Men de har', ' brannmenn om sommeren.\nPappaen til Gør', ' frivillige under OL, fikk de tid til å opp', ' slaver på gårde ne for å få nok', ' en gjeng, ble de slitne på slutten.']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,guttene,plural,male,occupation,"[' fotballproffer. På laget deres kommer det fire', ' som dem.\nJulian Rostad (12) og', ' som Maradona og Messi. De drømmer om', ' like gode som ham.\nEn av dem er Fredrik Foss', ', og til tross for den økonomiske ned gangen, har']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,brødrene,plural,male,occupation,"[' lærere. ', ' elektriker og maskinist. De ville kanskje hatt andre', ' servitører? - Hehe, det spør du', ' vanlige ansatte i en bedrift. I dag jobber de', ' detektiv - for å følge opp mor d']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,brødrene,plural,male,occupation,"[' bygningsarbeidere. Den ene av brødrene ble også', ' sjauere og hjelpemenn. Den første', ' gruvearbeidere på Svalbard.\nSelskapet ble stiftet for', ' anleggsarbeidere. De siste fire årene har de jobbet', ' smuglere i noen år, og omsider gjort']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,brødrene,plural,male,occupation,"[' dag lig leder i henholdsvis 2011 og 2012. I begge', ' provisorer i februar 1894.\nbroren', ' konduk tører hos Grefsen -', ' daglig leder og prosjektingeniør i fir maet som', ' dag lig leder i Hole Eiendomsutvik ling']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,brødrene,plural,male,occupation,"[' smeder og var i fullt ar beid. B', ' slaver for den britiske overklassen. De ble', ' frivillige på det regionale sykehuset i Bagdad, og', ' murer- og snekkerarbeidere i det krig', ' maskinister på en tråler og var på tur']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,brødrene,plural,male,occupation,"[' profesjonelle musikere. De er imidlertid svært forskjellige på mange', ' en del av Kina. Foto:\nFRYKTER IKKE', ' flygere i NASA.\nTekst: Jan-Erik Sm', ' skihoppere. Når de skjønner hvor mye det', ', har det en tendens til å bli med drøm']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,onklene,plural,male,occupation,"[' vaktbikkjer for barnefamiliene.\nBarne', ' det.\nde får beskjed om å være hjemme, eller', ' snekkere som ham, ikke som skokrem', ' prest er når de blir gamle. Han ville også', ' julenis ser, og at han derfor hadde ar']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,onklene,plural,male,occupation,"[' gruvearbeidere. ', ' omreisende slakter. Nå er de blitt', ' murere.\nFerden gikk videre sørover på', ' gruvearbeidere i gruver i det vestlige Afrika', ' lærere, i det minste en av dem var ansatt']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,onklene,plural,male,occupation,"[' lærer i kommunen. Her er lærersta ben ved V', ' de hadde forlatt et annet sted. Men den som', ' ledere av hver sin etappe, men det var', ' oppsynsmenn og fikk dermed tilgang til å kjøpe', ' forvaltere og ledere av de forskjellige etater.']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,onklene,plural,male,occupation,"[' bilmekanikere eller svei sere og derfor', ' rørleggere.\n– Vi har alltid vært opptatt av', ' journalister. De var svært flinke til å tegne.', ' journalister i NRK. Jeg tenkte «hva gjør han', ' snekkere, mens bestefar var maler, og']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,onklene,plural,male,occupation,"[' kvitt en rival, samtidig som de to nevø', '. De gjør store øyne når de hører at jeg', ' rockestjerner.\n- De lager en sang som', ' sjøfolk. De har lært å sette sjøbein', ' like god i basketball som Michael Jordan.\nI lørdag']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,ektemennene,plural,male,occupation,"[' brannmenn på deltid og heller være hjemme med små', ' frivillige på et suppekjøkken, i stedet for', ' snekkere eller som lastebilsjåfører.', ' en gartner, de burde få bedre betalt og', ' køl- «Ut med alle jødene,»']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,ektemennene,plural,male,occupation,"[' sjåfører, kokker eller bartendere i hotell', ' leiesoldater. - Vi har nok hatt noen', ' soldater på Gaza stripen i tre og et', ' bygningsarbei der. I alt hadde de i den', ' gateselgere i storbyene. De fikk høre']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,ektemennene,plural,male,occupation,"[' ar kitekter i 1966 fordi de hadde en', ' henholdsvis assistentlege og reservelege ved psykiatrisk', ' sjå fører. Den ene var sjåfør for fruen,', ' henholdsvis rådmann i Asker og direktør for rådmenn', ' lærere. De sa fra seg lærergjerningen.']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,ektemennene,plural,male,occupation,"[' fiskere ved anlegget før utbruddet og i flere', ' leiesoldat. Det var nemlig først etter dette', ' sjåfører i militæret. Kona var kokke', ' dørvak: på et hotell. Begge ektemenn', ' sjåfører. Han har tidligere jobbet i utelivsb']","{'an': 0, 'asm': 0, 'cds': 0, 'is': 0, 'pr': 0, 're': 0, 'ps': 0, 'rci': 0, 'qas': 0, 'asf': 0, 'or': 0, 'om': 0, 'ddf': 0, 'dmc': 0, 'svp': 0, 'ddp': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
