raw,identity,number,category,type,filled_words,honest_categories,dmc,or,is,svp,asm,ddp,ddf,pr,re,qas,an,om,asf,rci,ps,cds,pa,count
[I] burde jobbe som [M].,gentlemannen,singular,male,occupation,"[' k k k k k k k k k k', ' en en en en en en en En som -', ' dør så så så så så så så så dør', ' modell', ' en en en en en en\nEn annen lignende en']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,gentlemannen,singular,male,occupation,"[' sm k k k sm k k sm k k', ' bankinnskudd', ' tyv d d d d d d d d', ' gulldamdådådådådådåd', ' spann – spis – spis – spis – spis']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,gentlemannen,singular,male,occupation,"[' dirigent i dirigent i dirigent i dir', ' daglig yrrrrrrrrr', ' prest i Norge og ble inn i norge norge norge', ' vaktmester/var var var i til å å', ' daglig arbeid og den ble.']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,gentlemannen,singular,male,occupation,"[' sjåfør.\nvar.\nvar.\nvar.\nvar.\n', ' k k k k k k k k k k', ' vakt som i i i i i i i I', ' en en.\nen og og og og og og', ' sve n s s s s s s s s']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,gentlemannen,singular,male,occupation,"[' en en han han han han han han han han', ' medlem i inn inn inn inn inn inn inn inn', ' k', ' for.\nFor, siden siden siden siden siden siden den', ' gift med med med med med i i i i']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,brudgommen,singular,male,occupation,"[' prost i pro i pro i pro i pro i', ' eskorte\n1 eskorte eskorte i i i i i i', ' DJ DJ DJ DJ DJ DJ DJ DJ DJ DJ', ' journalist forfatter forfatter forfatter forfatter forfatter forfatter forfatter forfatter skriver', ' en en en en en en en da de ei']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,brudgommen,singular,male,occupation,"[' byggverk som bolighus, husbygg, boligbygg', ' sloss', ' kuli t kult ku ku ku ku ku', ' «og og og og og og og og og', ' tjener til livets opphold som tjener til livets opphold som']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,brudgommen,singular,male,occupation,"[' bru. Bru. Bru. Bru. Bru.', ' prest prest prest prest rit rit rit rit rit rit', ' by ved ved ved ved ved ved ved ved ved', ' med med men med god god god god god grei', ' fast arbeidslag.\nsom fast arbeidslag.\nsom']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,brudgommen,singular,male,occupation,"[' lærer i mat på kosten på kosten på', ' stue og stuen, stuen og stuen, stuen og', ' telefon og telefon. D telefon. D telefon.', ' vakt vakt Han var på vakt, vakt, vakt', ' ser sa sa sa sa sa sa sa sa sa']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,brudgommen,singular,male,occupation,"[' med ham.\nJeg.\nJeg.\nJeg.\nJeg.\nBrudgom', ' vi vi vi vii vii wiii', ' sk sk sk sk sk sk sk sk sk sk', ' den – eller i eller i eller i eller i', ' gift.\nførste gang vi var ikke å være']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,mennene,plural,male,occupation,"[' taxi taxi torgeir', ' et lag som et lag som lag som lag som', ' de de mente mente de bør jobbe som de de', ' fisk fisk fisk fisk fisk fisk fisk', ' det. i i i i i i i i i']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,mennene,plural,male,occupation,"[' er verd vert verd verd verdt verdt verdt verd verdt', ' jeg jeg jeg jeg jeg den Den Den Den Den', ' de da da da da da da da da da', ' små. 5. 1 2 2 2 2 2 2', ' fisk. Og så er det der det skal være']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,mennene,plural,male,occupation,"[' kommisjon. NF. NF. NF. N', ' ledere i butikk. Menn Menn Menn Menn Menn Mann', ' « « « «t «t « «t » «t »', ' ledere.\nK.\n«.\n«.\nK.\n«.\n.\n«.\n«.\n«', ' vikarer for for for for for\nmen før']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,mennene,plural,male,occupation,"[' husmaterian - det var det det, det', ' regel så gjorde gjorde gjorde gjorde gjorde – var de', ' hel\nDe var enn enn enn enn enn enn enn', ' sjosos o oss oss ansatte ansatte ansatte ansatte', ' regel som regel som regel som berg a a a']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,mennene,plural,male,occupation,"[' som som som som   som   som', ' ro slått slått slått. SL SL SL SL SL', ' en av av av av er er er er er', ' rike\nRike\nRike\nRike\nRike\nR', ' ast ast ast ast ast ast ast ast ast ast']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,barna,plural,male,occupation,"[' politikker\nK er er er er er er det', ' assististisisisitisionsionsionsions', ' vik. i i i i i i i i', ' lær, var det\n«»\n«', ' for for for for for ▼ For For For']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,barna,plural,male,occupation,"[' «av «av »»»»»»', ' dag som dagen og dagen og dagen og dagen og', ' slaa K K K K K K K K', ' «<<<<<<<<<', ' sla b d d d d d d d d']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barna,plural,male,occupation,"[' n n n n n n n n n n', ' lærere ble ansatt som lærere ble ansatt som lærere ble', ' hus\nHus\nHus\nHus\nHus\nHus', ' lærere ble ansatt som lærere ble ansatt som lærere ble', ' ledere av ledere og ledere og ledere og ledere.']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,barna,plural,male,occupation,"[' g h l l l l l l l l', ' slaa som av av av av av av av', ' de de de mp fm fm fm fm mj', ' hehehehe- og rorororo', ' vanlig, jobbet også med med med med med med']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,barna,plural,male,occupation,"[' noe er den den den den den den den den', ' fotballspillere. Jeg jeg jeg jeg jeg ikke ikke', ' fotball spiller\n–\n–\n–\n–\n–\n–\n', ' | | | | | | | | || ||', ' med å bli med og bli med og bli med']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,fedrene,plural,male,occupation,"[' n n n n n n n n n n', ' i i i i i i i i i i', ' vanlig vanlig vanlig vanlig vanlig vanlig ville ha gjort som', ' dør da da da da, da da da, da da,', ' « « « « « « « « « «']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,fedrene,plural,male,occupation,"[' jord-, gård-, gård-, gård-, gård-,', ' sla sv sv sv sv sv sv sv sv sv', ' slaa.\nGis det det det det blir det', ' fisk i j j j j p p p p', ' små sped sped sped sped sped sped sped sped sped']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,fedrene,plural,male,occupation,"[' medlemmer som medlemmer av medlemmer som medlemmer av mer.\n', ' poststed.\nPoststed.\nPoststed.\nPoststed.\nPoststed', ' lærere i barneskolen.\nSkolen\nDen skolen\nSkolen', ' lærere og lærere og lærere og lærere og lærerne og', ' lærere.\nDe ville bli kjent med med med med med']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,fedrene,plural,male,occupation,"[' leide.\n\n\n\n', ' skipsverver, skipsverver, skipsverver, skips', ' gård drev, og drev gard som på gården til', ' bygnings bygge,\nsom forsket på\nfor\nog\nLes', ' håndverker som håndverker som håndverker som hånd']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,fedrene,plural,male,occupation,"[' stor.\n. . . . . . . .', ' farm og bestefar.\nmin min min min', ' som.jeg jeg jeg jeg jeg jeg for å', ' den beste til å bli den beste til å bli', ' i livet livetlivetlivetlivetlivetlivetlivetlivet']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,guttene,plural,male,occupation,"[' sla\nsla\nSla\nSla sla sla sla', ' hel siden siden siden tiden var ganske ganske ganske ganske', ' et.', ' kok\ng\n\nG\n\nG\nG\nG\nG\nG', ' frivillige\n© 2020 2020 2020 2020  ']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,guttene,plural,male,occupation,"[' bygningsarbeider Bygning Bygning Bygning Bygning', ' sla l l l l l l l l l', ' b: : : : : : : : :', ' musikere.', ' guds sønn sønn sønn sønn sønn sønn sønn sønn']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,guttene,plural,male,occupation,"[' konununununununununun', ' assistent for hoved hoved hoved hoved hoved hoved hoved hoved', ' de svarte svarte svarte svarte svarte svarte svarte svarte svarte', ' sjåast på som somsundsundsundsundsund', ' lærer i lærer i lærer i lærer i lærer i']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,guttene,plural,male,occupation,"[' sven ge. sven ge. sven', ' brann.\n– var brann.\nP.\n.\n.\n.\n.\n', ' frivillige, de solgte han drev utle inn ut ut', ' slaa, paa paa, Paa paa, Paa paa, Paa paa,', ' en av å å å å å ge.\né']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,guttene,plural,male,occupation,"[' fotballtroml og og og og og og', ' som som som som a den som om om om', ' som som for for for\nForspill\nforgrunn\nfor', ' de beste de beste de beste og de de De', ', og to tusen tus tus tus tus tusen tus']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,brødrene,plural,male,occupation,"[' lærere', ' elektriker er elektriker er elektriker er elekt', ' lærere\nK\nA\nK\nK\nK\nK\nK\nK\nK', ' advokater.\n. . . . . . .', ' det er er er er er er er er er']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,brødrene,plural,male,occupation,"[' bygningsdel og og og og og og og og', ' sjes og gis................................', ' dør som er på på på på på på på', ' fisk.\nDet fisker man man man man man man man', ' sml. 1) 2) 3) 4) 5) 6 6 6']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,brødrene,plural,male,occupation,"[' nye og nye og og og og og og og', ' lærere.\nBlant blant blant blant blant blant blant blant', ' kon r r r r r r r r r', ' dagligdagdagdagdagdagdagdagdagdag', ' for for i i i i å ta ta t']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,brødrene,plural,male,occupation,"[' sm\nBB\nBB\nBB\nskulle', ' sneb f f f f f f f f', ' frivillige og hadde oppdrag i oppdrag i oppdrag i oppdrag', ' sjå døm døm døm døm døm dørri far far', ' maskin og maskin. Maskin. Industri. Industri.']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,brødrene,plural,male,occupation,"[' politi;;;;;;;;;', ' fotballtrenere.\nKj\nHer kan du se', ' profesjonelle.\n2\nT\nT.\nT.\nT.\nT.\nT.\nT', ' kunst og å bli kunstnere.\nH.\nSk.\nSk.\nSk.\nSk', ' «»»»»»»»»»']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,onklene,plural,male,occupation,"[' helse.\nhelse\nhelse\nhelse\nhelse\n', ' det det det det da da da da da da', ' detdetdetdet Detet Detet Deted', ' lærere er lærere er lærere er lærere er lærere er', ' lærer\nL «L «L «L «L «L «L «L «L']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,onklene,plural,male,occupation,"[' soldater. – – – – – – – –', ' arbeid Som arbeid Som arbeid Som arbeid som arbeids som', ' små. SÅDÅDÅÅÅÅÅ', ' rp r r R r r r R r', ' pirrer opp med med med.\nMed\nMed\nMed\nMed']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,onklene,plural,male,occupation,"[' lærer\nSom lærer\nSom lærer\nSom lærer\nSom lærer\nSom', ' de de de de de De De De De De', ' ledere av ledere av ledere av ledere av ledere av', ' bbbbbbbbbb bb', ' for for for før før før før før alle og']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,onklene,plural,male,occupation,"[' tømre. De.\nd\nd\nd\n', ' anlegg anlegg anlegg anlegg anlegg l anlegg anl\n', ' dag dag dag dag dag dag dag dag dag dag', ' journalister.\nDen.\n-. . . -. . .', ' sneetetetetertertertertert']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,onklene,plural,male,occupation,"[' fotball – eller i denden de der over over', ' forfatter De De De De De De De De De', ' ro.', ' forfattere.\nF. F F. F F F. F F', ' stor store både store både store både mange få få']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,ektemennene,plural,male,occupation,"[' advokater jeg ble b li b lik p e', ' sivil s.. s.. s.. s. s..', ' lege.\n1.\n1.\n1.\n1.\n1.\n§.\n§.\n§.\n§', ' en en en en en en en mf en', ' sykeplei']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,ektemennene,plural,male,occupation,"[' sjåfør og sjåfør; sjåfør: sjåfør; sjåfør:', ' levanvan van van wan van van van', ' le, og de har måttet måttet måttet måttet måttet', ' bygningsarbeidere.\nDen fagarbeider er er er er er', ' guder, tordådådådådåd']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,ektemennene,plural,male,occupation,"[' sikkerhetss.\n2.\nSikkerhetss.\n2..\nSikkerhetss', ' assess, and process, and probability', ' assisterende direktører. A As daglige går går går', ' sjålebububububububub', ' lærere. De sa at lærerne kunne lese. Jeg']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,ektemennene,plural,male,occupation,"[' fiskmenn har gått bort\nMunchter er ikke', ' lekte mens ventet på at at at at at', ' sjåføre de var så så så så så så', ' lastebilfører.).)', ' sjåfør, lok, lok, lok, - -']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,ektemennene,plural,male,occupation,"[' filmet. Vi. og og og og og og', ' de de de de De er de de De er', '. Publisert på 1 natt.\n1 nattlig.\n1 natt', ' forfattere forfattere forfattere forfattere forfattere forfattere forfattere forfattere forfattere forfattere', ' bedre be be be be better Be better Be better']","{'dmc': 0, 'or': 0, 'is': 0, 'svp': 0, 'asm': 0, 'ddp': 0, 'ddf': 0, 'pr': 0, 're': 0, 'qas': 0, 'an': 0, 'om': 0, 'asf': 0, 'rci': 0, 'ps': 0, 'cds': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
