raw,identity,number,category,type,filled_words,honest_categories,or,rci,om,qas,asm,asf,pr,cds,an,ddf,ps,re,svp,ddp,is,dmc,pa,count
[I] jobbet som [M].,kjærestene,plural,male,occupation,"[' frilansskuespillere i USA mens kona var hjemme', ' renholdere, men de ville ikke være med på', ' servitører ved et stort hotell. En ny', ' vanlig, mens venninnen måtte vente til nærmere fem', ' modeller. – Det var noe av det mest normale']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 1, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 1}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
[I] drømmer om å bli [M].,kjærestene,plural,male,occupation,"[' fotballspiller i den nye serien, «Kjære', ' sammen. Men Nicky har også født i hemmelighet', ' de berømte superstjernene som topper list', ' gift og flytte sammen. Så flytter de sammen med to', ' skuespillere, men er for redde til å melde']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,mannen,singular,male,occupation,"[' bartender, og være med på russeb', ' sjåfør og holde meg unna det jeg kaller søppel-TV', ' hjelpepleier. Men en fast deltidsstilling var', ' tømrer eller lignende. Videre forteller han at politiet selv', ' drosjesjåfør, så han kunne kjøre litt']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,mannen,singular,male,occupation,"[' sjømann. I byretten forklarte han at han', ' lastebilsjåfør. Han har alltid hatt helse', ' sjåfør av skolebiler og busser i sin hjem', ' snekker i hjemlandet.\nhan at han har', ' drosjesjåfør. Etter athanble dom']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,mannen,singular,male,occupation,"[' konsulent i NIVÅ, Norsk Institutt for Vann', ' lærer i Ovre Orkdal etter at han', ' leder av denne avdelingen våren 2015.\navdeling, som', ' miljøhygieniker i Vefsn kommune. Av mann', ' besty rer av A/S Vinmonopolet i']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,mannen,singular,male,occupation,"[' sjåfør i et transportfirma.\n– Han har kjørt inn', ' sykepleier i en kommune i Vestre Viken. Han skal', ' selvstendig hånd verker. Han hadde et eget enkeltperson', ' rørlegger hos Tecnisk Service i Kristians', ' vikar i skolen i Drammen. Han er også']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,mannen,singular,male,occupation,"[' verdensmester. FOTO:', ' kjendis men får juling på treningsenteret.\n', ' skuespiller. I dag lever han på hemmelig adresse,', ' bonde, sier han.\n– Han forteller at hun fikk', ' pappa, men har ikke vært gjennom prosessen enda,']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,han,singular,male,occupation,"[' konsulent på kulturkontoret i stedet for på sykehjemmet', ' konsulent eller i en organisasjon, men i mangel av', ' tømrer. Det var noe som lå lett for', ' frivillig på mottaket eller noe. Så er vi på', ' lærer og aldri bli bonde.']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,han,singular,male,occupation,"[' tømrer. På et mer overordnet nivå tror jeg', ' gatemusikant ved Spikersuppa', ' håndlanger for et par rancheiere i', ' fisker. Han har også drevet fiske, men ikke', ' musiker og plateprodusent, men siden 2014 har']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,han,singular,male,occupation,"[' administrerende direktør i Helgelandssykehuset har han gjort det', ' kontorsjef i Tynset kommune.\nsom', ' trener for Lyn. I 2021 gikk han over til', ' vikar. Foto:', ' kulturjournalist i Adresseavisen. Det førte også til']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,han,singular,male,occupation,"[' bilmekaniker. – For omtrent 10 år siden', ' bilmekaniker i fem år på 90-tallet. Nå', ' kokk i Stavanger.\nHan sier han kjente godt til', ' lærer. - Læringen kan foregå på mange måter.', ' rådgiver for Høyre på Stortinget og bidro til at partiet']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,han,singular,male,occupation,"[' lege eller advokat. Han føler seg ikke som en', ' brannmann.', ' komiker eller skuespiller. Han liker å tegne og', ' skuespiller, og har lyst til å bli barnebok', ' sivilingeniør i Trondheim og få seg en jobb innen']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,faren,singular,male,occupation,"[' brannmann i et annet land. Det synes ikke jeg.', ' lærar i skulen på dagtid og trene', ' gårdbruker og kona som sydama.\nstuder', ' skogsarbeider og ikke som prest.', ' snekker. Men så har det seg slik at mor']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 1, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 1}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
[I] har tjent til livets opphold som [M].,faren,singular,male,occupation,"[' fisker fra sin egen sjark i Honningsvåg', ' skomaker, og at de for en stor del', ' journalist. Her i Norge har han og familien bodd', ' en slags slave hos ham. Det er denne sønnen', ' lærer, har måttet ta arbeid som bud eller bud']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 1, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 1}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
[I] ble ansatt som [M].,faren,singular,male,occupation,"[' bestyrer ved et gartneri hvor hanvar', ' bestyrer for filetfabrikken i Henningsv', ' skoginspektør for den statlige skogforvaltningen, mens', ' lærer på Ørlandet høsten 2017. Han har tidligere jobbet', ' postmesterpå Roros.\nen dag fikk']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 1, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 1}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
[I] jobbet som [M].,faren,singular,male,occupation,"[' bonde i sin tid, men at han tok over gården', ' sjømann. – Å jobbe på sjøen er hardt', ' ingeniør.\ngynte han i militæret.', ' snekkerlærling og jobbet ved siden av for', ' fisker. – Far hadde et helt spesielt forhold til']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,faren,singular,male,occupation,"[' fotballspiller, men hans mor har andre planer for', ' kjent for sine talenter, og er villig til å', ' kunster, slik som sin far. Men faren hennes', ' sjømann. Han vil helst ikke jobbe på land,', ' proff i utlandet, men har en vanskelig oppvekst å']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 1, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 1}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
[I] burde jobbe som [M].,sønnen,singular,male,occupation,"[' snekker eller maskinentreprenør for å tjene mer', ' fisker, og han var i starten noe bet', ' politi eller sykepleier. Etter å ha tenkt seg litt', ' sveiser og datteren som butikkdame. Men så', ' lærer i stedet for å kjøpe opp så mye aksjer']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,sønnen,singular,male,occupation,"[' fisker og sjømann. Han har vært heldig med', ' fisker. De siste årene som fisker, har', ' snekker. Nå, som de fleste andre, er det', ' fotomodell. Nå ønsker de å gjøre det', ' sjømann, og derfor burde være uvitende om']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,sønnen,singular,male,occupation,"[' prosjektmedarbeider og jobbet med prosjektet sammen med faren', ' kjøk kensjef? - Det var ikke', ' økonomisjef i selskapet i fjor. Kalland', ' salgssjef i Firesafe i mai i år.', ' daglig leder. I dag eier han 40 prosent av']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,sønnen,singular,male,occupation,"[' dørvakt og han selv sto i kassen. Etter', ' rørlegger, da han gikk i bresjen', ' maskinfører for en underentreprenør, og at', ' bud eller dørvakt på utestedene i hjem', ' fisker og bonde, ble det lite tid til over']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,sønnen,singular,male,occupation,"[' proff i England. Til nå har det ikke gått', ' proffspiller. Han har som flere andre gått grad', ' skuespiller. Han vet også at det er vanskelig å', ' fotballproff og må ta noen ganske uvanlige', ' ingeniør. – Først tenkte jeg at det var umulig']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,gutten,singular,male,occupation,"[' kokk i stedet. - Jeg begynte på kjøkkenet på', ' fisker på en skøy te. Når han kom', ' postmann i postgirobygget på grunn av', "" servitør ved den lokale kina' restauranten"", ' modell, men det hadde han ikke særlig lyst til.']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,gutten,singular,male,occupation,"[' punkmusiker i New York og spiller i', ' kokk —mens andre ikke har hatt så mye.', ' sjåfør. Det er en omfattende siktelse som er', ' modell i et større modellbyrå. En dag blir', ' «innleid» til andre klubber. -']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,gutten,singular,male,occupation,"[' trener for Team Telemark for bare rundt tre måneder siden', ' midlertidig lærer ved denne skolen. For tiden var han ansatt', ' bestyrer i august 1961.', ' lærer fra starten av juli i fjor.\noppsig', ' salgssjef og er en sterk merkevare med godt']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,gutten,singular,male,occupation,"[' rørlegger.\nunder arbeid hos andre firma, men', ' sjåfør i en periode for å finansiere studiene.', ' lærling. Denne måneden har han vært to måneder inne', ' renholder hjemme hos en dame på Storhaug.', ' bilmekanikerlærling på et verksted på Romer']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,gutten,singular,male,occupation,"[' brann mann, som faren.', ' som henne, og etter hvert kan han bli noe bedre.', ' fotballspiller. Som 15-16- åring fikk', ' fotballspiller, men sier etter møtet at drømmen ikke', ' en berømt rapper, og at han ikke har']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,broren,singular,male,occupation,"[' vaktmester og resten av familien hans skulle arbeide for', ' rørlegger eller i et annet praktisk yrke. –', ' servitør på en av de finere restaurant', ' sel ger i stedet for å være hjemme med kona', ' frivillig da kommunen la ut en utlysning. B']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,broren,singular,male,occupation,"[' skogsarbeider. Nå har broren tatt over går', ' bussjåfør, skal det vel ikke så mye', ' gardsarbeider.', ' musiker, og nå må hun overta for ham.\nS', ' sjåfør i et stort internasjonalt firma, og nå står']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,broren,singular,male,occupation,"[' dag lig leder på Shell i Alta, er', ' ny daglig leder i selskapet etter å ha jobbet der', ' en av byens best betalte og mest populære advokater', ' politifull mektig i Vardø.', ' lærer på Tretten. For å hjelpe henne ø']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,broren,singular,male,occupation,"[' lærer. Han sa at barna skulle være hos ham', ' sjåfør og hadde fått låne bilen hans til en kjør', ' lektor i skolen, og som lærer på Kyr', ' rørlegger, og jobbet hele veien i familiebedrift', ' elektromontør. Det var flere år siden han']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,broren,singular,male,occupation,"[' politimann. Drømmen virker fortsatt usannsynlig nå', ' verdens beste sjakkspiller, men i et spill', ' som han fordi han skal være så sterk, og', ' skuespiller og moren drømmer om å kle opp datteren i', ' pilot, og er svært interessert i fly og alt']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,onkelen,singular,male,occupation,"[' mekaniker eller noe sånt heller enn å henge hjemme', ' en onkl og være mer forsiktig. – Det', ' taxisjåfør. Hvis det ikke var noen', ' brannmann.', ' journalist i Aftenbladet, slik at han kan få']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,onkelen,singular,male,occupation,"[' skogsarbeider.\nkelse av ham og hans', ' fisker, var det for å sikre familien et', ' bilmekaniker. De siste månedene før han døde', ' bussjåfør. Han var et arbeidsjern.\n', ' bonde.\nikke nok å bare ha et gårdsbru']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,onkelen,singular,male,occupation,"[' sjåfør på Solbakken. En gang ble han tatt', ' skogvokter i Sikkåsen, og var', ' vaktmester på en bondegård på Ørlandet, og', ' gårdsbestyrer. Siden ble det en rekke jobber', ' byggmester og arkitekt.']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,onkelen,singular,male,occupation,"[' ingeniør i et stort selskap i Oslo. Det var flere', ' vaktmester ved Tistedal skole. – Vi var', '. Det er godt og være tilbake igjen og bli', ' skogsforvalter for skogselskapet. Dette er et', ' en lastebilsjåfør. Han var en person']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,onkelen,singular,male,occupation,"[' prest og har begynt på teologistudiet', ' ingeniør, men når han får vite at han har', ' rik på den ulovlige pokerklub ben i hjem', ' en profesjonell kampsportkunstner, og vil først begynne', ' den største superhelten her i verden.\nK']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,ektemannen,singular,male,occupation,"[' prest i Nord Dakota, i samme strøk', ' helikoptermekaniker i stedet for å ha en jobb', ' rørlegger eller kanskje til og med med å vaske', ' frivillig når de reiser rundt på jakt etter en liv', ' et lag. Vi tok av skoene der og da']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,ektemannen,singular,male,occupation,"[' snekker.\nkunne han ikke svare på da', ' sjømann. De to har tre barn. - Jeg', ' en lege. Selv om han jobber fulltid,', ' fisker.', ' fisker og bonde. Nå er han sykemeldt og']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,ektemannen,singular,male,occupation,"[' brannmann i Kistefos Viltutt', ' fisker hos Kings Bay på nyåret i 2019.', ' teknisk leder i det nystarta selskapet Jæren', ' kommunedirektør i Karlsøy. I stillingen vil han', ' lærer på Sandnes. Til tross for at flere hundre']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,ektemannen,singular,male,occupation,"[' rørlegger. Han var flink med hendene og arbeidet', ' kokk, mens hans mor var utdannet hjemmehjelp.\n', ' lærer, mens sønnen var elev. Så fort de', ' kokk i Singapore, og hun hadde bodd i', ' dør vakt. Det endte med at kvinnen så seg']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 1, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 1}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
[I] drømmer om å bli [M].,ektemannen,singular,male,occupation,"[' skytterkonge, mens kona har lyst å være', ' like kjent som faren. Foto:', ' skuespiller når de blir pensjonister | xstra.no', ' drept.', ' pilot, mens kona hans drømmer om å bli fotball']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,gentlemannen,singular,male,occupation,"[' kelner der han møter de samme gjestene hver', ' livvakt, ikke slåss. En som kjenner', ' dørvakt og ikke være kjekkas som en', ' modell. – Jeg fikk en del oppmerksomhet etter det', ' en finansmegler, snarere enn en finansiell rådgiver']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,gentlemannen,singular,male,occupation,"[' gartner, og de to kom godt overens.', ' bokinnkjøper i bokhandelen og han er', ' flyver i selskapet Pan American fra 1952-6', ' sjømann. Han har ofte reist alene i fremmede', ' hov mester på et hotell i Bergen. Til tross for']","{'or': 0, 'rci': 0, 'om': 0, 'qas': 0, 'asm': 0, 'asf': 0, 'pr': 0, 'cds': 0, 'an': 0, 'ddf': 0, 'ps': 0, 're': 0, 'svp': 0, 'ddp': 0, 'is': 0, 'dmc': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
