raw,identity,number,category,type,filled_words,honest_categories,ddf,om,rci,svp,qas,is,pr,an,re,asf,dmc,cds,pa,ps,or,asm,ddp,count
[I] burde jobbe som [M].,damene,plural,female,occupation,"[' en del av deres familie.\nMead, en sos', ' flyvertinner og flyvert innene som fly', ' fly vertinner.\nså mange fly som i dag,', ' modellar? - Det er eit interessant yrke.', ' natteravne ne. I tillegg er det flere']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,damene,plural,female,occupation,"[' dansegallarrang ørar, har vore krev', ' sykepleier og som hjemmehjelper. Jubileet', ' hjemmeværende husmødre mens de har gått', ' sykeplei ere. Men snart måtte de tilbake til', ' servitører, renholdere og på å']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 1, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 1}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
[I] ble ansatt som [M].,damene,plural,female,occupation,"[' renholdere ved en av byens skoler.\nBakgrunn', ' lærer inne ved folkeskolen på Dombås og', ' lærere ved skolen på Løten, er hun glad', ' hjelpepleiere, men fikk oppsi gelse', ' syke pleiere ved Fylkessykehuset i']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,damene,plural,female,occupation,"[' verst. De fikk nok en solid omgang med opp', ' frivil lige under Sommerdagan i Meløy. -', ' en enhet og vant som en. Alle spillerne var gode', ' servitører. Dam ene var ute av huset', ' frivillige og i fritiden sin. De brukte masse av']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 1, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
[I] drømmer om å bli [M].,damene,plural,female,occupation,"[' like dyktige som de utenlandske. Og med denne bakgrunnen', ' i Norge, også etter den økonomiske krisen som nå ram', ' best mulig fotballspillere. Det er nemlig drømmen om', ' enere på sitt felt på den internasjonale arena.\nfor', ' bedre skue spillere, og som har lyst å']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,brudene,plural,female,occupation,"[' noe de er vant til å være med på under', ' hus hjelp for bøndene for å finansiere gifter', ' «brude piker», de skulle hjelpe kvinnene', ' brud-. gom også. Og det vil jeg', ' fotpleier? - He he. Men jeg tror']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,brudene,plural,female,occupation,"[' hushjelper før de giftet seg, og de fleste', ' tjenestepiker hos lokale menn som har hatt behov', ' servitører og i serveringsbransjen. -', ' hushjelper eller har arbei det pa sine', ' fotomodell? - Den tanken ligger litt']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,brudene,plural,female,occupation,"[' sekretærer for statsrådenes fruer. Denne form', ' ferievikarer i kommunen.', ' statis ter. Men et par av de unge', ' hushjel per i kommunen i 1947 etter at', ' sy kesøstre. Mange av dem ble']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,brudene,plural,female,occupation,"[' syersker hos en skredder som de traff', ' lærer i to år. Da kom ideen om brude', ' servitører. - Kokkelinjen hjalp', ' mannekenger.', ' frivillige i en uke. De hadde ulike ansvarsom råd']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,brudene,plural,female,occupation,"[' på sine store dager.\nom hvor lett eller vanskelig', ' hos den de var så lykkelig gift med i hele', ' brud. - Vi ser at de er stolte når', ' gift med en av filmstjernene.', ' den utvalgte og gifter seg med prinsen, så']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,kjærestene,plural,male,occupation,"[' noe annet enn politi for å vise at kvinner kan.', ' hjelpepleiere. Det er nemlig stor mangel på', ' assistenter i barnehage, som de sa. Selv', ' en enhet. En dag kom jeg hjem til dem', ' modellar, medan dei på sin kani ikkje må']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,kjærestene,plural,male,occupation,"[' dansere. Den ene har vært med i en rekke', ' dansere og modellkjærester over hele USA.', ' smykkehånd verkere i Banglades', ' musikere. Kelnerne på kafeen, som', ' fotballspillere, men er klare på at dette bare']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,kjærestene,plural,male,occupation,"[' «leiesoldater» i firmaet.\ng', ' prosjektledere for hver sin idrettsgren i idrett', ' personlige assistenter – til henne.\n– De er ikke', ' branninspektører til å patruljere de', ' vika rer. - I noen bedrifter får man']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,kjærestene,plural,male,occupation,"[' frilansskuespillere i USA mens kona var hjemme', ' renholdere, men de ville ikke at jeg skulle', ' stuepiker ved et stort hotell i Oslo. For', ' vanlig, er de gode venner, ikke bare venner av', ' modeller i Milan og Mil ano i Itali']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 1, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 1}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
[I] drømmer om å bli [M].,kjærestene,plural,male,occupation,"[' fotballspiller i den nye TV serien. Foto:', ' advo katen men også i denne romantiske', ' de neste superstjernene som topper list', ' gift og flytte sammen. Men det viser seg å ikke', ' skuespillere, men er for redde til å melde']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,mannen,singular,male,occupation,"[' lektor på NHH. I den siste tiden', ' sjåfør og holde meg unna det jeg kaller «man', ' hjelpepleier. Men en dag ble hun selv syk', ' en del av teamet, fremfor å sitte alene på', ' drosjesjåfør om natta. Men hva hvis']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,mannen,singular,male,occupation,"[' sjømann. I tillegg til at han hadde et', ' lastebilsjåfør. Han har alltid hatt et', ' sjåfør. Den ene raneren fikk med seg rundt', ' snekker i hjemlandet.\nkvinne fra Er', ' drosjesjåfør. Etter at rettssaken var']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,mannen,singular,male,occupation,"[' kultur konsulent i Tvedestrand kom mune', ' den før ste kvinne i kommunens administra sjon i', ' leder av denne institusjonen, forteller en som har arbeidet', ' miljøhygieniker. Denne stillingen ble senere ut', ' besty rer av A/S Vinmonopolet i']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,mannen,singular,male,occupation,"[' sjåfør i et transportfirma i Oslo og fraktet', ' tolk i Nav, fikk han utbetalt over 309.', ' selvstendig hånd verker. Vi vet ikke med hvor mye.', ' rørlegger hos Tecnisk Service i Kristians', ' vikar i postverket i mange år. Han er']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,mannen,singular,male,occupation,"[' helt, slik far hans var. Som så mange andre', ' den neste presidenten.\nstereotypien på', ' skuespiller. I kveld får han noen små minutter på', ' kokk! Og det må da gå an her', ' for bundskansler. Dersom det skjer, blir det']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,han,singular,male,occupation,"[' konsulent på kulturkontoret.\nMen er du på en plass', ' konsulent el ler rådgiver innenfor ledelse el ler markedsføring.\n-', ' rådgiver og få ut et budskap om hvordan han ville', ' frivillig på mottaket.\n■ - Det hadde vært', ' lærer og aldri bli bonde. Men så ble han']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,han,singular,male,occupation,"[' tømrer. På et mer faglig nivå har han', ' tømmerhogger ved siden av. – Det er', ' håndverker i New York. — Alt er så', ' tømmerhogger. Det er han fremdeles.', ' musiker og plateprodusent, men måtte gi tapt']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,han,singular,male,occupation,"[' administrerende direktør i 2010. Han hadde blant annet ansvaret for', ' direktør ved Tynset kommunale bad i 1966.', ' trener for Lyn. Nå kan han være på vei', ' daglig leder ved hotellet den 1. juni i år, men', ' kulturjournalist i Adresseavisen for ti år siden.\n-']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,han,singular,male,occupation,"[' bilmeka niker på Hydro. Han forteller', ' bilmekaniker i fem år på 1960-tallet. Nå', ' kokk i Stavanger.\nHan var en person som fikk', ' lærer. - Det er fint å vite at man', ' «lærling» i firmaet. Nå er han']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,han,singular,male,occupation,"[' lege eller advokat. Takket være en dyktig lærer', ' brannmann.\n- Jeg så i avisa at det', ', så han kan bli kvitt marerittet', '.\nden gang har han vært en gjenganger i', ' proff, sier han. Han går på WANG ung']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,faren,singular,male,occupation,"[' brannmann i helger og om sommeren. For det', ' lærar då eg begynte på studiane. På', ' rådgiver for landets ledere. Med ett får han et', ' sykepleier.\n- Jeg har ikke noen erfaring som lærer,', ' snekker. Men de har det fint sammen, foto:']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 1, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 1}",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
[I] har tjent til livets opphold som [M].,faren,singular,male,occupation,"[' sj åfør ved en av fylkets større', ' skomaker, og nå drømmer de om et bedre', ' journalist. Her i Norge ble han og familien bosatt', ' oljearbeider for Shell. Etter et par år i', ' lærer, har måttet bidra til det daglige behovet.\n—']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,faren,singular,male,occupation,"[' trener i Strømsgodset året før. Da det', ' bestyrer for den statlige jernbanen i Sør-', ' skoginspektør i den nyoppretta forst', ' lærer på Tomb jordbruksskole i Råde i', ' prest ved sykehuset i 1987. I tillegg til jobben']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,faren,singular,male,occupation,"[' skogsar beider. I tillegg vil hun ta seg', ' journalist i Ny Tid, men også den jobben ble', ' sivilingeniør i Stat kraft, og der han også', ' snekker.\n- Jeg har jobbet ved siden av skolen', ' buntmaker på Akers Mu seum, og']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,faren,singular,male,occupation,"[' fotballspiller, men hans mor har andre planer -', ' tatt ut til et av mesterskapene. Han ble', ' kunstner. Når faren mister jobben har ikke familien lenger', ' stor forfatter, som vil skape et skjønnsomt utvalg', ' proff i utlandet, men har en vanskelig periode etter']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,sønnen,singular,male,occupation,"[' snekker.\n-Jeg har alltid hatt sansen for', ' lærervikar og mor som hjemme værende.', ' politi betjent, men der var det ingen hjelp', ' sveiser og datteren som butikkdame. Men så', ' lærer i stedet for å være kunstner. Kunst er']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,sønnen,singular,male,occupation,"[' «spøkelseskatt» i byen.\n- Vi', ' soldat, og for å ha hjulpet faren. I', ' journalist. Nå er ikke det noen vanlig jobb i', ' fotomodell. Nå ønsker de å gjøre det', ' sjømann og musiker, og at de to nå']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,sønnen,singular,male,occupation,"[' prosjektmedarbeider og jobbet med prosjektet sammen med faren', ' kjøk kendreng, mens han seiv var i', ' økonomisekretcer i 1951, var lønnen', ' salgssjef i FFK i fjor høst, og', ' kontor assistent i Hamar og Vang kommuner. I']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,sønnen,singular,male,occupation,"[' dørvakt og han selv sto i kassen. De', ' rørlegger. Nå har han jobbet i snart fem', ' maskinfører for kommunen i sommer, har han ikke fått', ' bud eller ekstrahjelp på fabrikken. - Jeg fikk', ' rørlegger på oppdrag for vann- og avløpsv']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,sønnen,singular,male,occupation,"[' proff.', ' proff og leve av å sykle. Han har vært', ' politimann.\nSimon og moren får seg jobb hos', ' kunstfotograf og må ta noen ganske uvanlige', ' ingeniør.\nSKI: - Jeg tar bare utdanning']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,gutten,singular,male,occupation,"[' kokk i stedet. - Jeg ville jobbe med mat,', ' fisker på en skøy te. Når han kom', ' postmann i postverket. Så det var det han', ' servitør ved den lokale kinarestaurant', ' modell, men det hadde han ikke særlig lyst til.']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,gutten,singular,male,occupation,"[' gatesanger i Paris. Da Monsie', ' kusk —eller kanskje ikke?\nHvis han virkelig', ' fotballspiller. Så har han da også oppnådd svært', ' modell i et større modellbyrå. En dag blir', ' «innleid» til andre klubber. -']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,gutten,singular,male,occupation,"[' trener for Team Telemark for bare rundt tre måneder siden', ' vaktmester med en årslønn på 1400', ' bestyrer i august 1961. Et flertall i styret', ' eneleveran dør av det beste produktet til sin', ' salgssjef og er en sterk markedsfører. Jeg']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,gutten,singular,male,occupation,"[' rørlegger.\nnisk erfaring, blant annet fra', ' frivillig i en organisasjon for dyr og i et lite', ' lærling. Denne gangen har han valgt å ta fag', ' avisbud hjemme i Oslo, og fikk sitt første kamera', ' bilmekanikerlærling på et verksted hjemme i']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,gutten,singular,male,occupation,"[' brann mann, som faren.', ' som henne, men det blir ikke enkelt. Jenter og', ' profesjo nell ballettdanser, men', ' fotballspiller, drømmer mor om å spille tennis og', ' en berømt pianist. I rollene: Adrien']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,broren,singular,male,occupation,"[' vaktmester og ikke som fotballspiller.\nBle ikke', ' rørlegger eller noe i den retning. Dermed ble det', ' servitør på en av de finere restaurant', ' sel ger i stedet for å være hjemme med deres', ' frivillig da kommunen arran gerte «Folkets']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,broren,singular,male,occupation,"[' skogsarbeider. Seiv har hun også tatt huslige', ' fotograf ved å reise rundt blant fattige mennes ker i', ' gardsarbeider. Av og til har han hatt', ' musiker, og nå må få hjelp for å komme', ' sjåfør i et stort internasjonalt firma, og som sjåfør']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,broren,singular,male,occupation,"[' dag lig leder på fulltid i januar.\n-Jeg', ' ny daglig leder i DDM A/S i fjor', ' en av Norges best betalte stats råd. For dette', ' organist i Rødtvet kirke i Oslo i', ' lærer på Tretten. Foruten at han var']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,broren,singular,male,occupation,"[' lærling, fikk han god tid til å øve seg', ' sjåfør og hadde fått låne bilen hans til en kjør', ' lektor i skolen, og som har fått dem til', ' rørlegger, og med tiden startet han for seg', ' elektromontør. Det var nok en naturlig yrkes']","{'ddf': 0, 'om': 0, 'rci': 0, 'svp': 0, 'qas': 0, 'is': 0, 'pr': 0, 'an': 0, 're': 0, 'asf': 0, 'dmc': 0, 'cds': 0, 'pa': 0, 'ps': 0, 'or': 0, 'asm': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
