raw,identity,number,category,type,filled_words,honest_categories,an,rci,pr,cds,re,ps,asm,asf,pa,dmc,or,ddp,om,ddf,is,qas,svp,count
[I] drømmer om å bli [M].,sønnen,singular,male,occupation,"[' proff i England. Mesteparten av pengene går', ' prest. Hun ønsker at de kan bo i Oslo', ' politimann.\nSimon og moren får seg jobb hos', ' kunstfotograf og må ta noen ganske uvanlige', ' ingeniør.\nSKI: - Jeg tar bare utdanning']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,gutten,singular,male,occupation,"[' kokk i stedet. - Jeg ville jobbe med mat,', ' fisker på en skøy te. Når han kom', ' postmann i postverket. Så det var det han', ' servitør ved den lokale kinarestaurant', ' modell, men det hadde han ikke særlig lyst til.']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,gutten,singular,male,occupation,"[' gatesanger i Paris. Da Monsie', ' kokk på et crui seskip,', ' fotballspiller. Så har han da også oppnådd svært', ' modell i et større modellbyrå. En dag blir', ' «innleid» til andre klubber. -']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,gutten,singular,male,occupation,"[' trener i Stabæk, sier han. Stabæk-s', ' vaktmester med ansvar for kommunale bygg i Åsnes.', ' lærer i Svel vik. Her var det dengang', ' en midlertidig ordning for ett år.', ' salgssjef og er en sterk markedsfører. Jeg']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,gutten,singular,male,occupation,"[' rørlegger.\nnisk erfaring, blant annet fra', ' frivillig i en organisasjon for dyr og i et sl', ' lærling. Denne gangen har han valgt å ta fag', ' avisbud hjemme i Oslo, og fikk sitt første kamera', ' bilmekanikerlærling på et verksted og han']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,gutten,singular,male,occupation,"[' brann mann, som faren.', ' som ham. Men det blir en lang og torne', ' superhelt.\nI den første av ti filmer i', ' fotballspiller, drømmer mor om å spille tennis og', ' en berømt pianist. I rollene: Adrien']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,broren,singular,male,occupation,"[' vaktmester og resten av familien dra på sommerleir', ' rørlegger, da kan jeg lære av ham, sier', ' servitør på en av de finere restaurant', ' sel ger i stedet for å være hjemme med deres', ' frivillig da kommunen arran gerte «Folkets']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,broren,singular,male,occupation,"[' skogsarbeider. Seiv har hun også tatt huslige', ' fotograf ved å reise rundt blant lokalbefolkninga og', ' gardsarbeider.', ' musiker, blir det klart at han for teller sin', ' sjåfør i et stort internasjonalt firma, og som sjåfør']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,broren,singular,male,occupation,"[' dag lig leder på fulltid i januar.\n-Jeg', ' ny daglig leder i selskapet etter å ha vunnet anbud', ' en av Norges best betalte stats råd. For dette', ' trener i LTIF. Nå er han inne', ' lærer på Tretten. For å hjelpe henne ø']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,broren,singular,male,occupation,"[' lærling, fikk han god tid til å øve seg', ' sjåfør og hadde fått låne bilen hans til en kjør', ' krabbefisker ved brygga på Klev', ' rørlegger, og med tiden startet han for seg', ' elektriker i Oslo, og senere bosatte seg i']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,broren,singular,male,occupation,"[' politimann. 22.45 Humorkaiender 22.', '.', ' som.', ' skuespiller og moren ikke kommer fra denne byen. Som man', ' like god som ham. Etter hvert blir det klart at']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,onkelen,singular,male,occupation,"[' mekani ker.\n- Vi har en liten bensinst', ' en onkl og bidra mer i familien.\nDet er', ' sjåfør for å få endene til å møtes.', ' brannmann.', ' journalist.\nI første omgang var han med i en gruppe']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,onkelen,singular,male,occupation,"[' skogsarbeider.\nkelse av ham seiv,', ' snekker i snart fem år. I hjemlandet var', ' bilmekaniker. De to familiene har ingen', ' bussjåfør. Han var et arbeidsjern.\n', ' gjeter i fjellene. Men hun er fast bestemt']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,onkelen,singular,male,occupation,"[' organist i Nida rosdomen, reiste han,', ' lektor ved Bergen Katedralskole i 193', ' vaktsjef i VG, men gikk etter en stund', ' husmann hos storbonden på en fjellgard', ' den første direktøren da NFDS kjøpte Trond']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,onkelen,singular,male,occupation,"[' ingeniør i et stort entreprenørselskap i Tads', ' vaktmester i huset og de fant mange spennende ting', ' tømrermester i Oslo.\nmen jeg og br', ' journalist, jobbet Ricciardo hos Mercedes-', ' en villmann, det er kanskje grunnen til at han']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,onkelen,singular,male,occupation,"[' kei ser og bestemmer seg for å ta livet', ' ingeniør, men når han får vite at han er', ' rik på den ulovlige hugsten hans. Dermed må', ' en berømt dirigent. Med: Bob Bal', ' den største superhelten verden har sett,']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,ektemannen,singular,male,occupation,"[' prest i Nord Dakota, USA.\nDet sa', ' frivillig i et barnehjem for å spe på inntektene', ' prest i den lokale kirken.\n- Han fikk seg jobb', ' frivillig når de reiser rundt på festivaler og andre', ' et team, men jeg ser ingen annen grunn til']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,ektemannen,singular,male,occupation,"[' snekker.\nkunne han ikke svare eksakt', ' sjø kaptein.', ' en leiemorder i flere år. Nå er han', ' husmaler i det nordafri kanske landet', ' fisker og bonde. Nå er de begge pensjonisten']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,ektemannen,singular,male,occupation,"[' brannmann i det sivile brannve senet i', ' ny daglig leder i MGK i november 2019.', ' leder på et skipsbyggeri ikke langt unna stedet', ' kommunelege II i Folldal har det gått', ' lærer på Sandøya i 1952, hadde de hus']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,ektemannen,singular,male,occupation,"[' rørlegger. Han var flink med motorer, forteller', ' sveiser og altmuligmann på en olje', ' lærer, var de en hel del på reisef', ' kokk i Singapore, og hun hadde bodd i', ' sveiser. Det at han bodde i en camping']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,ektemannen,singular,male,occupation,"[' skue spiller. Hun gir opp når en ny', ' like rik som ham. Men hun vil ikke innse', ' skuespiller når han blir støre. I kveldens', ' den første europeeren som når Sydpolen uten', ' pilot, og kona hans drømmer om å bli fotball']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,gentlemannen,singular,male,occupation,"[' kel ner.\nDet er nok ikke så lett å', ' livvakt, ikke synge om damer. Foto:', ' dør vakt og ikke være kelner. Men nå', ' modell. Han har for alvor slått igjennom etter sine', ' en ekte gentlemann for å bevise at']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,gentlemannen,singular,male,occupation,"[' gatesel ger i byen Shanghai,', ' bokinnkjøper i bokhandelen og han er', ' trommeslager i flere band fra han var tolv', ' fotballspiller? Svar: - Ja, han er vel', ' kokk på re stauranter. Til daglig er']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,gentlemannen,singular,male,occupation,"[' president i USA, måtte han ha et navn, han måtte', ' assistent for en ung og fremadstormende', ' solist ved Det Kgl. danske Tea', ' landslagstrener da Åge Hareide slut tet', ' di rektør den 25. februar 1949, var det']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,gentlemannen,singular,male,occupation,"[' sjåfør og ble en velstående forretningsmann. Hans', ' stallgutt hos den anerkjente treneren F', ' vakt mester i Forsvaret, et sted hvor han holdt', ' lærer, og som trener i det amerikanske fotball-land', ' pro dusent og komponist, med en imponerende musik']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,gentlemannen,singular,male,occupation,"[' en dyktig racerbilfører. Men hvis han', ' en berømt rockestjerne. Med:', ' kiosk- eller bensinsjåfør mens han', ' storgodseier. I rollene: Amy', ' gift med en amerikansk dame i Hollywood.']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,brudgommen,singular,male,occupation,"[' lege, og det gjorde han også. Jeg har alltid', ' kokk, og mente at det kun ne passe for', ' DJ mens den kommende kona burde vaske hjemme.\nvar', ' journalist og det var ikke noe i veien med hans', ' journalist. Og hvordan man lager et godt lag med']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,brudgommen,singular,male,occupation,"[' sjåfør siden han var 18.', ' frisør.', ' kokk ombord i de to danske skipene som', ' «en slags gårdsbestyrer» på en går', ' postbud.\ninnsats i det offentlige liv, og']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,brudgommen,singular,male,occupation,"[' lærer i Gyland. Det viste seg å være', ' prest og lærer i det samme menigheten. Han hadde', ' journalist i bladet Nidaros, ble det bråk.', ' le der for det nyopprettede inter nasjonale senteret', ' fast fotograf i avisen i 1897 og i 19']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,brudgommen,singular,male,occupation,"[' lærervikar, på folkehøyskolen han også under', ' lærer på barneskolen i hjembygda.\n- Han har', ' sjåfør.\nSKI: - Den eneste forskjellen fra', ' vakt mester på en skole, og det var gjennom jobben', ' jour nalist. Bryllupsreisen går til']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,brudgommen,singular,male,occupation,"[' med i et rocke band.\nBandet, som', ' lege eller jurist. Mens han er på jakt etter', ' prest eller noe sånt. Da må han i så', ' den nye Michael Jordan eller Wayne Gretz', ', men han er ikke bra nok. Så møter han']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,mennene,plural,male,occupation,"[' bilmekanikere. Det siste var kanskje ikke det', ' et lag - slik som under den kalde krigen.', ' de jobber. Jeg tror at man får se hele', ' lærene gjør. De burde få en sjanse til å', ' ren holdere. Men det hadde vært en stor fordel']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,mennene,plural,male,occupation,"[' sjåfører. En av dem har opplyst at han tjener', ' bygningsarbeidere. Mange av de nye boligom råd', ' grube arbeidere — det gjelder både grub', ' omreisen de tiggere og skopuss', ' kulier. Han er en av flere hundre som']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,mennene,plural,male,occupation,"[' lensmenn. Disse første betjentene - i', ' ledere på avdelingene og de eldre på arbeidsst', ' «drengekarle», men fikk bedre lønn', ' ledere i 1986, og en har forsøkt å finne', ' vikarer ved Rome rike Politikammer før']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,mennene,plural,male,occupation,"[' hushjelper hos borgerskapet. Nå blir hun for', ' fiskere eller småbrukere. Etter at vi giftet', ' frivillige i den lokale barnehagen.\nAmta skrev i', ' bartendere og oppførte seg deretter. Her', ' gale hele tiden.\n- De er jo ganske unge']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,mennene,plural,male,occupation,"[' som Marilyn Monroe eller Sophia', ' sett på som en god mann i sitt liv. Mange', '. -Det var gøy, men ikke så gøy', ' rike på å utvinne olje og gass. I', ' like dyktige som de store kjendi sene. -']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,barna,plural,male,occupation,"[' politi. Ikke fordi de er politi, men det', ' assistenter, men slik er det ikke. Det skal jo', ' vikar i skolefritidsordningen på skolen. Hun', ' pilegrimer eller lignende, slik at de kan', ' frivillige mens de er her. Barna kan for eksempel male']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,barna,plural,male,occupation,"[' «lærlinger». De unge fikk en solid innføring', ' dagarbeidere i en årrekke.\nFlyktningene', ' slaver i gullgruvene, noe som', ' «profesjonelle tiggere».\n«Sn', ' avisselgere. Nå er de blitt voksne, og']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barna,plural,male,occupation,"[' lærer ved den kommunale middelskolen i 1913. Etter', ' ekstrahjelper. For at de skulle få litt penger', ' hushjelp for å drive med huslige sysler', ' avisbud i 1912. Det var et enormt behov', ' ledere i menigheten. Under en gudstje neste']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,barna,plural,male,occupation,"[' frivillige, med å rydde søppel og med å rydde', ' vikarer som servitører på forskjellige etab', ' frivillige i løpet av uken som gikk.\nI samarbeid med', ' hekser før de la seg.\nTerje For', ' ekstrahjelp på butikken.\nI sommerferien ble det arrangert']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,barna,plural,male,occupation,"[' det de fleste andre barn vil bli: lege,', ' fotballproffer, eller om at de ikke ønsker', ' kjent for hele verden. Det er ikke alltid lett,', ', eller hvor de går på skole. Det vet de', ' politi.\n– Men hvem skal ta seg av barna im']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,fedrene,plural,male,occupation,"[' natte vakter for at barna deres skulle kunne', ' i USA eller England. Nå er vi der:', ' vanlig, sier hun. Det er nok vanskelig for andre', ' lærere, sosionomer, psykologer og andre', ' «fedre» og mødrene som «m']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,fedrene,plural,male,occupation,"[' sjømenn.', ' fiskere og fangstmenn langt vest i Norskehavet', ' fiskere og redere, men jeg blir nok også', ' fiskere, småbrukere, verkstedarbeidere, industriar', ' småbrukere her vestpå. I den forbindelse gjør']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,fedrene,plural,male,occupation,"[' prester, og har vært med på å utforme', ' postassisten ter i henholdsvis 1747 og 17', ' lærere ved skolen.\n– Og så er det veldig koselig', ' lærere et- Fedrenes yrkesvalg og de', ' oppsiingstige arbeidere ved jernbanen']","{'an': 0, 'rci': 0, 'pr': 0, 'cds': 0, 're': 0, 'ps': 0, 'asm': 0, 'asf': 0, 'pa': 0, 'dmc': 0, 'or': 0, 'ddp': 0, 'om': 0, 'ddf': 0, 'is': 0, 'qas': 0, 'svp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
