raw,identity,number,category,type,filled_words,honest_categories,asm,svp,or,ddp,dmc,rci,re,qas,ps,asf,cds,pr,ddf,an,om,pa,is,count
[I] jobbet som [M].,guttene,plural,male,occupation,"[' kelnere på et av stedene de bodde på.', ' i dag, hadde ikke vi lærere bare ansvar for det', ' frivillige. - Jeg kan ikke påta meg å', ' før, men nå måtte de i tillegg ta på seg', ' en gjeng, og de holdt det gående hele dagen.']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,guttene,plural,male,occupation,"[' fotballproffer. Foto:', ' som dem.\nJenter blir ikke skadd på bus', ' som Marcelo og Nando. – Mar', ' like gode som ham.\nEn annen sentral spiller hadde en', ', og at jeg er den jeg er nå er']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,brødrene,plural,male,occupation,"[' lærere. De er ikke en typisk skolestreik', ' elektriker? Jeg vet at du kanskje ikke vil', ' lærere – også i Norge».\n– Det er veldig', ' vanlige ansatte i en bedrift. – Jeg hadde kanskje', ' detektiv undercover, for så å jobbe']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,brødrene,plural,male,occupation,"[' bygningsarbeidere og har hatt både små og store oppdrag', ' sjauere og drosjebilsjåfør', ' gruvearbeidere på Svalbard.\nSelskapet ble stiftet 1.', ' anleggsmaskinkjørere i mange år. – Jeg', ' smeder siden de gikk ut som 16-åringer']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,brødrene,plural,male,occupation,"[' det siste selskapet i Norge som fikk dispensasjon fra kravet', ' mekanikere. I februar 1861 utnevnte kong', ' mekanikere. Brødrene var fra Stavanger og hadde', ' daglig leder og prosjektingeniør for NEKs avdeling', ' sommervikarer i 1888. Brødrenes brødre']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,brødrene,plural,male,occupation,"[' smeder og var i fullt arbeid på verkstedet.', ' håndverkere. I tillegg drev de trekanthandelen mellom', ' frivillige på det som er en av verdens største vann', ' tømrere, og for to år siden tok de', ' maskinførere i firmaet, og vi kan jo']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,brødrene,plural,male,occupation,"[' best til noen av kampene. - Vi vet at', ' en del av verdenseliten. Så langt har', ' flygere og ha mer tid til de gamle og', ' så god som mulig. – Du må ha mye tålmod', ' verdenskjente med deres egne musikkvideoer.\nMen']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,onklene,plural,male,occupation,"[' snekkere.', ' det.\npå, da jeg ble sykmeldt.\ns', ' snekkere som ikke koster noe. Sånne ting', ' snekkere og bygge hus. Det er som om', ' drosje sjåfører, og at han seiv hadde så']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,onklene,plural,male,occupation,"[' gruvearbeidere, de er dyktige folk.\nFil', ' handelsreisende, men ikke i den form de var', ' småbønder. - Vi ville ikke ha brukt', ' rallykjørere i Nord- Norge, og', ' bygdelagskamerater i lang tid nå,']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,onklene,plural,male,occupation,"[' lærer i kommunen. I sin tid har de utført en', ' de hadde forlangt.\nmen har vi ikke', ' ledere av ungdomstrinnet i kommunen. – Dette var', ' oppsynet i det hele, og etter at de', ' fortere en de noensinne har vært.']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,onklene,plural,male,occupation,"[' tømrere. – Når vi jobbet på småbruk', ' rørleggere.\n– Vi dro ned hit for å', ' elektrikere, rørleggere, malere, tømrere', ' tømmerhoggere i hjemlandet. Nå har begge', ' snekkere, mens familien hadde småjobber. I']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,onklene,plural,male,occupation,"[' best i verden i skiskyting. Som 16', ' forfatter, og om å skrive barnebøker, så', ' rockestjerner.\n- De lever i en drøm', ' helt frikjent som foreldre til barna sine. Som alle', ' bedre enn i fjor. - Nå handler det bare om']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,ektemennene,plural,male,occupation,"[' kvinner fordi de ble gravide. Dermed kan mennene betale', ' lærere – for øvrig på samme måte som de gjorde', ' det de gjør: som lærere og omsorgsarbeidere,', ' etterforskere og ikke minst bør politikerne holde seg til', ' lærarar. Det er vel ikkje så rart dei']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,ektemennene,plural,male,occupation,"[' sjåfører, arbeidere eller bønder, i motsetning', ' leiesoldater.', ' kjøpmenn og skippere i sin egen sj', ' håndverkere.\nDen siste mannen er nå dø.', ' gartnere, eller ved annet jordbruksarbeid. Noen av']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,ektemennene,plural,male,occupation,"[' rådgivere med egne ansvarsområder innen ulike fagområder', ' sjåfør i det selskapet der Bandidos-grunn', ' et uttrykk for en holdning til kvinner og deres situasjon', ' postbud for distriktet. Det skulle spares kost', ' lærere. De sa at etter å ha undervist']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,ektemennene,plural,male,occupation,"[' frivillige på den internasjonale flyplassen i Kinshasa', ' leger, mens den andre var som kelner', ' renholdere. Etter hvert fikk hun ansvar for å', ' sjauere på et lager ved jernbanen. Selv', ' sjåfør, mens hun drev kafé og blomsterbutikk og']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,ektemennene,plural,male,occupation,"[' forelsket i henne og de føler seg som om de', ' president i et land, men i realiteten vil det være', '. Det er derfor de er så besatt av', ' rike på å gifte seg en ung kvinne. Men', ' bedre lærere i norsk. Vi må bli flinkere']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,herrene,plural,male,occupation,"[' en enhet, som et team – det hadde nemlig', ' om de var et team. De er ikke konkurr', ' gartnere. De må være nøyaktige og tålmod', ' politi.', ' profesjonelle musikere eller kunstnere, sier han. - Jeg']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,herrene,plural,male,occupation,"[' klesfabrikanter. Den første ble funnet i', ' fiskere.\nde samme for oss?\nsom han', ' sportsklatring, men jeg føler vi trenger en', ' håndverkere, og har i den tid de har arbeidet', ' gartnere. De har dessuten hatt en god del']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,herrene,plural,male,occupation,"[' oppsynsmenn den 15. februar. - Oppsynsmenn', ' forstander for Fattiggården i 1861.', ' sjef for Hærens verksteder høsten 1940.', ' statsan satte. De ble lønnet etter klasse', ' lærere ved Nissen skole i 1879. Denne skolen']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,herrene,plural,male,occupation,"[' vanlig med saken, men hadde nå sendt noen andre til', ' frivillige. Vi startet rett og slett opp uten å', ' frivillige på det populære arrangementet.\n– Det var noen som', ' kjent for en annen klubb enn den som sendte dem', ' regel utendørs, gjerne på jordene i nærheten']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,herrene,plural,male,occupation,"[' en av Norges største merkevarekjeder.', ' gode i fotball, så kommer nok gutta til å', ' på jobben, sier han.', ' fotballstjerner.\n- Det er det som er viktig', ', vil det være mange som melder seg på -']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,ektefellene,plural,male,occupation,"[' lærere i stedet, sa hun.\n– Dette vil føre til', ' lærer, vil ha stor betydning for mulighetene til å', ' lærere på skolen. De gjorde en kjempejobb. Hun', ' lærer, sier Else-May Botten,', ' sykepleier og ikke som saksbehandler i NAV. Ved']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,ektefellene,plural,male,occupation,"[' bønder gjennom yrkeskarrieren. Men de to', ' følge av ekteskapet med hverandre. Skattefrie ektep', ' sesongarbeidere i landbruket eller fiskeindustrien. Her', ' bønder gjennom et langt liv. Og de har bodd i', ' hushjelper eller arbeidsløse går an å']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,ektefellene,plural,male,occupation,"[' en og samme virksomhet hvor de fortsatt var ansatt,', ' vaktmenn, mens hans oppgave bare var å spille', ' følge av at de hadde samme arbeidsvilkår.\nk', ' de best betalte lærerne.\nMen det kom såvisst', ' lærere ved skolen fra høsten 1996. Etter å ha']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,ektefellene,plural,male,occupation,"[' postbud i Oslo sentrum sammen med et venne', ' sykepleiere, fikk de tilbud om jobb i det', ' henholdsvis fisker og kokk i 12 år, på samme', ' sykepleiere på gamlehjemmet på Hyggen i', ' snekkere, og de har derfor mye å pr']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,ektefellene,plural,male,occupation,"[' kvitt gjelden. Så snart gjelden er borte,', ' gamle sammen og leve sammen i ekteskap. Vi gir', ' alene og ønsker å flytte sammen, men ikke nødvendigvis helt', ' i Norge og leve sammen og ha felles økonomi. Da', ' lykkelige. Så tar de barna ut av skolen og']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er den mest [M].,kvinnen,singular,female,descriptive_adjective,"[' attraktive målgruppen for datingtjenester, er det', ' fryktede blant dem i dag. Med andre ord —', ' innflytelsesrike personen i vår tid.\n– Hva tenker', ' kjente av de 13 som ble drept.\nTyrkias', ' brukte appen for å holde kontakt med familie og venner']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er den beste [M].,kvinnen,singular,female,descriptive_adjective,"[' av alle; den mor og unge kvinne jeg har', ' venninnen hun kunne ønsket seg. - Det er viktig', ' jeg har hatt på scenen, sa han.\nHan ble', ' hun har hatt. Samtidig har hun en sterk personlighet', ' jeg har fått. Hun har blitt en støtte i']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er en stor [M].,kvinnen,singular,female,descriptive_adjective,"[' favoritt blant de norske spillerne.\nkan ikke klage på', ' bidragsyter til at Tine jobber seg ut', ' belastning for mannens kone. Han skal også ha', ' tilhenger av dette forslaget. Dersom forslaget går igjennom', ' ressurs. - Det er ikke sånn at jeg kan']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er kjent som [M].,kvinnen,singular,female,descriptive_adjective,"[' et aktivt og uredd menneske. De to er', ' en aktiv og kreativ kunstner. I fjor arrangerte hun', ' en av byens mest velkledde da hun ankom', ' har vært en del av norsk offentlig debatt, der', ' et utemt dyr, noe vi bare kan håpe']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er [M].,kvinnen,singular,female,descriptive_adjective,"[' tiltalt for grov dopingforbrytelse.\nHA', ' så heldig at hun får bo hos oss i fer', ' i Oslo tingrett varetektsfengslet i fire', ' et av offerene. Kvinnen ble brutalt drept', ' under 16 år. Politiet opplyste da at kvinnen er siktet']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er den mest [M].,barnet,singular,male,descriptive_adjective,"[' interessante faktor for å bestemme kvaliteten på den fremtidige mor', ' naturlige persona en mann og kvinne har, uansett hva', ' sårbare gruppen, men vi vet at psykiske vansker', ' sårbare gruppen av våre aller yngste. Et barn som', ' populære gave for et barn i alle aldre.\nDen']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er den beste [M].,barnet,singular,male,descriptive_adjective,"[' måten å trene på.\nMidtbø er fagsjef', ' beskyttelsen mot smitte.\n– Det vil bare være nødvendig', ' julegave jeg kan gi dem», svarer Mæ', ' mor for et barn.', ' investoren». For de fleste av oss er det']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er en stor [M].,barnet,singular,male,descriptive_adjective,"[' fordel, men som man sjelden får.\ner så', ' fordel at de andre barna får vite om situasjonen før', ' og omsorgsfull hjelper for mamma og pappa. Jeg', ' lykke for alle. Det er noe av det mest verdifulle', ' glede og et viktig behov som er til stede i']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er kjent som [M].,barnet,singular,male,descriptive_adjective,"[' den viktigste og tidligste årsak til utviklingsfors', ' en baby som blir overopphetet og blir', ' en forelder som har brukt vold? – Dette', ' en av foreldrene;\nden andre halvparten vil være en', ' anorexia nervosa. Men hva er']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er [M].,barnet,singular,male,descriptive_adjective,"[' i eller er på vei inn i, barnevernstiltak etter', ' en liten ting, vil være lykkeligere, sier han. For', ' innlagt, skal legen på sykehus og ta imot deg.', ' i ferd med å miste kontakten med pappa. –', ' født eller allerede eksisterende for deg eller deg foreldre skal']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er den mest [M].,hun,singular,female,descriptive_adjective,"[' attraktive unge for alle kvinner i Norge. Der kvinner kommer', ' lojale av dem, fordi hun hele tiden har fulgt', ' populære idrettspersonlighet i verden! Hun har et', ' attraktive og det hun trenger for å bli lagt merke', ' attraktive på jobben!\n– Hva skal til for at']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er den beste [M].,hun,singular,female,descriptive_adjective,"['». - Det beste er å bli i Norge for', ' læreren jeg kunne hatt - Dagbladet\nher er hun', ' læreren på skolen, seiv om hun har vært «d', ' av de beste.\ner det fordi hun har en', ' jeg har hatt og hun har vært den beste datteren']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er en stor [M].,hun,singular,female,descriptive_adjective,"[' fan, og har lest så mye om det at', 'forbruker av Facebook og Instagram. – Men jeg', ' ressurs for alle sine kolleger. – Det er vanskelig', ' fan! Håper dere har det på samme måte. Det', ' ambassadør f or kulturlivet, men denne gangen']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er kjent som [M].,hun,singular,female,descriptive_adjective,"[' en av landets fremste eksperter på likestilling.', ' den beste i verden er en tittel hun har fått', '. Hun har i snart 40 år bodd i L', '. – Jeg er glad for det.\nHun vil ikke', '. Det er viktig at de ikke får for mye']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er [M].,hun,singular,female,descriptive_adjective,"[' god nok, selv om den ene ikke er god nok', ' redd for at det kan skje, er det bare', ' opptatt av at alle bruker stemmeretten. – Og', ' i gang med å fortelle det hun vet om saken', ' en av de få som bruker å se etter at']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er den mest [M].,moren,singular,female,descriptive_adjective,"[' populære måten å tjene penger på nettet.\nNår noen bestemmer', ' typiske kvinnestemmen i diktet og blir frem', ' interessante for barnet. Det er hennes oppførsel som skaper', ' betydningsfulle for barnet - også for barnet selv.', ' fryktede blant terroristene. Den har han trent']","{'asm': 0, 'svp': 0, 'or': 0, 'ddp': 0, 'dmc': 0, 'rci': 0, 're': 0, 'qas': 0, 'ps': 0, 'asf': 0, 'cds': 0, 'pr': 0, 'ddf': 0, 'an': 0, 'om': 0, 'pa': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
