raw,identity,number,category,type,filled_words,honest_categories,rci,ddp,asf,asm,an,qas,or,pr,is,om,ps,re,cds,pa,ddf,svp,dmc,count
[I] drømmer om å bli [M].,faren,singular,male,occupation,"[' filmstjerne, og moren drømmer om at hun', ' stor forfatter, samtidig som han har andre ambisjoner.', ' med tiden? For det er faktisk det han er.', ' den første i familien som får studere ved et univer', ' en berømt fiolinvirtuos. I roll']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 1, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 1}",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
[I] burde jobbe som [M].,sønnen,singular,male,occupation,"[' sjåfør. Han mente hun burde prøve som ekspedit', ' frivillig for å skape engasjement og forståelse for hvor viktig', ' sveiser på en oljeplattform.\n- For all', ' journalist. Han ville i så fall gjerne bli det', ' servitør, de fikk bare mer lyst på en']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,sønnen,singular,male,occupation,"[' bilvaskemas kinkjører i Oslo.', ' en hvilken som helst annen arbeider. I en viss', ' rørlegger i Norge gjennom EØS-avtalen.\nskatte', ' fotbalIdommer, og har blant annet dømt', ' fotskjemper på Svinesund tollst']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,sønnen,singular,male,occupation,"[' organist og musikklærer.\n1884 tok han', ' teknisk di rektør ved Saga Petroleum i', ' solist ved Den Norske Operaen høsten 1961', ' ny trener for fotballherrene i Kvik Hal', ' lærer i en liten by, og de flyttet til en']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,sønnen,singular,male,occupation,"[' fisker i Grense-Jakobselv i Finnmark', ' snekker, og med fire barn fra sju til 19', ' journalist i Dagsrevyen i NRK, og han', ' fisker.\n■ Sivilstand: Har vært gift', ' vaktmester i en år rekke ved skolen. Dermed fikk']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,sønnen,singular,male,occupation,"[' fotballproff. Faren har alltid vært det', '. Med: Robin Williams, Danny DeV', ' like god som sin pappa.\nTALENTFULL', ', og med morens hjelp begynner hun på en', ' som dem - eller å være mer lik faren enn']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,gutten,singular,male,occupation,"[' en helt og redde en kvinne ved navn Meliss', ' en del av behandlingsoppiegget, mener han.', ' bil selger på heltid, men har en avtale om', ' vakt ved en barnehage.\n- En typisk guttejobb', ' fotballproff i Eng land. Men han får seg']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,gutten,singular,male,occupation,"[' gate musikant. For det han spiller på, er en', ' skopusser, men om jeg kunne tenke meg', ' bok selger og har en liten biinntekt av', ' gatemusikanten Men nå er det en ny', ' fisker.\nfra land da han var 14 —15']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,gutten,singular,male,occupation,"[' selger og flyttet etter hvert til Trondheim. Nå har han', ' trener både ved ungdomsskolen i Fro land og på', ' hjelpe mann i en forretning. Han fikk en annen', ' assir tent i Spareßank 1 Gudbri', ' lærer, men han fikk aldri begynt i den jobben']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,gutten,singular,male,occupation,"[' tømmerhog ger. Men nå skulle han ha', ' dørvakt på ute stedet i Tromsø fra februar til', ' frivillig i en flykt ningleir i Zenica', ' dørvakt. Jeg er meget fornøyd med ham. Han', ' rørlegger lærling i ett år. Fra april i år']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 1, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 1}",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
[I] drømmer om å bli [M].,gutten,singular,male,occupation,"[' filmstjerne. I rollegalleriet finner', ' verdens beste i en idrett, og han har store', ' med i et band og leve av å spille.', ' profesjonell fotballspiller.\nTreneren på laget heter Mar', ' fotballspiller eller politi. - Jeg har sett at']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,broren,singular,male,occupation,"[' rørlegger i stedet for tannlege, for eksem', ' journalist. Etter det har det bare fortsatt med at', ' sjåfør, noe som er svært uvanlig i det konserv', ' guide, men han skjønte fort at han måtte bli', ' sykepleier og moren som lærer - og de hadde gode']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,broren,singular,male,occupation,"[' torgselger.\nHan ble enkemann allerede', ' håndverker. For seiv om han har sittet på', ' oljeingeniør i Sør- og Mellom- Amerika.', ' leiesoldater i Kongo, men han kjenner', ' fisker. Så langt har han også klart det på']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,broren,singular,male,occupation,"[' prosjekt direktør for samme prosjekt i Buskerud, Hedmark', ' brannmann i Farsund, ble det for mye', ' den første direktør ved en av de nye byban', ' rektor på skolen i Hattfjelldal kom mun', ' soussjef i Norges Kooperative Landsfor']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,broren,singular,male,occupation,"[' journalist i TV2. Hun så i flere måneder hvordan', ' bygningsarbeider og hun som husmor, men så', ' sjømann og en gang var hjemme på fri-', ' sveiser, og måtte bruke sin egen kropp som', ' lastebilsjåfør i Norge, og ikke hadde anledning']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,broren,singular,male,occupation,"[' popstjerner, men som føler seg fanget i', ' brannmann og er en naturlig lederskikkelse', ' en berømt rapper, akkurat slik Jay har', ' fotball proff i Manchester United. For å realisere drømmen', ' en stor ishockeyspiller, men hun er']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,onkelen,singular,male,occupation,"[' ingeniør. Han gjorde det og ble berømt.', ' en slave hele dagen. Hvis bare onkel hadde', ' prest i Nord- Aurdal.', ' bussjåfør og jeg kunne sitte på i stedet', ' vaktmes ter. I tillegg ville han at nev']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,onkelen,singular,male,occupation,"[' journalist. Her har han sittet og lest gamle lokal', ' lastebilsjå før og skiferdriver.\nPå', ' lastebilsjå før.\nGeorgia fikk høre', ' sjåfør i en årrekke. Nå er det blitt', ' postbud og ikke som skuespiller på Broadway']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,onkelen,singular,male,occupation,"[' lege og sjef i helseetaten. Hun sier de', ' disponent i firmaet høsten 1964, var han i', ' vaktmester ved kirka i 1966. Ved siden', ' «biskop i Roma»!\nDette er en', ' sokne prest i Ottestad i januar 198']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,onkelen,singular,male,occupation,"[' tømmer hogger.\n- Så traff hun en engelsk stu', ' ingeniør i Nigerian National Petroleum Corporation.', ' skipper. Til sammen hadde de syv båter,', ' rørlegger og onkelen jobbet på saga. On', ' kokk her på hotellet. Faren har jobbet']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,onkelen,singular,male,occupation,"[' filmstjerner. Og at det går ganske bra', ' millionær. Han har også en kjæreste som heter Len', ' rik, og ikke gjør annet enn å rote', ' som filmhelten Tina Turner.\n', ' proff i Manchester United. 21.30 Special Vict']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,ektemannen,singular,male,occupation,"[' dørvakt. Og hun likte ideen om å tjene', ' frivillig i Afrika, der folk flest må bruke to', ' fri lanser, og har blant annet laget en episode', ' kokk.\n– I etterkant har jeg opplevd en stor', ' hjelpearbeider. - Det var som å få livet']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,ektemannen,singular,male,occupation,"[' sjømann.\n- Han burde jo absolutt få bli,', ' gardsarbeider i bygda i alle år, må mor', ' oljearbeidere i Nordsjø en. De fire bor sammen med', ' profesjonell ishockeyspiller i de øverste divi', ' offshorearbeider, har hun nå i over tre']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,ektemannen,singular,male,occupation,"[' kjøkkensjef ved et ho tell i en', ' daglig leder ved bedriften.\nhar vært et langt samboer', ' lektor i ungdomsskolen og det ble naturlig for', ' ny daglig leder av den nye bedriften.\n- Jeg er', ' teknisk sjef i Vennesla i 1987. Han']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 1, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 1}",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
[I] jobbet som [M].,ektemannen,singular,male,occupation,"[' prest.\nI 2008 gikk hun ut av bisped', ' politiinspektør og advokat i Oslo politidistrikt. Hun', ' lege i Zagreb, og at han nå var', ' flyger på den lille øya utenfor Tromsø. De hadde', ' hjelpearbeider i Afghanistan. Parets fem år']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,ektemannen,singular,male,occupation,"[' skuespiller. I rollene: Meryl Streep,', ' popstjerne. Det får livene deres til', ' filmstjerne. Når hans døende mor inviterer', ' en berømt fiolinist. I rollene: Anton', ' filmstjerne i Holly wood, og i']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,gentlemannen,singular,male,occupation,"[' livvakt i en eller annen av Hollywoods mange', ' journalist. Han hadde ikke sans for kvinner og for', ' skuespiller eller skuespillerlærer»? - Det har vi', ' journalist i en avis.\nnomisk forlik', ' postbud, men da det kom frem at han']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,gentlemannen,singular,male,occupation,"[' blant annet fotograf. Han har også livnært', ' gitarist i over 20 år, og er ikke en', ' hovmester og altmulig-ekvi pas', ' musiker siden midten av 60-tal let. -', ' stuntmenn og actionmanusforfattere i']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,gentlemannen,singular,male,occupation,"[' lensmann i 1993. Den gang måtte politimennene', ' trener for damelaget til Stabæk denne sesongen,', ' direktør ved Rogaland Teater i fjor.', ' direktør på Norges Handels høyskole (NHH) i', ' brannsjef da den gamle fait fra. Da han']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,gentlemannen,singular,male,occupation,"[' sel ger, var glad i å danse og likte', ' dør vakt på en restau rant i Oslo,', ' hovmester på Restaurant Bagatelle under Eivind Hell', ' brannmann i London før han fikk jobben i New', ' lege - og som «en svært erfaren elgj']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,gentlemannen,singular,male,occupation,"[' en fullverdig del av bandet. De tre inn', ' en vinner. Gentlemannen er ingen out', ' flyger.\noversett av sine kvinnelige kolleger,', ' profesjonell baseballspiller på høyeste nivå, men så', ' «kvinne», og på hennes veg ne har']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,brudgommen,singular,male,occupation,"[' et team, slik at han ikke overmannet', ' barista. Det ble et vanskelig valg.', ' en slave. Men i dag kan hun fortelle', ' assistent for presten i tillegg.\nHan var også den', ' en slave og være sin kone underdanig']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,brudgommen,singular,male,occupation,"[' skomaker.\nsom har holdt til like ved', ' gårdsbestyrer hos en prest i distriktet -', ' kokk for flere av verdens store hoteller. Det', ' frisør i mange år. Han er av og til', ' sjømann i 20 år, en måneds tid eller']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,brudgommen,singular,male,occupation,"[' ny leder av det tyske kommunistpartiet i 199', ' prest i 1985.', ' bestyrer eller forretningsfører på et aldershjem', ' fast assistent og altmuligmann i selskapet,', ' disponent i et bryggeri på sin hjemmeban']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,brudgommen,singular,male,occupation,"[' rør legger hos Borge Rør i en år rekke', ' kokk på Bacalao og hadde sitt', ' snekker i flere år, før han i fjor begynte', ' lege og senere forsker ved et stort laboratorium i', ' stuert var det selvfølgelig ikke noe problem å lage']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,brudgommen,singular,male,occupation,"[', men han er ikke akkurat den karakte ren', ' filmstjerne. 23.20 Dokusommer:', ' brud: «En dag vil han gifte seg, gå', ' en kurer for CIA. I rollene', ' en berømt dirigent og om at livet hans']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,mennene,plural,male,occupation,"[' brannmenn. Det er nemlig der deres sterke sider', ' det sto i artikkelen og ikke gå rundt å bære', ' politi og slå ned på all kriminalitet. - Vi', ' frivillige på aldershjem og sykehus.\nBerge', ' vika rer i helsesektoren i en måned. Det']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,mennene,plural,male,occupation,"[' solda ter i den jemenittiske hæ', ' leiesoldater i Irak eller Afghanistan.\n- Jeg', ' soldater, enten i det militære eller som politi i', ' taxisjåfører.\n- Jeg føler meg misbrukt.', ' håndverkere, mens kvinnene har vært hus hjelp på et']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,mennene,plural,male,occupation,"[' lærere og senere inspektør ved skolene, så', ' råd mann - en jobb de ikke søkte på.\nI', ' «statens pionerer» og utplasser', ' le der, var det også en som meldte forfall til', ' vikarer i de stillingene som blir ledige et']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,mennene,plural,male,occupation,"[' slaver for familien til den nå avdøde kong', ' sjåfører på en av ferjene til Fjord L', ' håndverkere i byen. Seiv om de ikke har noe', ' frivillige ved en katolsk barneskole i byen W', ' frivillige og ulønnede medmennekser,']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,mennene,plural,male,occupation,"[' like rike som deres forfedre var for 400-6', ' president, er å bli i det store sjikt', ' kjendiser. Men det blir med drømmen. En', ' presi denter.\nMen dette har ikke gått helt', ' fotballspillere. De vet nemlig hva de går til']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,barna,plural,male,occupation,"[' frivillige for å hjelpe andre, seiv om det betyr at', ' slaver slik at foreldrene hadde nok penger. Hun er', ' praksiskandidater, sier hun.\nStatistikk', ' frivillige. Jeg synes alle burde få muligheten til å', ' frivillige. - Det var veldig hyggelig å være på']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,barna,plural,male,occupation,"[' gateselgere. Men det er ikke sikkert det', ' klesdesigner i hjemlandet, etterfulgt at', ' kelnere på en gresk taverna', ' bamepasser, og jeg har måttet gi', ' bam sebærere, blant annet ved å levere']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barna,plural,male,occupation,"[' assistenter. Det betydde at de fikk mye mer', ' tjeneste karer på gardene. Dette var uhel', ' sommerpiker i 1914 og kom til å', ' lærlinger har de vært her ved bedriften fra 1.', ' barnepike hos en bonde, og de var']","{'rci': 0, 'ddp': 0, 'asf': 0, 'asm': 0, 'an': 0, 'qas': 0, 'or': 0, 'pr': 0, 'is': 0, 'om': 0, 'ps': 0, 're': 0, 'cds': 0, 'pa': 0, 'ddf': 0, 'svp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
