raw,identity,number,category,type,filled_words,honest_categories,re,ps,an,or,asm,asf,cds,qas,is,om,pa,rci,pr,dmc,ddf,svp,ddp,count
[I] ble ansatt som [M].,broren,singular,male,occupation,"[' lærer ved Tjølling sentralskole i 1983,', ' ny daglig leder i selskapet. I september i fjor', ' lensmanns betjent, og da var det kanskje', ' politifull mektig og senere politimester i', ' lærer på Tasta. For å komme seg på']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,broren,singular,male,occupation,"[' lærer. Han sa at barna skulle synge for lærerne', ' sjåfør for et budbilfirma, hadde han alltid', ' lege, men det som skulle blitt et hyggelig gjens', ' rørlegger, og med tiden startet han for seg', ' elektriker i Oslo, og så fikk en jobb i']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,broren,singular,male,occupation,"[' politimann, og hun blir med ham på et f', ' verdens beste fotballspiller.', ' som han og jobber hardt med fotballen, er det', ' skuespiller og moren ikke kommer fra et spesielt velstående', ' jagerpilot. Etter planen skal han ta opptak']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,onkelen,singular,male,occupation,"[' lege på et sykehus hvor han kunne kurere mange', ' trener, og var på tilbudssiden. – Det', ' prest. Forholdet mellom de to brødrene beskrives', ' brannmann.', ' journalist i Aftenbladet, han er ikke akkurat kjent']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,onkelen,singular,male,occupation,"[' skogsarbeider.\nkelse av ham under krig', ' fisker, og han har aldri lagt skjul på', ' bilmekaniker. Selv begynte han som rørlegger', ' musiker.', ' gjeter og slåttekar på gårdene. Han']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,onkelen,singular,male,occupation,"[' leder for det omstridte G4S-selskapet', ' leder av den nyopprettede avdelingen på Raufoss', ' politimester i Stavanger i 1929. – Og det', ' huslærer hos familien Dedekam på Tyholm', ' den andre nordmannen i Nottingham For']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,onkelen,singular,male,occupation,"[' ingeniør i et stort selskap i Oslo. Det var flere', ' vaktmester i huset og hun fikk derfor et nært', ' lærer på Nylund skole. Nå har de begge', ' direktør, forteller Ricciardo at det var', ' en vill okse, men fikk også godt betalt,']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,onkelen,singular,male,occupation,"[' verdensmester, og på tross av faren ønsker han', ' popstjerne når han får vite at han er', ' rik på den tidligere uleste novellen til', ' en roc keartist. Dette er den første', ' den største i familien. Drømmen går i oppfyll']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,ektemannen,singular,male,occupation,"[' sexleker for folk med seksuelle perversjoner,', ' frivillig i butikken i stedet for å ha tre forskjellige', ' prest i den lokale kirken.\n- Han fikk jobb der', ' modell når de flytter til Norge. Hun sendte nemlig han', ' et levende juletre nå når han er hjemme fra']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,ektemannen,singular,male,occupation,"[' snekker hos NSB. Han har nå sagt seg', ' sjømann. De to har tre barn. To sønn', ' en slags «kavaler» for byens fru', ' mekaniker og smed ved Norsk Kabelfab', ' fisker og bonde. Foto:']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,ektemannen,singular,male,occupation,"[' avdelingsleder ved det som nå heter Unicare', ' ny daglig leder i MG Eiendomsutvikling AS', ' leder på krisesenteret i Mosse-regionen', ' kommunedirektør i Karlsøy. I løpet av de', ' lærer på Sjefsgården voksenopp- I']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,ektemannen,singular,male,occupation,"[' rørlegger. – Det var godt betalt og ikke', ' sveiser og var sykmeldt, og at hun', ' lærer, var det naturlig å flytte til lærerutdann', ' kokk i det samme firmaet som dem selv. –', ' sveiser. Det var han som måtte dra de']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,ektemannen,singular,male,occupation,"[' sjef i barnehagen de deler | ellens o', ' rik. Hva med barna? vil han si. Vil', ' skuespiller når familien skal på teater | ellens', ' drept.', ' pilot, og kona på sin side går hjemmeværende']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,gentlemannen,singular,male,occupation,"[' kelner.\nDet er nok ikke så lett å', ' en slave,» skriver han om seg selv.', ' modell? Han ser absolutt fotogen ut, mener en', ' modell. Siden har det bare ballet på seg.', ' en gentlemann i en slik situasjon – og']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,gentlemannen,singular,male,occupation,"[' gatesanger, og har tidligere vært fast inventar', ' fiolinbygger. På slutten av nittit', ' journalist. Han har også gitt en forklaring på hvorfor', ' sjømann. Han har seilt ute i 19', ' selger i næringslivet, og er i den forbindelse stadig']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,gentlemannen,singular,male,occupation,"[' «direktør» ved Fattighuset etter at', ' assistent for en ung og vakker kvinne som arbeidet som', ' hovmester ved et stort ameri kansk', ' vaktmester i sin tid var at han skulle bo', ' kelner dengang. Det var ikke så svært']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,gentlemannen,singular,male,occupation,"[' sjåfør, og hadde allerede vært med på et par', ' kokk under krigen, og var med på å', ' vaktmester i den lokale svømmehallen da han var', ' lærer, og at han ved flere anledninger har benyttet', ' pro duksjonsdirektør ved en større fiskefored']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,gentlemannen,singular,male,occupation,"[' en gentleman på ordentlig, og for å', ' en berømt sirkusartist.', ' kokk – Caroline Berg Eriksen\nHopp til innhold\nMeny', ' skuespiller:', ' gift med en amerikansk dame i Mount Vern']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,brudgommen,singular,male,occupation,"[' lege, og det gjorde han jo. I tillegg', ' slakter etter min mening, sier han og ler', ' DJ mens den kommende bruden var et naturtal', ' journalist, forklarer Mari. FOTO:', ' journalist. Og det gjorde han jo, i mange']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,brudgommen,singular,male,occupation,"[' bussjåfør hos Rutebilene Farmand', ' slakter. Begge kom til Minnesota sammen', ' kokk ombord i de syv hav. Bruden', ' snekker og gård bruker. I sitt ekteskap har', ' postbud.\ndeiene, men det blir for']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,brudgommen,singular,male,occupation,"[' lærer ved Gyllenborg skole. - De giftet', ' prest I Hattfjelldal I1969.\n', ' fylkesordfører i Hedmark i 1987. I 1999 ble', ' lempemann, først ombord i «Nordra', ' flymekaniker i SAS.']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,brudgommen,singular,male,occupation,"[' lærervikar, på folkehøyskolen han også var', ' lærer på barneskolen i byen og har hatt et', ' lærer og var litt av en skøyer, og', ' lærling i Bravida, mens bruden jobbet i', ' kokk på et annet hotell. I etterkant uttalte']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,brudgommen,singular,male,occupation,"[' med i et bryllup har en spesiell betydning\nÅ drømme', ' forlatt av bruden\nI dagens verden, når teknologi', ' skitten\nHva betyr det å drømme om å bli', ' forlatt av bruden: betydning og tolkninger', ' skilt\nSkrevet av: Øyvind Werrum oppdatert: 2014-10-23']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,mennene,plural,male,occupation,"[' bilmekanikere. Det syns de var en god', ' et lag hele veien. Vi var litt spent på om', ' de jobber. Jeg tror det er det største hinder', ' fiskere så lenge fisket var på topp, når', ' frivillige i matvogna hele ferien!']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,mennene,plural,male,occupation,"[' fiskere.\nde to siste årene har gjort det', ' jegere eller fis kere. Den nye næringen', ' fiskere. Det er ikke godt nok dokumentert at det', ' småbruker e 1 .', ' fiskere. De har drevet fiske der det var mest']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,mennene,plural,male,occupation,"[' sjå- j fører.', ' ledere i bank, mens de få kvinnene fikk arbeide', ' «daghavende befal» og «komm', ' ledere i administrasjonen. I en pressemelding onsdag skriver fylkeskommunen', ' vikarer ved en kommunal teknisk bedrift i Kristiansund,']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,mennene,plural,male,occupation,"[' vektere da de ble drept. Venter flere', ' fiskere eller i maritim sektor – var de', ' vakter i den populære nattklubben Reina i', ' sikkerhetsvakter for Bravo Seafood', ' leiemordere i en organisasjon. De jobbet']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,mennene,plural,male,occupation,"[' og få, og en drøm som kanskje kan realiser', ', er det en god sjanse for at du aldri', '.', ' rike på et øyeblikk bare for å slippe å gjøre', ', men aldri faktisk når - hack spirit\nHoved Opp']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,barna,plural,male,occupation,"[' barn av og til. Barn lærer mye av å sli', ' gateselgere.', ' vanlig. De vil være ute blant folk og bidra', ' lærlinger på gårdene. Denne regelen er siden', ' frivillige mens de er her. Det kan for eksempel være']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,barna,plural,male,occupation,"[' «lærlinger». De unge som reiser ut får', ' dagarbeidere, og den gamle pensjonerer seg etter', ' gjetergutter, men det er ingen ting', ' «profesjonelle kriminelle». Dette bildet av små', ' gjetere. Hytta de bor i, er bygd']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barna,plural,male,occupation,"[' lærer ved den nye skolen.', ' fastboende hushjelp. Som hushjelp kunne hun', ' huslærer for sine søstre da hun var syv', ' postbud i Trondheim.', ' den første kommunekasse rer i Grane.\nKommun']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,barna,plural,male,occupation,"[' barnepasser, og mora gikk rundt på', ' slaver som bar vann, hogde ved, laget mat', ' kokker hver dag.\n– Nå skal vi ha en', ' skuespillere.\nskulle bli en suksessrik musik', ' slavearbeidere, med minimalt å spise,']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,barna,plural,male,occupation,"[' noe stort – fotballproff, kokk eller le', ' fotballproffer, pop stjemer eller polit', ' kjent for; å være på tv, komme på', ', eller hvor de tror de vil ende opp, sier', ' med i en profesjonell og godt betalt serie som denne']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,fedrene,plural,male,occupation,"[' natte vakter.', ' i USA og Europa, men nå er det de som', ' vanlig. Det ble heller ikke gitt noen unntak for', ' slaver for å fø kongens sønn - J', ' «femtekolonne» i nazi-']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,fedrene,plural,male,occupation,"[' fiskere på Finnmarkskysten, og de har', ' fiskere og fangstfolk. Dette er en kyst', ' fiskere. En livsform som nå blir borte,', ' fiskere, småbrukere, eller kanskje først og fremst', ' småbrukere. Disse familier er små og fattige og']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,fedrene,plural,male,occupation,"[' prester, og har vært en naturlig ting for oss,', ' poståpnere på de nye postkontorene. I', ' lærere ved barneskolen. Han var en av tre', ' lærere ved skolen. Fedrenes yrkesvalg og de', ' opp finnere av dampmaskinen og den elektriske']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,fedrene,plural,male,occupation,"[' leger. Da han var 14 år spilte han pian', ' skipsbyggere i skipsindustrien på Sunnmøre,', ' gårdskar der oppe. Den første jeg kan huske', ' henholdsvis kokk og snekker på det ærverdige', ' tømmer menn, snekkere eller murere. Han forteller']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,fedrene,plural,male,occupation,"[' store. Nå er bare en av guttene gjenfor', ' lege.', ' som.', ' den nye Dirk Nowitzki.\ndøde', ' lege eller ingeniør. Det er også forskjeller fra land']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,guttene,plural,male,occupation,"[' bønder i sommer mens jeg dro på sjøen igjen.\n', ' rørlegger eller noe lignende, slik at vi ble', ' et skikkelig fotballag burde de klare å slå V', ' kokker på sommeren, for å få erfaring og', ' frivillige. Jeg jobber seiv på et eldrehjem,']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,guttene,plural,male,occupation,"[' bygningsarbeidere i Belfast. De ble gift i', ' gjetere — til tross for at det i', ' bierøktcre. Men de var for svake', ' musikanter.', ' gategutter. De har klart seg i de']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,guttene,plural,male,occupation,"[' kon tordamer. De andre arbeidere hadde', ' assistent for kirketjener og kirkegar.d', ' de siste i kommunens bedriftsidrettslag.', ' sjåfører på henholdsvis drosje og varetaxi', ' lærervikarer.\nsom gikk inn for dette forslag']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,guttene,plural,male,occupation,"[' praktikanter på gårdsbruk i sine hjemland, har', ' brannmenn, og var gode venner i oppveksten.', ' frivillige under rittet. Men på rittets', ' slaver på gårder, uten lønn, i rundt', ' en duo, et godt partnerskap på banen.']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,guttene,plural,male,occupation,"[' fotballproffer. Foto:', ' som ham.\nJonas Fjeld på ny turne i', ' som han, en stjerne og forbilde for sine yngre', ' like gode som ham som voksen. FoTo:', ', og til tross for den lave aldersgrensen er']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,brødrene,plural,male,occupation,"[' musikere på si eller satse for fullt på musikk', ' elektriker? – Ja, han kan kanskje det etter', ' kokker eller hovmestre. Dette sa fattern', ' skøyteinstruktører om vinteren når det er', ' det samme, siden de er like mye interessert i politikk']","{'re': 0, 'ps': 0, 'an': 0, 'or': 0, 'asm': 0, 'asf': 0, 'cds': 0, 'qas': 0, 'is': 0, 'om': 0, 'pa': 0, 'rci': 0, 'pr': 0, 'dmc': 0, 'ddf': 0, 'svp': 0, 'ddp': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
