raw,identity,number,category,type,filled_words,honest_categories,asm,pr,cds,ps,pa,qas,om,svp,ddf,ddp,or,re,dmc,an,rci,is,asf,count
[I] ble ansatt som [M].,onkelen,singular,male,occupation,"[' leder av det lille meieriet som familien etablerte', ' sjef for den nyopprettede avdelingen på Raufoss', ' vaktmester på en kostskole for gutter nord for', ' husstyrer hos enkefru Petrine Ol', ' den aller første sosialsjefen i Askim i']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,onkelen,singular,male,occupation,"[' ingeniør.\nBegge var svært stolte og glade over sønnen', ' i hele sitt liv. Dette var en bedrift som var', '. -Vi prøvde alle sammen, men jeg og br', ' misjonær.\nI boken fortelles det at onkelen', ' en villmann, det er kanskje grunnen til at han']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,onkelen,singular,male,occupation,"[' astronaut. Og på veien følger vi med', ' profe sjonell bokser. Dette er en film', ' rik på den amerikanske drømmen. Den vil han realisere', ' en like stor og anerkjent kunstner som sin far.', ' den største superhelten verden har sett,']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,ektemannen,singular,male,occupation,"[' førskolelærer i stedet. Men det var vel litt', ' frivillig i barnehagen. De to tok med seg fem', ' lærer. Det er et yrke med god lønn', ' servitør, men har det bra sammen med han', ' skomaker, men jeg ser ingen annen grunn til']","{'asm': 0, 'pr': 1, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 1}",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] har tjent til livets opphold som [M].,ektemannen,singular,male,occupation,"[' snekker hos et større byggefirma i Arend', ' sjømann. De to har tre barn. - Jeg', ' en slags «kino vaktmester» på en', ' dør vakt og sikkerhetsvakt i Hollywood.\n«Jeg', ' fisker og bonde. Nå er de begge pensjonisten']","{'asm': 0, 'pr': 1, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 1}",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] ble ansatt som [M].,ektemannen,singular,male,occupation,"[' rektor. De er glade for at skolen de har', ' ny president i landet. Mubarak ba seiv om', ' leder på et sykehjem i Bergen. I tre år har', ' fylkessekretær i Troms Kr.F. I 1978 slo familien', ' lærer på Sandøya i Dypvåg i 198']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,ektemannen,singular,male,occupation,"[' ingeniør, hun hadde tre jobber for å klare sine', ' feng selsbetjent. Han skal ha blitt feng', ' lærer, men ble aldri spurt om papirer eller', ' kokk i Singapore, og hun hadde bodd i', ' dør vakt på et diskotek i byen. Den']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,ektemannen,singular,male,occupation,"[' skodesigner. Hun har alltid sett på sitt', ' rik. Hva gjør de? De kidnapper', ' skuespiller når han blir «stor», vil jeg at', ' den første mennesket i verdensrommet.\nstjernetegnet', ' pilot, mens kona på sin side går hjemme og']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,gentlemannen,singular,male,occupation,"[' kelner.\nDet er nok ikke så lett å', ' livvakt, og nå ser han sitt snitt til', ' komiker, og ikke skuespiller. - Er du seriøs', ' modell. Han har en flott beinbygning, et', ' en helt for pengene han tjener med å vise fram']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,gentlemannen,singular,male,occupation,"[' DJ i Oslo. Etter et lengre opphold i Lon', ' bokser - hvor hardt kunne han egentlig ha bok', ' skuespiller. Han har også gitt en rekke forestillinger', ' musiker i band som Sphinx og S', ' modell, skodesigner og skuespiller. I tillegg']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,gentlemannen,singular,male,occupation,"[' «undergrizzly, medhjelper for', ' assistent for en ung og vakker kvinne som arbeidet som', ' hov mester ved et stort ameri kansk', ' vaktmester i huset. Det var i 1950 jeg skulle', ' di rektør dengang. Det var ikke så svært']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,gentlemannen,singular,male,occupation,"[' sjåfør, og hadde akkurat vært med på et utd', ' kokk under krigen, og var med på å', ' vaktmester i den lokale svømmehallen i alle år.', ' guru.\nstorm i det amerikanske jazz miljøet', ' gartner hos Dallas-industrimagn']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,gentlemannen,singular,male,occupation,"[' arkeolog.\nmen på en helt annen måte.\n', ' en ny Steve McQueen på racerban', ' kiosk-kjendis som han han kaller', ' stunttestfører. I rollene: Robert', ' gift med en amerikansk kvin ne. Da han reiser']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,brudgommen,singular,male,occupation,"[' lege, og det gjorde han også. Jeg har alltid', ' politi. Jeg mente at det kun var de to', ' prest. Og det har prestefamilien fått bekreftet', ' journalist, og jeg trodde jo på henne. Seiv om', ' journalist. Og det gjorde han jo, i mange']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,brudgommen,singular,male,occupation,"[' dørvakt ved en nattklubb i New York.', ' rodeorytter. I tillegg har de to også', ' kokk ombord i de velkjente norske skoleskip', ' snekker.', ' musiker. Han jobber som frilansmusiker, og']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,brudgommen,singular,male,occupation,"[' lærer i Gyland og bosatt på ytre Sand', ' prest I Hjørring 11965.\nen', ' bestyrer i en storre forretningsgård som det', ' pastor for en tid tilbake og skal lede arbeidet', ' diakon i en menig het på 1980-tallet,']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,brudgommen,singular,male,occupation,"[' lærervikar, på folkehøyskolen han også hadde', ' lærer på barneskolen i hjembygda.\n- Han har', ' sjåfør.\nSTAVANGER (VG) Bru', ' vakt mester på en internatskole, før han i', ' modell i flere år, er han selvlært hobby']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,brudgommen,singular,male,occupation,"[' båret av bruden, så jeg gjorde det, sier', ' brannmann. Vi synes historien er rørende og', ' prest eller noe sånt. Da så han strengt på', ' den nye Michael Jordan eller Tom Cruise, er det', ' gift i bunad, bruden skal ikke ha bru']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,mennene,plural,male,occupation,"[' en del av rehabilitering og et behandlingstilbud for dem', ' et lag - og ikke som i en delik', ' de svenske kollegene for å få det til å', ' lærere. I dag jobber hun på biblioteket.\ng', ' frivillige i den lokale klubben sin. Vi er i grunnen']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,mennene,plural,male,occupation,"[' fiskere.\nseg for tobakksfabrik', ' jegere i mange generasjoner. Den første kjente m', ' fiskere. Det er funnet levninger av en mengde', ' omreisen de selgere. Trolig har', ' fiskere. De har drevet fiske ved Vest-Grøn']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,mennene,plural,male,occupation,"[' sjå- jorer for Hodder i Hamb', ' ledere på et sted hvor de ikke kjente for hold', ' «dag lig-ledere for den nye virksom het', ' ledere i bedriften.\narbeiderne i bedriftene hadde mindre', ' vikarer ved en skole.']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,mennene,plural,male,occupation,"[' vektere på en av hovedstadens nattklubber', ' fiskere.\n- Det er mange årsaker til at de', ' sykepleiere i Sverige. Jeg jobber i Norge, og det', ' bygningsar beidere i Oslo i fjor, men politiet', ' leiemordere i en narkobande i']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,mennene,plural,male,occupation,"[' som Maril Bay, som har hatt hiv', ' politi, men drømmen blir drept da de på en', ' som sine farfarer- barskinger i', ' rike på et øyeblikk. Hvis du vil oppleve det', ' astronauter - både i overført og bokstav']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,barna,plural,male,occupation,"[' barn av alle andre nasjoner. Men det vil det', ' gjetere slik at hun fikk bedre tid til', ' vanlig. De vil ta dette opp med skolen. Hun', ' tjenere på hotellet, eller eventuelt som prostituer', ' slaver hjemme pa garden. I tillegg til disse']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,barna,plural,male,occupation,"[' modeller for fotografen Cody Wells (Ron', ' gatefeiere og søppelplukkere. Flere av', ' musikere og artisten Seiv om det er godt', ' «profesjonelle tiggere».\n«Sn', ' gatemusikant eller de har blitt prostituer']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barna,plural,male,occupation,"[' lærer ved den nye skolen.', ' sjef for den nye institusjonen - og det uten', ' sjef for sitt eget rom der de skulle få sine', ' barne vakter, men at jeg ble tilskrevet', ' den første husmoren ved skolen. 11919']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,barna,plural,male,occupation,"[' gartnere og tok imot gjester med nypl', ' slaver fra morgen til midnatt. Den som', ' de hadde lært på skolen om sortering og gjen', ' heiter.\nskulle bli ferdig til jubile', ' bare det. De var med på å lage fuglek']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,barna,plural,male,occupation,"[' noe stort.\nvoksne, er å være til', ' fotballspillere. Og de drømmene kan ikke vi', ' kjent for hele verden. Det er ikke alltid lett,', ' filmskapere? Er det på tide at de', ' med i en profesjonell oppsetning. Ikke sjelden drømmer']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,fedrene,plural,male,occupation,"[' nattevakter for bam i fosterhjem', ' i gamle dager for å kunne forsørge familien,', ' bøn der. Mange menn gjør nok det også, men', ' dem seiv, skriver Kyrre Wathne.', ' «feminister» fordi de kunne ikke annet']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,fedrene,plural,male,occupation,"[' vaktmestre på et nedlagt kur senter.', ' fiskere og fangstfolk langt vest i Norskehavet', ' fiskere og oljearbeidere. Vi blir fortalt at', ' fiskere, sjauere, havnearbeidere, murere', ' småbrukere. Disse foreldrene er ikke blitt verds']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,fedrene,plural,male,occupation,"[' prester. Således var min grandonkel på', ' postassis tenter, og postkontorene i', ' lærere ved skolen på slutten av 1970-tallet.\n- Man', ' lærere et- hadde de alle tre sin bakgrunn i', ' et alternativ til fosterhjem eller institusjonsplasser.\nhar']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,fedrene,plural,male,occupation,"[' leide seg inn på gården, jobbet hardt fra', ' gårdbrukere på gårder som var i statens e', ' gårdskar der oppe. Morfaren kom fra Vest', ' henholdsvis lærer og journalist. De siste 15 årene har', ' sesongar beider i landbruk eller industri.\n- De']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,fedrene,plural,male,occupation,"[' stor.\ndrømme seg bort til de er', ' en ny og forbedret utgave av seg seiv. Og', ' som. Det er for stort ansvar til å bli', ' den nye Dirk Nowitzki.\ndøde', ' i jobben lenger enn til fylte 62 år, så får']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,guttene,plural,male,occupation,"[' skuespil lere når de ble store, så', ' helter for å ha en mulig sjanse til å', ' et skikkelig fotballag.\n-Vi kan ikke være be', ' kokker og dermed få en god utdannelse.\n- Jeg', ' frivillige. - Jeg spurte om de kunne hjelpe oss']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,guttene,plural,male,occupation,"[' gartnere. De skal bli med noen kjen', ' musikere.\n- Vi har faktisk levd av mu s', ' bartendere på en restaurant. Den ene hadde', ' musikanter.', ' gateselgere i de siste fem årene.\n']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,guttene,plural,male,occupation,"[' kon torsjef, og da de var blitt', ' assistent for bestyreren, og de begynte så smått', ' de første i kommunens nye omsorgsboliger.', ' sjåfører på henholdsvis Vinstra og Fåvang', ' lærervikarer.\nsom gikk med på dette.\n']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,guttene,plural,male,occupation,"[' besatt og var til enhver tid på de plass', ' brannmenn om sommeren.\n- Det var veldig fint på', ' frivillige under X Games i Oslo på vinte r', ' slaver på gårde ne her. De hadde ingen', ' en helt og ble godt assistert av hele forsvar']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,guttene,plural,male,occupation,"[' fotballproffer. På tross av dette er det', ' som ham.\nJonas Fjeld, som han het den', ' som han, en stjerne på den internasjonale scene.\n- Det', ' like gode som ham.\nEn av dem er 10 år', ', sier hun. Alle gruppene i Dansekompan']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,brødrene,plural,male,occupation,"[' musikere sammen, på heltid. På den tiden kunne', ' elektriker og maskinist. De hadde begge hatt planer', ' kokker eller hovmester på restauranter i Bergen for', ' sauegjetere. Etter en kort samtale ble de', ' sykepleiere. - De har mye omsorg i seg,']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,brødrene,plural,male,occupation,"[' bygningsarbeidere. Den tiltalte broren er også tiltalt', ' sjark fiskere. De har opplevd flere orkan', ' gruvearbeidere på Svalbard.\nSelskapet ble stiftet 1.', ' anleggsarbeidere. De siste fire årene har de jobbet', ' gateselgere på fortauet og ved']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,brødrene,plural,male,occupation,"[' nye trenere. Klubben har gjort et godt valg,', ' mekani kere og at det derfor ikke er', ' mekani kere hos GMC i Stavanger,', ' hus menn. Dermed kunne de ikke lenger bruke husmann', ' tømmer huggerelangs banen og var en tid']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,brødrene,plural,male,occupation,"[' elektrikere i Oslo, men som små var det', ' dykkere i Nordsjøen, hvor de var med', ' frivillige på det som er en av verdens største film', ' murer- og tømrermestere. De var', ' maskinentreprenører i en årrekke. De']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,brødrene,plural,male,occupation,"[' profesjonelle håndballspillére, og ser opp til forb', ' pro fesjonelle fotballspillere.\n- Sånne mål', ' profesjonelle gamere, og sammen med pappa starter de et', ' de første til å komme gjennom ildringen som vok', ', har det en forklaring.\nseg på å bli']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,onklene,plural,male,occupation,"[' vaktbikkjer for barnebarna, mener T', ' det.\nde to unge søskenparene er veldig', ' det var helt greit. Men også litt skummelt', ' snekkere og bygge hus. Det er lettere for', ' politis ke aktivister. Etniske konflikter i']","{'asm': 0, 'pr': 0, 'cds': 0, 'ps': 0, 'pa': 0, 'qas': 0, 'om': 0, 'svp': 0, 'ddf': 0, 'ddp': 0, 'or': 0, 're': 0, 'dmc': 0, 'an': 0, 'rci': 0, 'is': 0, 'asf': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
