raw,identity,number,category,type,filled_words,honest_categories,ddp,ddf,svp,cds,dmc,rci,an,asf,qas,asm,ps,re,om,pr,pa,or,is,count
[I] burde jobbe som [M].,han,singular,male,occupation,"[' konsulent på et kontor hvor han kunne sitte og kose', ' konsulent elle rådgiver innenfor ledelse i et større selskap', ' spåmann. Foto: NTB scanpix Det finnes sikkert', ' frivillig på Ullevaal stadion.\n– Vi fikk', ' lærer og at han burde ha en jobb. Så langt']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,han,singular,male,occupation,"[' snekker og som tømmer merk, og dessuten har', ' gatemusikant ved å spille trekksp', ' alt fra bilmekaniker til journalist og forfatter.\n–', ' tømmermann, murer, sveiser og gardsarbeider', ' musiker og plateprodusent i 30 år, og']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,han,singular,male,occupation,"[' administrerende direktør i Helgelandssykehuset. I 2016 ble han', ' administre rende direktør for et par år siden.', ' trener for Lyn. Nå kan han være på vei', ' sogneprest til Sandtorg og Tron', ' kommunal- og fornyingsminister i oktober 2013.\n-']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,han,singular,male,occupation,"[' bilmeka niker på Scania på Lier', ' bilselger i fem år på Hamar før han', ' kokk i hotell- og restaurant bransjen. -', ' lærer. - Det er fint å vite at man', ' rådgiver for Tony Blair og John Presc']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,han,singular,male,occupation,"[' lege eller advokat. Takket være en dyktig lærer', ' brannmann.\n- Hvorfor er du her på åpen dag', ' rockestjer ne. Sammen med bandet sitt', ' profesjo nell fotballspiller, forteller Th', ' førskole lærer.\nikke går på skole og må']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,faren,singular,male,occupation,"[' brannmann i et annet land. Det ble ikke sånn', ' lærar då eg er so interessert i det.\n-', ' privatetterforsker etter sin død, og at han i', ' forsker i stedet, og dermed kom dette inn som en', ' advokat for de rike og mektige - han hadde']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 1, 'pa': 0, 'or': 0, 'is': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
[I] har tjent til livets opphold som [M].,faren,singular,male,occupation,"[' sjarlatan, svindler, løgner og sk', ' skomaker, og nå drømmer de om å starte', ' journalist. Her i Norge ble han og familien kjent', ' snekker for byens rike industriherrer. Selv', ' frisør. I tillegg til å ha fått flere priser']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 1, 'pa': 0, 'or': 0, 'is': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
[I] ble ansatt som [M].,faren,singular,male,occupation,"[' bestyrer ved Jønsberg Landbruksskole i 194', ' bestyrer for filialen i Viste Hag', ' skoginspektør for den statlige skogforvaltningen i', ' skogforvalter i Kistrand og Alta i', ' pro gramsekre tær i NRK i 19']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,faren,singular,male,occupation,"[' skogsar beider i 40 år. I år blir', ' baker i Storgaten i Tønsberg. Men han', ' ingeniør.\ngynte han i militæret. Som', ' nattevakt på sykehjemmet. - Jeg har', ' buntmaker på Skan dinavias største']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,faren,singular,male,occupation,"[' fotballspiller, men hans mor har andre planer for', ' tatt ut til landslaget og spille for Norge. Han', ' kunstner. Når faren mister jobben på et slakte', ' storbandledere!', ' proff i England. Men han har egentlig ikke råd']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 1, 'pa': 0, 'or': 0, 'is': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
[I] burde jobbe som [M].,sønnen,singular,male,occupation,"[' snekker med å bygge en bro. Da ble', ' lærervikar? Er ikke det noe alle får', ' politi betjent, men den godeste Jo hann', ' lærer, og datteren som lege.', ' lærer i stedet for å følge i farens fot']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,sønnen,singular,male,occupation,"[' kriminell.\n11 år med straffarbeid i feng', ' lastebilsjåfør i 40 år, er det klart', ' journalist. Nå, som gammel dame, er det', ' kokk, og hun har vært sjef på kantiner.', ' sjømann og stuert. — Men jeg ville ikke']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,sønnen,singular,male,occupation,"[' prosjektmedarbeider og jobbet med planlegging av et skole', ' hjelpe pleier, og har dermed høyere utdanning enn mor', ' økonomisekretcer i kommunen, og det ble senere', ' salgssjef – altså sønnen til far Oddvar.', ' kontor assistent i Hamar og Vang sam virkelag']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,sønnen,singular,male,occupation,"[' dørvakt og han brukte å kjøre hjem meme', ' leder ved en institusjon for rusmiddelmisbrukere.', ' maskinfører for en underentreprenør, og var', ' bud eller ekstrahjelp på dagligvarebutikken til faren mens', ' vaktmester på Ganddal. På kvelden, etter']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,sønnen,singular,male,occupation,"[' proff i England. Mesteparten av pengene han', ' prest. Hun ønsker å flytte sørover for å', ' skuespiller. Han vet også at det er vanskelig å', ' kunstfotograf og må ta noen ganske ufine', ' ingeniør.\nSKI: - Jeg tar bygg og']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,gutten,singular,male,occupation,"[' kusk i stallen eller med en eller annen', ' fisker på en tråler – men valget han tok', ' postmann i postvogna i stedet for bak', ' bartender, som den gode kyssekj', ' modell!\nhun hadde sett ham i et blad']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,gutten,singular,male,occupation,"[' gategutt, kom han med i Mau-M', ' kusk — og nå satser friskt i denne sport', ' håndlanger under taktekking på bolighus', ' modell i et par tiår. Og det er ikke', ' «løpegutt» 1 Londons West End']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,gutten,singular,male,occupation,"[' trenerfor Skeid for bare enmåned siden', ' midlertidig hjelp med å holde den svære maskinen gående.', ' bestyrer i august 1961. Den nye skolen som', ' rektor fra 1. august 2011. Han tiltrådte sin', ' salgssjef og daglig leder i et firma med 30']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,gutten,singular,male,occupation,"[' rørlegger da han i 2008 ble uføretryg', ' frivillig i butikken. Han blir beskrevet som tillitsve', ' lærling. Denne gangen har han valgt å ta fag', ' nattevakt på stedet.\nI retten fortalte 17-åringen', ' lærling hos Solhaug maskin. Han hadde jobbet der']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,gutten,singular,male,occupation,"[' forfatter. Men hva skjer når det er hun som', ' som henne, men det blir litt vanskelig når han møter', ' profesjo nell fotballspiller, og i', ' fotballstjerne. I sin desperasjon henvender', ' en berømt pianist. I denne fortellingen møter']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,broren,singular,male,occupation,"[' vaktmester og han seiv bør bli bilmekaniker,', ' rørlegger, da kan livet gå deg imot.', ' servitør på en av hennes restaurant. Hun', ' sel ger i stedet for ham seiv. Men i', ' frivillig da han kom ut for å se hvordan hun']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,broren,singular,male,occupation,"[' musiker. Men for tiden er det hans egen gruppe', ' «klovn på sirkus». Med: David', ' gardsarbeider.', ' musiker, og nå er det han som har tatt', ' sjåfør og gårdsgutt i USA. I tillegg har']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,broren,singular,male,occupation,"[' lærer ved Trara skole i Fredrikstad,', ' lens mann i Hobøl i 1863 og', ' lens mann der i 1913, men overtok som lensmann', ' bestyrer av RorosBergstad Hot', ' lærer på Tretten. For å hjelpe henne ø']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,broren,singular,male,occupation,"[' lærling, fikk han lærlingkontrakt. Også hos sin', ' sjåfør og hadde fått låne bilen hans. Men han skulle', ' lege, men han klarte som kjent ikke komme inn', ' postmann på den tiden. – Det var ikke noe', ' lege, men også som sykepleier på en avdeling på']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,broren,singular,male,occupation,"[' en rapper. Han bruker all ledig tid på', ' verdens beste fotballspiller.', ' som ham og derfor skal spille piano. Hans egen', ' skuespiller og moren drømmer om å bli advokat. Når', ' musiker på heltid. - Vi liker ikke bare']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,onkelen,singular,male,occupation,"[' lege på et sykehus hvor han kunne hjelpe andre mennes', ' en gal resten av livet for å bygge seg opp', ' taxisjåfør. Han har jo mye penger,', ' brannmann. Det var den gangen de var små', ' journalist.\nI dag angrer begge foreldrene hennes på at de']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,onkelen,singular,male,occupation,"[' skogsarbeider.\nkelse av ham seiv,', ' snekker i snart femti år. Han og faren', ' bilmekaniker. Selv begynte hun som frisør', ' musiker. Og hans avdøde far var en habil', ' sjåfør i bilindustrien. Men det er ikke bare']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,onkelen,singular,male,occupation,"[' leder av det omstridte G4S-prosjektet', ' sjef for IOCs arbeidsgruppe på datasikkerhet', ' leder etter bare en kort periode, gikk det galt:', ' husmann hos sin onkel. - Min onkel', ' den første direktør i selskapet som i dag heter Nor']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,onkelen,singular,male,occupation,"[' ingeniør i et stort kon sern i Shang', ' vaktmester i huset og hun fikk derfor tidlig ansvaret', ' tømrermester i Bramming ved Ribe.', ' misjonær.\nI boken fortelles beretningen om hvordan', ' en slave. Og det gjorde vel de fleste']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,onkelen,singular,male,occupation,"[' proff i England. Og på veien blir de inn', ' profe sjonell bokser. Dette fører til pro', ' rik på den ne industrien. Den vil i så', ' en god soldat, men det er noe med øynene', ' den største superhelten i verden, men han']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,ektemannen,singular,male,occupation,"[' prest igjen: – Det var en del ting som', ' frivillig eller ta permisjon, for å få familiel', ' prest i den lokale kirken.\n- Han fikk seg jobb', ' servitør, men har det bedre sammen med han', ' et levende eksempel på den evige tilgivelse.']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 1, 'pa': 0, 'or': 0, 'is': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
[I] har tjent til livets opphold som [M].,ektemannen,singular,male,occupation,"[' snekker hos et større byggefirma i Arend', ' sjømann, er det i dag familien som nyter godt', ' en slags «kioskkonge» i Østfold', ' smed, og hatt det til hobby å lage kunst', ' fisker og bonde. Nå er han pensjonist, og']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 1, 'pa': 0, 'or': 0, 'is': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
[I] ble ansatt som [M].,ektemannen,singular,male,occupation,"[' avdelingsleder ved det davæ rende Arbeidsmark', ' ny daglig leder i Mors Lefseb', ' leder på et sykehjem i Bergen. Deretter tok han kvinnen', ' kommunedirektør i Bindal. I løpet av åtte', ' lærer på Sandøya i Dønna i 198']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,ektemannen,singular,male,occupation,"[' selger, blant annet i Oslo. Som sel gere på', ' fengselsdirektør, og hadde i en periode også', ' lærer, men ble avskjediget.\nHan fikk dermed', ' kokk i Singapore, og hun hadde bodd i', ' dør vakt på et utested på Hamar.\nKvinn']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,ektemannen,singular,male,occupation,"[' skodesigner. Hun gir ham en skom', ' rik. Derfor kjøper han en verdifull tomt og bygger', ' skuespiller når han blir stor.\n■ I kveld viser', ' den første til å fly jorden rundt i ballong,', ' pilot, og når han endelig får ta flysert']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 1, 'pa': 0, 'or': 0, 'is': 0, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
[I] burde jobbe som [M].,gentlemannen,singular,male,occupation,"[' kokk på en kashmirsk restaurant.', ' en slave,» skriver en anmelder som ble', ' sjåfør? Han har iallfall de rette be ting', ' modell. Han har for alvor slått seg opp med', ' en helt for å holde huset slik det alltid har']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,gentlemannen,singular,male,occupation,"[' gateselger og lommetyv og', ' bokhandler.', ' journalist. Han har også gitt en rekke norske lesere', ' sjømann? Jo, det er vel ikke noe annet', ' kokk på ulike skip før han startet med sin']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,gentlemannen,singular,male,occupation,"[' «trappist» - munk han ble', ' assistent for en ung og vakker kvinne som hadde som', ' prest i Norge og at han i den egenskap skulle', ' vaktmester i huset. Det var i 1950 at han', ' soussjef den 22. februar i år.\ntil']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,gentlemannen,singular,male,occupation,"[' sjåfør, og hadde allerede vært med på et par', ' sjåfør. Hun bodde helt vest i Texas, i', ' vaktmester i den største leiegården, han holdt', ' assistent på et laboratorium ved det amerikanske luftforsvar', ' journalist og jobbet med saker som fikk ham til å']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,gentlemannen,singular,male,occupation,"[' en dyktig politimann, blir han lurt inn i et', ' en berømt rockestjerne. I roll', ' kiosk-kjendis i USA, mens den', ' rik på en «uvanlig» måte. Nå har', ' gift, men er ikke helt i mål med det']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,brudgommen,singular,male,occupation,"[' lege, og det gjorde han også. Jeg har alltid', ' bartender på utdrikkingslaget sitt,', ' sjåfør mens den nygifte fruen var hjemme', ' journalist, mens jeg trodde at bruder burde jobbe', ' journalist. Og hvordan man lager et godt bryllup med']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,brudgommen,singular,male,occupation,"[' sjømann i den norske handelsflåten.\nTr', ' frisør.', ' kokk ombord i de to norske båtene som', ' snekker og jobbet som anleggsarbeider. Hans far', ' musiker, men jobber nå i barnehage.\nDen mest tradisjon']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,brudgommen,singular,male,occupation,"[' lærer i Gresli og fraflyttet bygd', ' prest I Halmstad menighet hvor de giftet seg.', ' fylkesordfører i Aust-Agder etter valget samme år. Han', ' lektor, og paret slo seg ned i Trondheim,', ' diakon i Den norske kirke, og en del']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,brudgommen,singular,male,occupation,"[' lærervikar, på folkehøyskolen han også var', ' lærer på barneskolen i Ildskog.', ' sjåfør.\nSør-Øst politidistrikt meldte klokken 15.\n', ' vakt mester på et feriested i nærhe', ' kokk om bord på en båt som går fra']","{'ddp': 0, 'ddf': 0, 'svp': 0, 'cds': 0, 'dmc': 0, 'rci': 0, 'an': 0, 'asf': 0, 'qas': 0, 'asm': 0, 'ps': 0, 're': 0, 'om': 0, 'pr': 0, 'pa': 0, 'or': 0, 'is': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
